date,mean
2006-12-31,16.7
2007-12-31,16.56
2008-12-31,16.7
2009-12-31,16.86
2010-12-31,16.92
2011-12-31,16.76
2012-12-31,16.89
2013-12-31,16.77
2014-12-31,16.75
2015-12-31,16.85
2016-12-31,16.5
2017-12-31,16.65
2018-12-31,16.91
2019-12-31,16.96
2020-12-31,16.91
2021-12-31,16.72
2022-12-31,17.15
2023-12-31,17.21
2024-12-31,17.37
2025-12-31,17.19
2026-12-31,17.68
2027-12-31,17.19
2028-12-31,17.23
2029-12-31,17.66
2030-12-31,17.32
2031-12-31,17.32
2032-12-31,17.48
2033-12-31,17.6
2034-12-31,17.75
2035-12-31,17.5
2036-12-31,17.49
2037-12-31,17.43
2038-12-31,17.52
2039-12-31,17.55
2040-12-31,17.54
2041-12-31,17.68
2042-12-31,17.79
2043-12-31,17.82
2044-12-31,17.89
2045-12-31,17.97
2046-12-31,17.71
2047-12-31,18.16
2048-12-31,18.06
2049-12-31,17.93
2050-12-31,18.27
2051-12-31,18.22
2052-12-31,18.34
2053-12-31,18.47
2054-12-31,18.24
2055-12-31,18.23
2056-12-31,18.07
2057-12-31,18.36
2058-12-31,18.77
2059-12-31,18.4
2060-12-31,18.24
2061-12-31,18.61
2062-12-31,18.69
2063-12-31,18.35
2064-12-31,18.39
2065-12-31,18.59
2066-12-31,18.44
2067-12-31,18.5
2068-12-31,18.4
2069-12-31,18.65
2070-12-31,18.56
2071-12-31,18.75
2072-12-31,18.94
2073-12-31,18.75
2074-12-31,18.74
2075-12-31,18.67
2076-12-31,18.9
2077-12-31,18.74
2078-12-31,18.87
2079-12-31,18.81
2080-12-31,18.7
2081-12-31,18.7
2082-12-31,18.87
2083-12-31,18.83
2084-12-31,18.67
2085-12-31,18.59
2086-12-31,18.76
2087-12-31,18.55
2088-12-31,18.77
2089-12-31,18.71
2090-12-31,18.84
2091-12-31,18.85
2092-12-31,19.02
2093-12-31,18.74
2094-12-31,18.93
2095-12-31,18.89
2096-12-31,18.86
2097-12-31,18.85
2098-12-31,18.88
2099-12-31,19.16
