date,mean
1950-12-31,0.91
1951-12-31,0.94
1952-12-31,1.08
1953-12-31,1.02
1954-12-31,0.99
1955-12-31,0.95
1956-12-31,1.0
1957-12-31,1.1
1958-12-31,1.01
1959-12-31,1.0
1960-12-31,1.05
1961-12-31,1.06
1962-12-31,0.98
1963-12-31,1.03
1964-12-31,1.09
1965-12-31,1.08
1966-12-31,0.99
1967-12-31,1.0
1968-12-31,1.06
1969-12-31,1.07
1970-12-31,1.06
1971-12-31,0.97
1972-12-31,1.03
1973-12-31,0.96
1974-12-31,1.04
1975-12-31,1.11
1976-12-31,1.11
1977-12-31,0.97
1978-12-31,0.98
1979-12-31,1.08
1980-12-31,1.0
1981-12-31,1.06
1982-12-31,1.03
1983-12-31,1.1
1984-12-31,0.99
1985-12-31,1.04
1986-12-31,1.02
1987-12-31,1.02
1988-12-31,0.97
1989-12-31,1.06
1990-12-31,0.95
1991-12-31,1.04
1992-12-31,1.03
1993-12-31,1.06
1994-12-31,0.94
1995-12-31,0.98
1996-12-31,1.05
1997-12-31,1.0
1998-12-31,0.98
1999-12-31,1.02
2000-12-31,0.99
2001-12-31,1.03
2002-12-31,0.98
2003-12-31,1.04
2004-12-31,0.98
2005-12-31,1.06
