date,mean
2006-12-31,0.98
2007-12-31,0.97
2008-12-31,1.0
2009-12-31,1.07
2010-12-31,1.06
2011-12-31,0.97
2012-12-31,1.03
2013-12-31,1.0
2014-12-31,1.01
2015-12-31,0.9
2016-12-31,1.09
2017-12-31,1.05
2018-12-31,0.99
2019-12-31,1.06
2020-12-31,0.98
2021-12-31,0.99
2022-12-31,1.0
2023-12-31,0.99
2024-12-31,1.08
2025-12-31,1.01
2026-12-31,1.19
2027-12-31,1.14
2028-12-31,1.04
2029-12-31,1.1
2030-12-31,0.96
2031-12-31,0.98
2032-12-31,1.03
2033-12-31,0.99
2034-12-31,1.07
2035-12-31,0.99
2036-12-31,1.09
2037-12-31,1.07
2038-12-31,1.01
2039-12-31,1.04
2040-12-31,1.04
2041-12-31,1.05
2042-12-31,1.07
2043-12-31,1.06
2044-12-31,1.13
2045-12-31,1.18
2046-12-31,1.12
2047-12-31,1.04
2048-12-31,1.08
2049-12-31,0.99
2050-12-31,1.12
2051-12-31,1.1
2052-12-31,1.23
2053-12-31,1.0
2054-12-31,1.09
2055-12-31,1.03
2056-12-31,1.01
2057-12-31,1.13
2058-12-31,1.05
2059-12-31,1.14
2060-12-31,1.17
2061-12-31,1.18
2062-12-31,1.12
2063-12-31,1.12
2064-12-31,1.02
2065-12-31,1.11
2066-12-31,1.12
2067-12-31,1.11
2068-12-31,1.14
2069-12-31,1.08
2070-12-31,1.16
2071-12-31,1.2
2072-12-31,1.2
2073-12-31,1.16
2074-12-31,1.09
2075-12-31,1.18
2076-12-31,1.24
2077-12-31,1.13
2078-12-31,1.23
2079-12-31,1.18
2080-12-31,1.19
2081-12-31,1.17
2082-12-31,1.13
2083-12-31,1.12
2084-12-31,1.2
2085-12-31,1.19
2086-12-31,1.15
2087-12-31,1.16
2088-12-31,1.23
2089-12-31,1.1
2090-12-31,1.27
2091-12-31,1.21
2092-12-31,1.23
2093-12-31,1.11
2094-12-31,1.21
2095-12-31,1.23
2096-12-31,1.14
2097-12-31,1.1
2098-12-31,1.23
2099-12-31,1.11
