,historical,rcp45,rcp85
1950-12-31,6961.91,,
1951-12-31,6905.72,,
1952-12-31,6924.84,,
1953-12-31,6879.32,,
1954-12-31,6879.08,,
1955-12-31,6894.15,,
1956-12-31,6969.87,,
1957-12-31,6989.71,,
1958-12-31,7009.97,,
1959-12-31,6934.97,,
1960-12-31,6970.76,,
1961-12-31,6820.31,,
1962-12-31,6893.69,,
1963-12-31,6858.2,,
1964-12-31,7141.52,,
1965-12-31,7132.4,,
1966-12-31,7146.15,,
1967-12-31,7082.3,,
1968-12-31,7185.12,,
1969-12-31,7010.55,,
1970-12-31,6970.83,,
1971-12-31,7016.85,,
1972-12-31,7101.75,,
1973-12-31,6966.99,,
1974-12-31,7092.36,,
1975-12-31,6944.26,,
1976-12-31,7046.68,,
1977-12-31,6815.04,,
1978-12-31,6849.95,,
1979-12-31,6839.18,,
1980-12-31,6859.65,,
1981-12-31,6915.37,,
1982-12-31,7003.81,,
1983-12-31,7018.65,,
1984-12-31,6946.47,,
1985-12-31,6867.8,,
1986-12-31,6691.52,,
1987-12-31,6836.95,,
1988-12-31,6693.4,,
1989-12-31,6732.12,,
1990-12-31,6802.57,,
1991-12-31,6709.67,,
1992-12-31,6875.33,,
1993-12-31,6909.72,,
1994-12-31,6767.81,,
1995-12-31,6874.51,,
1996-12-31,6763.97,,
1997-12-31,6695.35,,
1998-12-31,6571.1,,
1999-12-31,6660.34,,
2000-12-31,6618.46,,
2001-12-31,6613.27,,
2002-12-31,6493.53,,
2003-12-31,6594.1,,
2004-12-31,6550.64,,
2005-12-31,6189.75,,
2006-12-31,,6302.62,6266.58
2007-12-31,,6390.62,6449.18
2008-12-31,,6452.67,6504.49
2009-12-31,,6266.97,6457.21
2010-12-31,,6182.46,6516.12
2011-12-31,,6273.88,6386.08
2012-12-31,,6291.5,6394.34
2013-12-31,,6375.05,6366.89
2014-12-31,,6325.9,6205.57
2015-12-31,,6243.53,6221.23
2016-12-31,,6434.69,6257.1
2017-12-31,,6380.71,6050.0
2018-12-31,,6259.8,6114.97
2019-12-31,,6177.66,6216.86
2020-12-31,,6240.52,6172.16
2021-12-31,,6315.88,6187.57
2022-12-31,,6106.36,6122.03
2023-12-31,,6089.66,5991.63
2024-12-31,,6026.03,6096.87
2025-12-31,,6124.64,6026.64
2026-12-31,,5875.19,5922.37
2027-12-31,,6117.65,6013.57
2028-12-31,,6064.37,5870.66
2029-12-31,,5936.33,5849.17
2030-12-31,,6047.51,5778.01
2031-12-31,,6004.19,6077.46
2032-12-31,,5987.47,6168.77
2033-12-31,,5899.7,5910.98
2034-12-31,,5876.52,5920.64
2035-12-31,,5982.38,5763.82
2036-12-31,,6024.74,5928.33
2037-12-31,,5980.81,5762.6
2038-12-31,,5911.61,5799.0
2039-12-31,,6013.84,5755.92
2040-12-31,,5980.42,5837.53
2041-12-31,,5895.86,5687.78
2042-12-31,,5856.17,5649.42
2043-12-31,,5862.25,5693.59
2044-12-31,,5727.6,5741.69
2045-12-31,,5770.7,5562.23
2046-12-31,,5935.16,5550.09
2047-12-31,,5672.61,5599.36
2048-12-31,,5722.9,5554.93
2049-12-31,,5688.01,5459.74
2050-12-31,,5572.46,5423.05
2051-12-31,,5603.55,5400.85
2052-12-31,,5521.9,5371.57
2053-12-31,,5541.73,5316.43
2054-12-31,,5578.69,5318.0
2055-12-31,,5602.46,5290.83
2056-12-31,,5785.95,5358.38
2057-12-31,,5605.8,5125.82
2058-12-31,,5430.87,5237.37
2059-12-31,,5544.66,5177.5
2060-12-31,,5598.93,5136.58
2061-12-31,,5443.11,5155.75
2062-12-31,,5412.87,5171.25
2063-12-31,,5586.13,5132.99
2064-12-31,,5533.44,5122.26
2065-12-31,,5444.63,5098.81
2066-12-31,,5481.21,4961.66
2067-12-31,,5503.87,4883.99
2068-12-31,,5548.7,4838.89
2069-12-31,,5498.59,4737.31
2070-12-31,,5471.76,4804.74
2071-12-31,,5484.94,4788.63
2072-12-31,,5334.34,4820.67
2073-12-31,,5434.51,4823.64
2074-12-31,,5389.08,4832.53
2075-12-31,,5465.64,4652.21
2076-12-31,,5367.47,4699.73
2077-12-31,,5402.75,4664.42
2078-12-31,,5319.64,4613.01
2079-12-31,,5386.73,4670.2
2080-12-31,,5429.79,4786.06
2081-12-31,,5356.57,4588.08
2082-12-31,,5288.31,4432.14
2083-12-31,,5366.28,4623.83
2084-12-31,,5495.83,4626.63
2085-12-31,,5432.46,4509.77
2086-12-31,,5392.65,4417.72
2087-12-31,,5536.28,4442.1
2088-12-31,,5415.02,4467.05
2089-12-31,,5436.86,4397.55
2090-12-31,,5340.77,4419.5
2091-12-31,,5317.76,4381.16
2092-12-31,,5272.88,4436.62
2093-12-31,,5345.75,4319.31
2094-12-31,,5335.31,4309.24
2095-12-31,,5308.99,4328.94
2096-12-31,,5375.56,4279.67
2097-12-31,,5401.86,4184.69
2098-12-31,,5350.36,4198.34
2099-12-31,,4776.3,3849.35
