date,spei
2015-12-31,0.2
2016-12-31,0.29
2017-12-31,-0.39
2018-12-31,0.05
2019-12-31,0.2
2020-12-31,0.14
2021-12-31,0.21
2022-12-31,0.27
2023-12-31,-0.3
2024-12-31,-0.3
2025-12-31,-0.15
2026-12-31,-0.4
2027-12-31,0.36
2028-12-31,-0.04
2029-12-31,-0.11
2030-12-31,-0.16
2031-12-31,0.14
2032-12-31,0.08
2033-12-31,0.09
2034-12-31,0.19
2035-12-31,-0.06
2036-12-31,0.19
2037-12-31,-0.13
2038-12-31,0.25
2039-12-31,-0.03
2040-12-31,0.11
2041-12-31,-0.1
2042-12-31,-0.08
2043-12-31,0.35
2044-12-31,0.3
2045-12-31,-0.14
2046-12-31,0.16
2047-12-31,0.01
2048-12-31,0.03
2049-12-31,0.42
2050-12-31,0.53
2051-12-31,-0.13
2052-12-31,0.22
2053-12-31,-0.46
2054-12-31,0.18
2055-12-31,-0.23
2056-12-31,-0.02
2057-12-31,-0.25
2058-12-31,-0.21
2059-12-31,-0.43
2060-12-31,-0.19
2061-12-31,-0.17
2062-12-31,-0.25
2063-12-31,-0.1
2064-12-31,0.18
2065-12-31,-0.06
2066-12-31,0.16
2067-12-31,0.14
2068-12-31,0.21
2069-12-31,0.62
2070-12-31,1.4
2071-12-31,0.06
2072-12-31,-0.35
2073-12-31,0.5
2074-12-31,0.54
2075-12-31,0.24
2076-12-31,0.13
2077-12-31,-0.06
2078-12-31,-0.43
2079-12-31,-0.01
2080-12-31,-0.13
2081-12-31,-0.04
2082-12-31,-0.04
2083-12-31,0.48
2084-12-31,-0.24
2085-12-31,0.55
2086-12-31,0.4
2087-12-31,0.25
2088-12-31,0.54
2089-12-31,0.48
2090-12-31,0.46
2091-12-31,0.5
2092-12-31,-0.33
2093-12-31,-0.13
2094-12-31,0.19
2095-12-31,-0.13
2096-12-31,0.14
2097-12-31,-0.61
2098-12-31,-0.24
2099-12-31,0.22
2100-12-31,0.38
