date,mean
1950-12-31,0.95
1951-12-31,0.98
1952-12-31,1.15
1953-12-31,1.07
1954-12-31,1.03
1955-12-31,1.0
1956-12-31,1.05
1957-12-31,1.16
1958-12-31,1.06
1959-12-31,1.05
1960-12-31,1.12
1961-12-31,1.11
1962-12-31,1.03
1963-12-31,1.07
1964-12-31,1.14
1965-12-31,1.13
1966-12-31,1.04
1967-12-31,1.03
1968-12-31,1.1
1969-12-31,1.12
1970-12-31,1.11
1971-12-31,1.02
1972-12-31,1.07
1973-12-31,1.0
1974-12-31,1.1
1975-12-31,1.17
1976-12-31,1.16
1977-12-31,1.0
1978-12-31,1.02
1979-12-31,1.14
1980-12-31,1.05
1981-12-31,1.11
1982-12-31,1.08
1983-12-31,1.14
1984-12-31,1.04
1985-12-31,1.09
1986-12-31,1.07
1987-12-31,1.07
1988-12-31,1.01
1989-12-31,1.11
1990-12-31,0.99
1991-12-31,1.09
1992-12-31,1.07
1993-12-31,1.1
1994-12-31,0.99
1995-12-31,1.02
1996-12-31,1.1
1997-12-31,1.05
1998-12-31,1.02
1999-12-31,1.06
2000-12-31,1.03
2001-12-31,1.08
2002-12-31,1.03
2003-12-31,1.1
2004-12-31,1.03
2005-12-31,1.07
