,historical,rcp45,rcp85
1950-12-31,22.44,,
1951-12-31,26.5,,
1952-12-31,30.81,,
1953-12-31,30.39,,
1954-12-31,29.8,,
1955-12-31,28.67,,
1956-12-31,29.75,,
1957-12-31,27.68,,
1958-12-31,26.49,,
1959-12-31,27.43,,
1960-12-31,28.07,,
1961-12-31,26.59,,
1962-12-31,29.54,,
1963-12-31,25.65,,
1964-12-31,26.09,,
1965-12-31,27.26,,
1966-12-31,28.33,,
1967-12-31,28.65,,
1968-12-31,29.28,,
1969-12-31,28.3,,
1970-12-31,27.37,,
1971-12-31,27.86,,
1972-12-31,30.47,,
1973-12-31,27.2,,
1974-12-31,28.59,,
1975-12-31,28.29,,
1976-12-31,27.6,,
1977-12-31,25.64,,
1978-12-31,26.78,,
1979-12-31,28.99,,
1980-12-31,28.09,,
1981-12-31,27.97,,
1982-12-31,31.47,,
1983-12-31,27.72,,
1984-12-31,28.15,,
1985-12-31,30.92,,
1986-12-31,26.62,,
1987-12-31,27.09,,
1988-12-31,28.81,,
1989-12-31,25.0,,
1990-12-31,27.29,,
1991-12-31,33.4,,
1992-12-31,28.52,,
1993-12-31,29.14,,
1994-12-31,27.04,,
1995-12-31,29.18,,
1996-12-31,30.52,,
1997-12-31,27.64,,
1998-12-31,32.28,,
1999-12-31,23.95,,
2000-12-31,25.96,,
2001-12-31,28.49,,
2002-12-31,26.33,,
2003-12-31,31.14,,
2004-12-31,29.38,,
2005-12-31,26.75,,
2006-12-31,,29.47,31.87
2007-12-31,,23.1,25.71
2008-12-31,,30.19,27.51
2009-12-31,,27.38,28.17
2010-12-31,,31.73,33.01
2011-12-31,,30.92,30.03
2012-12-31,,28.29,29.26
2013-12-31,,26.72,26.51
2014-12-31,,29.8,30.07
2015-12-31,,27.61,26.35
2016-12-31,,29.18,27.89
2017-12-31,,27.31,28.85
2018-12-31,,28.57,28.41
2019-12-31,,31.92,27.63
2020-12-31,,27.75,28.66
2021-12-31,,28.97,23.55
2022-12-31,,27.48,29.01
2023-12-31,,27.38,30.05
2024-12-31,,33.54,28.85
2025-12-31,,32.11,28.73
2026-12-31,,25.92,33.83
2027-12-31,,24.93,31.08
2028-12-31,,31.2,32.57
2029-12-31,,29.95,31.85
2030-12-31,,34.29,25.53
2031-12-31,,31.76,26.24
2032-12-31,,30.18,30.7
2033-12-31,,33.43,26.94
2034-12-31,,28.06,30.04
2035-12-31,,29.43,28.84
2036-12-31,,30.74,30.25
2037-12-31,,28.44,29.2
2038-12-31,,29.76,27.54
2039-12-31,,30.65,28.99
2040-12-31,,33.95,29.22
2041-12-31,,29.07,31.33
2042-12-31,,26.79,31.38
2043-12-31,,30.41,29.36
2044-12-31,,30.06,30.56
2045-12-31,,28.58,32.21
2046-12-31,,29.56,34.42
2047-12-31,,28.74,28.13
2048-12-31,,30.26,26.81
2049-12-31,,29.65,30.11
2050-12-31,,34.53,32.17
2051-12-31,,28.95,31.28
2052-12-31,,31.61,35.84
2053-12-31,,33.78,32.26
2054-12-31,,31.05,34.85
2055-12-31,,27.01,31.26
2056-12-31,,29.67,30.53
2057-12-31,,28.21,32.49
2058-12-31,,30.59,28.84
2059-12-31,,29.1,31.58
2060-12-31,,32.93,32.08
2061-12-31,,29.68,32.48
2062-12-31,,30.47,33.45
2063-12-31,,32.9,32.5
2064-12-31,,29.54,30.54
2065-12-31,,29.15,38.35
2066-12-31,,35.73,26.04
2067-12-31,,30.98,33.03
2068-12-31,,28.45,32.29
2069-12-31,,31.67,30.86
2070-12-31,,29.35,29.6
2071-12-31,,29.39,34.09
2072-12-31,,27.64,32.39
2073-12-31,,28.83,30.0
2074-12-31,,30.29,28.72
2075-12-31,,29.91,30.77
2076-12-31,,29.81,33.88
2077-12-31,,27.46,29.69
2078-12-31,,31.47,32.16
2079-12-31,,32.47,29.02
2080-12-31,,30.17,29.77
2081-12-31,,34.95,37.57
2082-12-31,,29.56,30.83
2083-12-31,,33.86,34.26
2084-12-31,,30.0,35.94
2085-12-31,,29.4,35.17
2086-12-31,,31.56,29.71
2087-12-31,,26.45,34.7
2088-12-31,,27.08,34.46
2089-12-31,,27.43,30.89
2090-12-31,,34.41,34.8
2091-12-31,,27.7,33.22
2092-12-31,,30.62,31.87
2093-12-31,,30.23,30.99
2094-12-31,,29.82,34.27
2095-12-31,,27.6,36.0
2096-12-31,,30.86,35.73
2097-12-31,,36.2,28.68
2098-12-31,,33.51,35.73
2099-12-31,,27.81,30.01
