date,mean
2006-12-31,13.99
2007-12-31,13.77
2008-12-31,13.75
2009-12-31,13.7
2010-12-31,13.56
2011-12-31,13.84
2012-12-31,14.06
2013-12-31,13.82
2014-12-31,14.14
2015-12-31,14.15
2016-12-31,13.97
2017-12-31,14.39
2018-12-31,14.34
2019-12-31,14.27
2020-12-31,14.38
2021-12-31,14.35
2022-12-31,14.4
2023-12-31,14.64
2024-12-31,14.53
2025-12-31,14.51
2026-12-31,14.61
2027-12-31,14.61
2028-12-31,14.93
2029-12-31,14.89
2030-12-31,15.04
2031-12-31,14.67
2032-12-31,14.49
2033-12-31,14.94
2034-12-31,14.91
2035-12-31,15.27
2036-12-31,14.82
2037-12-31,15.36
2038-12-31,15.13
2039-12-31,15.22
2040-12-31,15.14
2041-12-31,15.37
2042-12-31,15.44
2043-12-31,15.51
2044-12-31,15.28
2045-12-31,15.65
2046-12-31,15.72
2047-12-31,15.71
2048-12-31,15.8
2049-12-31,16.06
2050-12-31,16.06
2051-12-31,16.11
2052-12-31,16.21
2053-12-31,16.41
2054-12-31,16.39
2055-12-31,16.35
2056-12-31,16.46
2057-12-31,16.74
2058-12-31,16.41
2059-12-31,16.6
2060-12-31,16.77
2061-12-31,16.7
2062-12-31,16.71
2063-12-31,16.78
2064-12-31,16.92
2065-12-31,16.95
2066-12-31,17.11
2067-12-31,17.31
2068-12-31,17.54
2069-12-31,17.64
2070-12-31,17.5
2071-12-31,17.55
2072-12-31,17.51
2073-12-31,17.56
2074-12-31,17.6
2075-12-31,18.02
2076-12-31,17.83
2077-12-31,18.14
2078-12-31,18.08
2079-12-31,17.94
2080-12-31,17.91
2081-12-31,18.19
2082-12-31,18.58
2083-12-31,18.22
2084-12-31,18.26
2085-12-31,18.45
2086-12-31,18.65
2087-12-31,18.56
2088-12-31,18.63
2089-12-31,18.77
2090-12-31,18.84
2091-12-31,18.82
2092-12-31,18.82
2093-12-31,19.14
2094-12-31,19.02
2095-12-31,18.95
2096-12-31,19.17
2097-12-31,19.34
2098-12-31,19.26
2099-12-31,20.1
