date,spei
1981-12-31,-0.38
1982-12-31,0.28
1983-12-31,0.26
1984-12-31,0.62
1985-12-31,0.54
1986-12-31,-0.44
1987-12-31,-0.2
1988-12-31,-0.04
1989-12-31,-0.07
1990-12-31,-0.24
1991-12-31,-0.08
1992-12-31,-0.09
1993-12-31,0.19
1994-12-31,0.52
1995-12-31,-0.06
1996-12-31,0.03
1997-12-31,0.02
1998-12-31,-0.22
1999-12-31,-0.6
2000-12-31,-0.29
2001-12-31,0.02
2002-12-31,-0.13
2003-12-31,-0.4
2004-12-31,0.18
2005-12-31,0.07
2006-12-31,-0.15
2007-12-31,0.04
2008-12-31,0.14
2009-12-31,0.16
2010-12-31,0.16
2011-12-31,0.23
2012-12-31,-0.19
2013-12-31,0.33
2014-12-31,0.15
