,historical,rcp45,rcp85
1950-12-31,8120.6,,
1951-12-31,8032.57,,
1952-12-31,8124.59,,
1953-12-31,8068.75,,
1954-12-31,8110.75,,
1955-12-31,8155.87,,
1956-12-31,8210.19,,
1957-12-31,8174.99,,
1958-12-31,8222.77,,
1959-12-31,8160.52,,
1960-12-31,8213.58,,
1961-12-31,7987.94,,
1962-12-31,8064.44,,
1963-12-31,8015.92,,
1964-12-31,8379.78,,
1965-12-31,8335.88,,
1966-12-31,8368.48,,
1967-12-31,8242.21,,
1968-12-31,8421.45,,
1969-12-31,8264.78,,
1970-12-31,8210.21,,
1971-12-31,8213.94,,
1972-12-31,8289.8,,
1973-12-31,8123.09,,
1974-12-31,8249.41,,
1975-12-31,8120.45,,
1976-12-31,8186.46,,
1977-12-31,8045.32,,
1978-12-31,8067.12,,
1979-12-31,7987.03,,
1980-12-31,8073.79,,
1981-12-31,8074.73,,
1982-12-31,8165.65,,
1983-12-31,8173.21,,
1984-12-31,8133.09,,
1985-12-31,8048.99,,
1986-12-31,7899.37,,
1987-12-31,8045.89,,
1988-12-31,7914.36,,
1989-12-31,7891.21,,
1990-12-31,7987.33,,
1991-12-31,7782.27,,
1992-12-31,8130.31,,
1993-12-31,8021.19,,
1994-12-31,7964.85,,
1995-12-31,8060.07,,
1996-12-31,8000.99,,
1997-12-31,7797.47,,
1998-12-31,7736.98,,
1999-12-31,7763.09,,
2000-12-31,7737.94,,
2001-12-31,7792.46,,
2002-12-31,7639.52,,
2003-12-31,7693.04,,
2004-12-31,7647.53,,
2005-12-31,7266.91,,
2006-12-31,,7449.52,7408.68
2007-12-31,,7467.14,7547.75
2008-12-31,,7616.82,7584.53
2009-12-31,,7327.36,7526.91
2010-12-31,,7400.76,7642.19
2011-12-31,,7324.43,7525.92
2012-12-31,,7360.6,7403.25
2013-12-31,,7436.88,7510.74
2014-12-31,,7429.65,7280.75
2015-12-31,,7349.22,7365.82
2016-12-31,,7535.85,7345.51
2017-12-31,,7394.71,7139.3
2018-12-31,,7369.58,7202.79
2019-12-31,,7279.55,7245.33
2020-12-31,,7288.99,7268.41
2021-12-31,,7346.01,7184.55
2022-12-31,,7129.67,7166.18
2023-12-31,,7129.51,7043.01
2024-12-31,,7053.5,7142.09
2025-12-31,,7113.49,7082.67
2026-12-31,,6864.17,6979.1
2027-12-31,,7159.26,7022.51
2028-12-31,,7040.33,6832.48
2029-12-31,,7024.06,6851.57
2030-12-31,,7080.9,6796.3
2031-12-31,,7051.35,7020.44
2032-12-31,,6974.05,7192.39
2033-12-31,,6900.25,6842.25
2034-12-31,,6967.49,6853.48
2035-12-31,,6954.69,6692.36
2036-12-31,,6998.45,6940.67
2037-12-31,,6873.02,6651.64
2038-12-31,,6883.93,6813.78
2039-12-31,,6998.83,6695.02
2040-12-31,,6984.07,6779.17
2041-12-31,,6924.29,6642.66
2042-12-31,,6890.11,6626.63
2043-12-31,,6832.62,6559.01
2044-12-31,,6706.84,6644.97
2045-12-31,,6718.47,6507.38
2046-12-31,,6896.38,6472.16
2047-12-31,,6626.88,6518.28
2048-12-31,,6690.73,6472.73
2049-12-31,,6589.79,6317.95
2050-12-31,,6494.16,6300.0
2051-12-31,,6586.82,6254.64
2052-12-31,,6464.42,6211.65
2053-12-31,,6459.68,6172.7
2054-12-31,,6570.71,6190.62
2055-12-31,,6509.32,6151.22
2056-12-31,,6722.73,6169.36
2057-12-31,,6576.44,5953.32
2058-12-31,,6350.18,6111.45
2059-12-31,,6455.78,6031.41
2060-12-31,,6500.11,5918.43
2061-12-31,,6369.9,5963.28
2062-12-31,,6351.43,5967.95
2063-12-31,,6480.89,5955.94
2064-12-31,,6485.68,5958.2
2065-12-31,,6359.28,5906.49
2066-12-31,,6383.73,5760.6
2067-12-31,,6439.96,5719.85
2068-12-31,,6522.98,5612.38
2069-12-31,,6398.76,5512.33
2070-12-31,,6393.66,5558.13
2071-12-31,,6332.11,5582.69
2072-12-31,,6241.25,5584.73
2073-12-31,,6305.48,5574.42
2074-12-31,,6268.36,5553.61
2075-12-31,,6351.72,5386.82
2076-12-31,,6229.24,5464.54
2077-12-31,,6324.96,5381.91
2078-12-31,,6178.26,5303.76
2079-12-31,,6187.58,5394.37
2080-12-31,,6289.79,5493.29
2081-12-31,,6213.83,5302.99
2082-12-31,,6144.25,5132.76
2083-12-31,,6212.6,5351.9
2084-12-31,,6348.82,5335.1
2085-12-31,,6352.57,5219.64
2086-12-31,,6319.96,5088.55
2087-12-31,,6450.08,5107.7
2088-12-31,,6325.26,5178.94
2089-12-31,,6297.12,5111.33
2090-12-31,,6241.25,5110.96
2091-12-31,,6227.32,5038.6
2092-12-31,,6133.28,5107.66
2093-12-31,,6273.44,4953.14
2094-12-31,,6255.83,4974.67
2095-12-31,,6185.37,4976.6
2096-12-31,,6265.31,4956.81
2097-12-31,,6245.68,4830.77
2098-12-31,,6270.26,4867.42
2099-12-31,,5570.47,4470.69
