date,mean
2006-12-31,16.09
2007-12-31,16.25
2008-12-31,16.04
2009-12-31,16.26
2010-12-31,16.1
2011-12-31,16.25
2012-12-31,16.35
2013-12-31,16.22
2014-12-31,16.2
2015-12-31,16.34
2016-12-31,16.16
2017-12-31,16.24
2018-12-31,16.26
2019-12-31,16.55
2020-12-31,16.53
2021-12-31,16.26
2022-12-31,16.72
2023-12-31,16.71
2024-12-31,16.69
2025-12-31,16.89
2026-12-31,17.15
2027-12-31,16.65
2028-12-31,16.94
2029-12-31,17.04
2030-12-31,16.82
2031-12-31,16.97
2032-12-31,17.1
2033-12-31,17.27
2034-12-31,17.12
2035-12-31,17.32
2036-12-31,17.21
2037-12-31,17.08
2038-12-31,17.31
2039-12-31,17.29
2040-12-31,16.96
2041-12-31,17.35
2042-12-31,17.24
2043-12-31,17.3
2044-12-31,17.27
2045-12-31,17.69
2046-12-31,17.65
2047-12-31,17.7
2048-12-31,17.57
2049-12-31,17.82
2050-12-31,17.76
2051-12-31,17.61
2052-12-31,17.99
2053-12-31,17.9
2054-12-31,17.85
2055-12-31,17.72
2056-12-31,17.51
2057-12-31,17.84
2058-12-31,18.26
2059-12-31,17.84
2060-12-31,17.65
2061-12-31,17.98
2062-12-31,18.0
2063-12-31,17.94
2064-12-31,17.75
2065-12-31,18.15
2066-12-31,18.1
2067-12-31,18.11
2068-12-31,17.92
2069-12-31,18.27
2070-12-31,18.02
2071-12-31,18.18
2072-12-31,18.64
2073-12-31,18.18
2074-12-31,18.26
2075-12-31,18.29
2076-12-31,18.7
2077-12-31,18.23
2078-12-31,18.2
2079-12-31,18.33
2080-12-31,18.23
2081-12-31,18.39
2082-12-31,18.47
2083-12-31,18.65
2084-12-31,18.3
2085-12-31,18.22
2086-12-31,18.4
2087-12-31,18.43
2088-12-31,18.32
2089-12-31,18.4
2090-12-31,18.29
2091-12-31,18.44
2092-12-31,18.72
2093-12-31,18.6
2094-12-31,18.39
2095-12-31,18.41
2096-12-31,18.4
2097-12-31,18.48
2098-12-31,18.29
2099-12-31,18.74
