,historical,rcp45,rcp85
1950-12-31,150.81715619768624,,
1951-12-31,142.3216096714585,,
1952-12-31,139.9214907400968,,
1953-12-31,141.2868639264808,,
1954-12-31,137.63729370117375,,
1955-12-31,141.08292994908115,,
1956-12-31,142.31992021833344,,
1957-12-31,132.16723493303752,,
1958-12-31,118.00023890904194,,
1959-12-31,121.56969412667588,,
1960-12-31,140.35090061732905,,
1961-12-31,141.81690229143615,,
1962-12-31,140.63573774065497,,
1963-12-31,133.2026605224628,,
1964-12-31,116.91952837263008,,
1965-12-31,104.70221836635206,,
1966-12-31,108.66611467634095,,
1967-12-31,162.96672337123533,,
1968-12-31,122.75801417759678,,
1969-12-31,121.35748988560441,,
1970-12-31,117.94905535016927,,
1971-12-31,116.63892037528082,,
1972-12-31,145.32568280901432,,
1973-12-31,140.88983363560476,,
1974-12-31,154.66135157994077,,
1975-12-31,115.90504821777525,,
1976-12-31,132.6754622977138,,
1977-12-31,156.88846566336701,,
1978-12-31,170.16766671317183,,
1979-12-31,155.3279743303592,,
1980-12-31,161.25930829729566,,
1981-12-31,187.95042253766977,,
1982-12-31,140.9341704450355,,
1983-12-31,126.74620038713907,,
1984-12-31,141.86924342564367,,
1985-12-31,156.73546979631902,,
1986-12-31,157.37983625139705,,
1987-12-31,165.87251072475095,,
1988-12-31,182.02099635533153,,
1989-12-31,183.1856273542155,,
1990-12-31,183.77110098702786,,
1991-12-31,205.97147460937737,,
1992-12-31,125.39504542759676,,
1993-12-31,160.09020647321623,,
1994-12-31,217.18958199637524,,
1995-12-31,184.96373482840625,,
1996-12-31,169.6564737374465,,
1997-12-31,193.98374799456147,,
1998-12-31,227.43842572893664,,
1999-12-31,213.24649230957294,,
2000-12-31,239.50064950125818,,
2001-12-31,221.18525774274812,,
2002-12-31,238.26077689034858,,
2003-12-31,256.8720394461522,,
2004-12-31,245.35882725307195,,
2005-12-31,252.9140359933063,,
2006-12-31,,276.5056118338477,266.8301485770116
2007-12-31,,236.4695583670506,274.67508762904856
2008-12-31,,272.5506251743889,285.0601709856335
2009-12-31,,259.03666120256963,274.9002888706779
2010-12-31,,257.4329111153767,267.1101697649302
2011-12-31,,273.7400517926926,270.03425816127503
2012-12-31,,303.22161158970715,320.9326028878378
2013-12-31,,288.9803427560018,278.61561558315015
2014-12-31,,260.095309535438,319.87219866071723
2015-12-31,,264.09355869838447,295.26244192941147
2016-12-31,,306.4597327532116,297.6955950055832
2017-12-31,,299.51421718052745,310.31149056571167
2018-12-31,,297.5688116455107,350.1735357666048
2019-12-31,,301.13146702357983,324.41416033063933
2020-12-31,,319.1318466622518,349.2067422049418
2021-12-31,,296.5599372209851,328.55419137137574
2022-12-31,,364.759394269674,352.2872985839875
2023-12-31,,335.788331124445,362.3047754778213
2024-12-31,,350.4758761160746,404.63136308942853
2025-12-31,,362.8662235804998,330.22343453543823
2026-12-31,,358.2263357979943,341.76472080775994
2027-12-31,,349.4054318673302,362.7854412841829
2028-12-31,,393.7699413190602,386.9639501953157
2029-12-31,,379.5501351492779,385.90964329311157
2030-12-31,,369.93824140276564,449.80568132673335
