,historical,rcp45,rcp85
1950-12-31,18.45,,
1951-12-31,20.71,,
1952-12-31,21.59,,
1953-12-31,24.23,,
1954-12-31,20.53,,
1955-12-31,22.86,,
1956-12-31,24.22,,
1957-12-31,19.87,,
1958-12-31,19.29,,
1959-12-31,21.37,,
1960-12-31,23.61,,
1961-12-31,21.81,,
1962-12-31,20.72,,
1963-12-31,22.62,,
1964-12-31,22.71,,
1965-12-31,22.09,,
1966-12-31,19.84,,
1967-12-31,20.8,,
1968-12-31,20.56,,
1969-12-31,21.54,,
1970-12-31,19.81,,
1971-12-31,20.25,,
1972-12-31,22.16,,
1973-12-31,22.61,,
1974-12-31,24.52,,
1975-12-31,25.51,,
1976-12-31,21.74,,
1977-12-31,23.4,,
1978-12-31,24.16,,
1979-12-31,21.49,,
1980-12-31,21.17,,
1981-12-31,21.15,,
1982-12-31,21.0,,
1983-12-31,22.29,,
1984-12-31,25.91,,
1985-12-31,20.53,,
1986-12-31,23.19,,
1987-12-31,18.83,,
1988-12-31,21.94,,
1989-12-31,27.22,,
1990-12-31,21.09,,
1991-12-31,22.38,,
1992-12-31,19.08,,
1993-12-31,21.26,,
1994-12-31,22.38,,
1995-12-31,20.25,,
1996-12-31,25.31,,
1997-12-31,19.99,,
1998-12-31,22.23,,
1999-12-31,20.98,,
2000-12-31,23.49,,
2001-12-31,21.45,,
2002-12-31,21.15,,
2003-12-31,24.33,,
2004-12-31,21.28,,
2005-12-31,23.22,,
2006-12-31,,23.66,22.56
2007-12-31,,22.03,23.22
2008-12-31,,22.81,19.67
2009-12-31,,23.45,22.45
2010-12-31,,21.69,23.42
2011-12-31,,21.86,21.18
2012-12-31,,23.46,22.26
2013-12-31,,21.38,19.58
2014-12-31,,26.15,21.95
2015-12-31,,21.88,22.31
2016-12-31,,18.9,21.37
2017-12-31,,18.62,22.66
2018-12-31,,22.2,19.69
2019-12-31,,21.87,21.25
2020-12-31,,24.17,24.58
2021-12-31,,22.11,23.46
2022-12-31,,23.06,24.43
2023-12-31,,24.64,28.97
2024-12-31,,22.61,24.34
2025-12-31,,17.89,23.01
2026-12-31,,21.25,24.37
2027-12-31,,22.38,21.49
2028-12-31,,26.3,24.82
2029-12-31,,22.7,28.51
2030-12-31,,21.77,23.68
2031-12-31,,26.16,20.28
2032-12-31,,21.73,23.63
2033-12-31,,25.39,21.73
2034-12-31,,23.5,19.98
2035-12-31,,20.8,23.51
2036-12-31,,26.92,26.69
2037-12-31,,21.13,20.37
2038-12-31,,22.47,23.82
2039-12-31,,26.21,21.01
2040-12-31,,24.42,23.31
2041-12-31,,22.74,23.29
2042-12-31,,22.54,25.73
2043-12-31,,25.61,24.71
2044-12-31,,21.87,22.56
2045-12-31,,20.16,21.58
2046-12-31,,22.58,21.79
2047-12-31,,23.21,22.77
2048-12-31,,22.21,24.02
2049-12-31,,23.11,22.95
2050-12-31,,25.25,23.49
2051-12-31,,21.14,20.91
2052-12-31,,23.31,22.58
2053-12-31,,25.9,29.21
2054-12-31,,26.31,26.87
2055-12-31,,25.34,24.84
2056-12-31,,22.61,23.7
2057-12-31,,26.76,24.34
2058-12-31,,24.4,23.67
2059-12-31,,22.62,28.05
2060-12-31,,23.68,28.41
2061-12-31,,28.11,24.86
2062-12-31,,25.21,23.34
2063-12-31,,24.73,25.74
2064-12-31,,26.58,24.9
2065-12-31,,22.69,21.97
2066-12-31,,24.08,24.7
2067-12-31,,22.98,25.2
2068-12-31,,24.74,23.64
2069-12-31,,22.74,30.63
2070-12-31,,23.64,26.72
2071-12-31,,23.56,25.24
2072-12-31,,24.29,25.57
2073-12-31,,25.2,23.02
2074-12-31,,22.29,23.28
2075-12-31,,20.98,24.65
2076-12-31,,28.18,24.33
2077-12-31,,23.64,26.18
2078-12-31,,25.3,28.26
2079-12-31,,20.9,25.74
2080-12-31,,22.94,26.61
2081-12-31,,27.33,23.92
2082-12-31,,23.93,27.74
2083-12-31,,23.87,23.75
2084-12-31,,26.21,23.04
2085-12-31,,22.99,28.46
2086-12-31,,24.59,26.32
2087-12-31,,25.74,28.28
2088-12-31,,24.01,28.82
2089-12-31,,20.73,26.54
2090-12-31,,25.02,29.79
2091-12-31,,27.03,27.33
2092-12-31,,28.88,22.93
2093-12-31,,24.25,23.85
2094-12-31,,24.95,27.99
2095-12-31,,23.59,26.55
2096-12-31,,24.0,27.5
2097-12-31,,24.77,25.87
2098-12-31,,25.51,27.33
2099-12-31,,26.53,29.72
