date,mean
1950-12-31,3.21
1951-12-31,3.07
1952-12-31,3.14
1953-12-31,3.01
1954-12-31,3.16
1955-12-31,3.02
1956-12-31,3.1
1957-12-31,3.08
1958-12-31,3.35
1959-12-31,3.21
1960-12-31,3.19
1961-12-31,3.11
1962-12-31,3.17
1963-12-31,3.09
1964-12-31,3.18
1965-12-31,3.14
1966-12-31,3.22
1967-12-31,3.09
1968-12-31,3.14
1969-12-31,3.24
1970-12-31,3.02
1971-12-31,3.13
1972-12-31,3.21
1973-12-31,3.08
1974-12-31,3.3
1975-12-31,3.22
1976-12-31,3.31
1977-12-31,3.1
1978-12-31,3.12
1979-12-31,3.13
1980-12-31,3.05
1981-12-31,2.99
1982-12-31,3.03
1983-12-31,3.31
1984-12-31,3.16
1985-12-31,3.25
1986-12-31,3.07
1987-12-31,3.29
1988-12-31,3.25
1989-12-31,3.19
1990-12-31,3.27
1991-12-31,3.15
1992-12-31,3.17
1993-12-31,3.09
1994-12-31,3.06
1995-12-31,3.14
1996-12-31,3.37
1997-12-31,3.12
1998-12-31,3.29
1999-12-31,3.28
2000-12-31,3.18
2001-12-31,3.42
2002-12-31,3.09
2003-12-31,3.22
2004-12-31,3.22
2005-12-31,3.32
