,historical,rcp45,rcp85
1950-12-31,1064.41,,
1951-12-31,1082.65,,
1952-12-31,1105.94,,
1953-12-31,1061.65,,
1954-12-31,1002.94,,
1955-12-31,1015.49,,
1956-12-31,1051.77,,
1957-12-31,1058.31,,
1958-12-31,1016.03,,
1959-12-31,1013.86,,
1960-12-31,1058.63,,
1961-12-31,1036.51,,
1962-12-31,1079.16,,
1963-12-31,999.74,,
1964-12-31,992.27,,
1965-12-31,992.2,,
1966-12-31,975.75,,
1967-12-31,1054.11,,
1968-12-31,1008.34,,
1969-12-31,997.2,,
1970-12-31,1017.56,,
1971-12-31,1049.52,,
1972-12-31,1055.79,,
1973-12-31,1044.27,,
1974-12-31,1063.82,,
1975-12-31,1044.88,,
1976-12-31,1004.3,,
1977-12-31,1069.78,,
1978-12-31,1044.82,,
1979-12-31,1040.85,,
1980-12-31,1096.94,,
1981-12-31,1134.67,,
1982-12-31,1034.4,,
1983-12-31,993.63,,
1984-12-31,1035.19,,
1985-12-31,1058.87,,
1986-12-31,1102.61,,
1987-12-31,1088.81,,
1988-12-31,1075.91,,
1989-12-31,1128.83,,
1990-12-31,1141.17,,
1991-12-31,1164.26,,
1992-12-31,1001.73,,
1993-12-31,1080.39,,
1994-12-31,1173.18,,
1995-12-31,1112.88,,
1996-12-31,1165.81,,
1997-12-31,1189.51,,
1998-12-31,1199.47,,
1999-12-31,1221.18,,
2000-12-31,1261.95,,
2001-12-31,1213.49,,
2002-12-31,1217.23,,
2003-12-31,1224.31,,
2004-12-31,1222.42,,
2005-12-31,1272.4,,
2006-12-31,,1259.46,1262.75
2007-12-31,,1337.47,1319.84
2008-12-31,,1336.85,1310.78
2009-12-31,,1232.88,1287.53
2010-12-31,,1312.45,1322.06
2011-12-31,,1340.51,1351.85
2012-12-31,,1312.19,1389.87
2013-12-31,,1321.68,1359.54
2014-12-31,,1396.96,1365.45
2015-12-31,,1362.2,1344.06
2016-12-31,,1371.31,1387.88
2017-12-31,,1371.2,1397.69
2018-12-31,,1376.62,1461.4
2019-12-31,,1364.7,1501.23
2020-12-31,,1423.33,1459.22
2021-12-31,,1403.42,1454.3
2022-12-31,,1367.95,1415.96
2023-12-31,,1390.81,1562.55
2024-12-31,,1416.82,1499.79
2025-12-31,,1420.66,1437.37
2026-12-31,,1508.16,1484.68
2027-12-31,,1511.93,1535.58
2028-12-31,,1521.12,1539.16
2029-12-31,,1522.37,1497.63
2030-12-31,,1494.95,1578.75
2031-12-31,,1497.92,1581.38
2032-12-31,,1553.46,1572.53
2033-12-31,,1557.05,1614.59
2034-12-31,,1554.16,1586.67
2035-12-31,,1599.07,1649.9
2036-12-31,,1591.64,1678.64
2037-12-31,,1554.43,1706.54
2038-12-31,,1609.18,1646.44
2039-12-31,,1607.24,1695.92
2040-12-31,,1685.39,1714.34
2041-12-31,,1621.12,1707.82
2042-12-31,,1643.61,1794.28
2043-12-31,,1644.27,1732.01
2044-12-31,,1608.88,1792.53
2045-12-31,,1695.06,1815.34
2046-12-31,,1710.29,1875.82
2047-12-31,,1770.08,1862.99
2048-12-31,,1714.74,1892.41
2049-12-31,,1716.12,1874.22
2050-12-31,,1781.44,1895.45
2051-12-31,,1714.49,1907.63
2052-12-31,,1748.08,1900.07
2053-12-31,,1751.24,1973.97
2054-12-31,,1707.99,2015.75
2055-12-31,,1780.99,1999.54
2056-12-31,,1741.42,2044.91
2057-12-31,,1782.56,2023.49
2058-12-31,,1829.0,2077.0
2059-12-31,,1805.18,2072.35
2060-12-31,,1801.21,2116.22
2061-12-31,,1786.52,2101.75
2062-12-31,,1860.92,2171.55
2063-12-31,,1819.33,2195.63
2064-12-31,,1776.5,2318.78
2065-12-31,,1816.04,2223.27
2066-12-31,,1812.52,2263.79
2067-12-31,,1812.77,2321.8
2068-12-31,,1808.58,2331.92
2069-12-31,,1854.35,2343.96
2070-12-31,,1849.72,2274.24
2071-12-31,,1865.94,2316.56
2072-12-31,,1901.19,2389.89
2073-12-31,,1835.53,2463.43
2074-12-31,,1897.17,2452.74
2075-12-31,,1898.77,2395.16
2076-12-31,,1906.05,2452.86
2077-12-31,,1862.45,2489.09
2078-12-31,,1866.06,2495.35
2079-12-31,,1888.16,2474.61
2080-12-31,,1942.87,2530.09
2081-12-31,,1861.08,2615.96
2082-12-31,,1981.61,2538.9
2083-12-31,,1977.07,2660.54
2084-12-31,,1864.92,2557.85
2085-12-31,,1927.58,2726.21
2086-12-31,,1904.68,2698.34
2087-12-31,,1873.66,2727.92
2088-12-31,,1808.62,2865.96
2089-12-31,,1834.01,2736.53
2090-12-31,,1836.17,2866.86
2091-12-31,,1860.55,2803.1
2092-12-31,,1900.6,2825.28
2093-12-31,,1913.14,2924.73
2094-12-31,,1885.03,2939.87
2095-12-31,,1903.19,2927.83
2096-12-31,,1878.85,2952.9
2097-12-31,,1932.32,2917.14
2098-12-31,,1899.0,2927.77
2099-12-31,,1871.81,3030.01
