date,spei
1981-12-31,0.31
1982-12-31,-0.3
1983-12-31,-0.01
1984-12-31,0.02
1985-12-31,0.14
1986-12-31,0.16
1987-12-31,0.13
1988-12-31,0.14
1989-12-31,0.3
1990-12-31,0.28
1991-12-31,-0.03
1992-12-31,-0.05
1993-12-31,-0.09
1994-12-31,-0.06
1995-12-31,-0.1
1996-12-31,0.28
1997-12-31,-0.32
1998-12-31,-0.13
1999-12-31,0.32
2000-12-31,0.43
2001-12-31,-0.11
2002-12-31,-0.17
2003-12-31,0.02
2004-12-31,0.25
2005-12-31,0.15
2006-12-31,-0.07
2007-12-31,-0.23
2008-12-31,-0.42
2009-12-31,-0.3
2010-12-31,0.51
2011-12-31,0.19
2012-12-31,-0.32
2013-12-31,-0.77
2014-12-31,-0.2
