date,spei
2015-12-31,0.02
2016-12-31,0.28
2017-12-31,0.13
2018-12-31,0.09
2019-12-31,0.67
2020-12-31,0.73
2021-12-31,0.3
2022-12-31,0.87
2023-12-31,-0.15
2024-12-31,-0.14
2025-12-31,-0.43
2026-12-31,0.19
2027-12-31,-0.68
2028-12-31,-0.49
2029-12-31,-0.44
2030-12-31,0.18
2031-12-31,-0.13
2032-12-31,0.67
2033-12-31,1.09
2034-12-31,0.89
2035-12-31,0.59
2036-12-31,0.55
2037-12-31,0.14
2038-12-31,0.15
2039-12-31,-0.01
2040-12-31,0.16
2041-12-31,0.42
2042-12-31,0.47
2043-12-31,0.3
2044-12-31,-0.11
2045-12-31,0.17
2046-12-31,0.03
2047-12-31,0.39
2048-12-31,0.23
2049-12-31,0.3
2050-12-31,-0.11
2051-12-31,-0.34
2052-12-31,-0.2
2053-12-31,-0.11
2054-12-31,0.26
2055-12-31,0.31
2056-12-31,0.28
2057-12-31,0.3
2058-12-31,0.31
2059-12-31,-0.52
2060-12-31,-0.18
2061-12-31,-0.09
2062-12-31,-0.11
2063-12-31,0.19
2064-12-31,0.3
2065-12-31,0.78
2066-12-31,0.47
2067-12-31,0.5
2068-12-31,0.33
2069-12-31,-0.22
2070-12-31,0.33
2071-12-31,-0.34
2072-12-31,-0.04
2073-12-31,-0.31
2074-12-31,0.12
2075-12-31,0.69
2076-12-31,1.18
2077-12-31,-0.03
2078-12-31,-0.11
2079-12-31,0.23
2080-12-31,0.65
2081-12-31,-0.1
2082-12-31,0.31
2083-12-31,0.25
2084-12-31,0.37
2085-12-31,0.35
2086-12-31,0.34
2087-12-31,-0.04
2088-12-31,0.29
2089-12-31,0.45
2090-12-31,-0.11
2091-12-31,0.41
2092-12-31,0.66
2093-12-31,0.14
2094-12-31,0.23
2095-12-31,0.55
2096-12-31,-0.55
2097-12-31,-0.16
2098-12-31,-0.08
2099-12-31,-0.07
2100-12-31,0.53
