,historical,rcp45,rcp85
1950-12-31,4541.938505118225,,
1951-12-31,4589.895416957302,,
1952-12-31,4627.576151079441,,
1953-12-31,4649.108615243084,,
1954-12-31,4647.700491202208,,
1955-12-31,4756.067444981156,,
1956-12-31,4698.828277893057,,
1957-12-31,4540.394891967763,,
1958-12-31,4595.072109898149,,
1959-12-31,4788.109389735621,,
1960-12-31,4491.596345868782,,
1961-12-31,4661.671250479553,,
1962-12-31,4706.314264569954,,
1963-12-31,4779.3573820277525,,
1964-12-31,4849.057446463438,,
1965-12-31,4837.496670706603,,
1966-12-31,4651.685740748804,,
1967-12-31,4631.221962367456,,
1968-12-31,4788.177427150174,,
1969-12-31,4677.851232735761,,
1970-12-31,4693.713213544563,,
1971-12-31,4709.443964887337,,
1972-12-31,4615.884939662379,,
1973-12-31,4566.885603594088,,
1974-12-31,4662.619606584811,,
1975-12-31,4640.478995710091,,
1976-12-31,4717.773036455417,,
1977-12-31,4698.0716914585555,,
1978-12-31,4546.346343340184,,
1979-12-31,4487.985382472437,,
1980-12-31,4655.014981863829,,
1981-12-31,4466.167784816188,,
1982-12-31,4592.527932652056,,
1983-12-31,4708.709037257593,,
1984-12-31,4604.390276402055,,
1985-12-31,4616.4349095807665,,
1986-12-31,4412.450935276567,,
1987-12-31,4520.9012334333065,,
1988-12-31,4670.440078953326,,
1989-12-31,4466.824127633222,,
1990-12-31,4576.117664794913,,
1991-12-31,4268.116083635592,,
1992-12-31,4847.172503880082,,
1993-12-31,4572.106972481854,,
1994-12-31,4511.846818847646,,
1995-12-31,4488.865903669074,,
1996-12-31,4453.6598187691725,,
1997-12-31,4415.636838553282,,
1998-12-31,4397.733344595765,,
1999-12-31,4325.651768450046,,
2000-12-31,4359.243147975368,,
2001-12-31,4453.47154009137,,
2002-12-31,4319.543172171446,,
2003-12-31,4359.452228698721,,
2004-12-31,4456.6803060913,,
2005-12-31,3986.5085295758845,,
2006-12-31,,4319.05584324427,4312.749001639221
2007-12-31,,4059.3176548113047,4234.817340523847
2008-12-31,,4372.312712009965,4169.005539637965
2009-12-31,,4235.5416283743625,4306.433249119339
2010-12-31,,4307.637376403799,4225.46152369907
2011-12-31,,4288.152607814235,4260.7911694335835
2012-12-31,,4283.113329249782,4095.419124712255
2013-12-31,,4249.826573268337,4095.8849773297898
2014-12-31,,4079.7379754638596,4129.569016200466
2015-12-31,,4165.10192478724,4323.091836504246
2016-12-31,,4154.400080043239,4243.761742815281
2017-12-31,,4098.454760872969,4213.222312447675
2018-12-31,,4218.409683750689,4167.7104698835
2019-12-31,,4168.84386278424,4030.9271299961547
2020-12-31,,4171.854585702069,4133.161052376875
2021-12-31,,4125.6890938894985,4212.1230380248935
2022-12-31,,4134.721729431143,4164.303547319675
2023-12-31,,4097.665814644941,4129.969141235343
2024-12-31,,4089.453028084882,4096.327904924656
2025-12-31,,3959.775183628618,3929.0319470214754
2026-12-31,,3971.788519199907,4049.140655866341
2027-12-31,,4010.7122075979964,4135.502551531102
2028-12-31,,4023.197562648219,4096.792567095066
2029-12-31,,4103.047531302307,3920.9194917515256
2030-12-31,,3901.88201450892,3812.4590499005913
2031-12-31,,3978.044851640964,3980.161953124991
2032-12-31,,3991.6558508300695,3921.6105487496425
2033-12-31,,3913.9733965192436,3842.682569841649
2034-12-31,,3975.806911010734,3890.3652771431975
2035-12-31,,3909.2822485787437,3886.6554623413
2036-12-31,,3809.9572505841843,3865.7536138043997
2037-12-31,,3959.616496669216,3891.5178324236103
2038-12-31,,3892.6333888462527,3727.1685587855663
2039-12-31,,3762.6191634695792,3837.5336574881326
2040-12-31,,3823.581922433027,3871.892205461766
2041-12-31,,3760.817445940282,3738.194551347997
2042-12-31,,3863.3820388357904,3668.87965135846
2043-12-31,,3818.5402667236235,3619.837663356228
2044-12-31,,3800.2238062831257,3717.9283898053773
2045-12-31,,3740.626589747829,3719.3773677716854
2046-12-31,,3684.7891913713643,3728.55575923374
2047-12-31,,3890.9831379045672,3622.3682068306975
2048-12-31,,3898.044006347648,3637.51468688964
2049-12-31,,3792.6327019827627,3634.871385454442
2050-12-31,,3934.413562404078,3430.751065412241
2051-12-31,,3810.926169259198,3649.7261179460716
2052-12-31,,3775.743134940002,3614.029497942235
2053-12-31,,3751.597636936725,3525.5213592965183
2054-12-31,,3587.298527832023,3495.880679103297
2055-12-31,,3727.699275163915,3516.606131286613
2056-12-31,,3652.3099164254236,3479.214608023499
2057-12-31,,3645.9904624284936,3595.868960614877
2058-12-31,,3692.435499659939,3417.193285827628
2059-12-31,,3698.045598449699,3292.590735299239
2060-12-31,,3700.581445094509,3433.2009426443838
2061-12-31,,3584.466456342417,3406.201419198165
2062-12-31,,3598.153017708907,3397.0554844011504
2063-12-31,,3626.849138924726,3339.441689889083
2064-12-31,,3690.4719445800692,3372.6940647670117
2065-12-31,,3609.7210638427655,3277.915464390338
2066-12-31,,3565.8816074916213,3273.087689252573
2067-12-31,,3662.7782177298322,3401.5181420898366
2068-12-31,,3704.4977126203185,3267.0348014177525
2069-12-31,,3561.0328822108595,3238.173848528173
2070-12-31,,3624.543734784799,3155.47131517682
2071-12-31,,3573.9615533883148,3211.98324284144
2072-12-31,,3753.0964533342553,3227.1058633422776
2073-12-31,,3617.271321498318,3122.0012528773636
2074-12-31,,3695.509146336138,3098.6056523786197
2075-12-31,,3694.9685500226615,3159.793556213371
2076-12-31,,3681.423370622898,3054.8883418491832
2077-12-31,,3537.377294355112,3172.570469796309
2078-12-31,,3533.276187133781,3087.8853630283825
2079-12-31,,3715.2965887015125,3015.6126762608046
2080-12-31,,3591.7272330147803,2979.6334506661474
2081-12-31,,3578.341630902963,2961.822560686376
2082-12-31,,3415.8529026140404,2945.291948067794
2083-12-31,,3477.364384809214,3001.3099054826935
2084-12-31,,3549.93593501499,2941.405701075955
2085-12-31,,3493.3526680646546,2935.9575147792198
2086-12-31,,3592.2868872942163,3043.7472691563125
2087-12-31,,3555.1276945277536,2839.6019514683244
2088-12-31,,3585.172492544983,2911.943238874156
2089-12-31,,3614.3790516008567,2903.117612958629
2090-12-31,,3597.8754510497965,2855.3701548984995
2091-12-31,,3643.5340114484425,2713.7359401157855
2092-12-31,,3533.5775787353436,2815.410697588233
2093-12-31,,3538.0502384294705,2835.37074122837
2094-12-31,,3569.1362013462535,2692.85212755475
2095-12-31,,3503.426911839068,2887.511509312214
2096-12-31,,3543.950381881705,2746.1813908604145
2097-12-31,,3429.700630416862,2824.3953151157853
2098-12-31,,3445.573683563224,2755.864162161684
2099-12-31,,3013.0464431762625,2342.0090781947474
