,historical,rcp45,rcp85
1950-12-31,68.77,,
1951-12-31,64.22,,
1952-12-31,63.05,,
1953-12-31,63.49,,
1954-12-31,63.92,,
1955-12-31,67.54,,
1956-12-31,64.15,,
1957-12-31,61.15,,
1958-12-31,51.04,,
1959-12-31,53.93,,
1960-12-31,60.87,,
1961-12-31,64.71,,
1962-12-31,61.8,,
1963-12-31,62.21,,
1964-12-31,49.36,,
1965-12-31,43.65,,
1966-12-31,45.61,,
1967-12-31,79.4,,
1968-12-31,50.74,,
1969-12-31,55.14,,
1970-12-31,49.91,,
1971-12-31,48.36,,
1972-12-31,65.88,,
1973-12-31,61.93,,
1974-12-31,71.47,,
1975-12-31,46.8,,
1976-12-31,63.58,,
1977-12-31,75.94,,
1978-12-31,82.53,,
1979-12-31,71.64,,
1980-12-31,77.64,,
1981-12-31,89.99,,
1982-12-31,60.76,,
1983-12-31,55.03,,
1984-12-31,64.63,,
1985-12-31,75.7,,
1986-12-31,78.34,,
1987-12-31,82.14,,
1988-12-31,88.19,,
1989-12-31,89.23,,
1990-12-31,95.7,,
1991-12-31,108.34,,
1992-12-31,54.92,,
1993-12-31,82.05,,
1994-12-31,116.32,,
1995-12-31,95.53,,
1996-12-31,77.43,,
1997-12-31,99.26,,
1998-12-31,120.35,,
1999-12-31,110.26,,
2000-12-31,132.7,,
2001-12-31,116.83,,
2002-12-31,127.11,,
2003-12-31,143.7,,
2004-12-31,133.29,,
2005-12-31,142.47,,
2006-12-31,,156.7,149.69
2007-12-31,,124.41,154.7
2008-12-31,,150.33,161.28
2009-12-31,,141.6,154.75
2010-12-31,,136.93,148.38
2011-12-31,,150.49,153.43
2012-12-31,,174.01,189.45
2013-12-31,,161.47,157.88
2014-12-31,,141.5,184.37
2015-12-31,,147.87,167.67
2016-12-31,,181.2,167.61
2017-12-31,,178.02,181.17
2018-12-31,,168.42,207.32
2019-12-31,,177.36,187.88
2020-12-31,,191.67,210.46
2021-12-31,,169.69,199.82
2022-12-31,,222.55,211.98
2023-12-31,,197.08,216.43
2024-12-31,,209.78,255.96
2025-12-31,,225.43,200.09
2026-12-31,,215.28,201.94
2027-12-31,,206.23,221.66
2028-12-31,,250.1,241.05
2029-12-31,,226.03,237.17
2030-12-31,,223.59,288.35
2031-12-31,,230.37,264.08
2032-12-31,,238.33,265.0
2033-12-31,,264.04,259.9
2034-12-31,,279.18,286.46
2035-12-31,,293.47,293.87
2036-12-31,,280.71,320.7
2037-12-31,,268.87,350.75
2038-12-31,,288.71,310.99
2039-12-31,,303.86,308.72
2040-12-31,,280.84,335.68
2041-12-31,,315.36,326.37
2042-12-31,,290.18,374.46
2043-12-31,,289.01,340.78
2044-12-31,,237.89,340.2
2045-12-31,,336.03,396.08
2046-12-31,,337.63,397.23
2047-12-31,,356.58,418.34
2048-12-31,,315.42,412.64
2049-12-31,,357.43,447.16
2050-12-31,,358.82,416.2
2051-12-31,,324.38,438.3
2052-12-31,,359.71,453.04
2053-12-31,,369.26,492.55
2054-12-31,,319.14,517.38
2055-12-31,,342.64,497.43
2056-12-31,,326.48,525.64
2057-12-31,,364.57,525.44
2058-12-31,,414.44,521.86
2059-12-31,,368.64,529.98
2060-12-31,,345.78,514.25
2061-12-31,,332.91,575.5
2062-12-31,,374.89,580.97
2063-12-31,,405.96,624.62
2064-12-31,,328.83,620.81
2065-12-31,,384.52,645.51
2066-12-31,,395.07,604.3
2067-12-31,,404.35,678.12
2068-12-31,,385.19,716.77
2069-12-31,,405.65,749.48
2070-12-31,,369.37,705.97
2071-12-31,,438.77,698.89
2072-12-31,,456.01,701.15
2073-12-31,,383.02,746.7
2074-12-31,,412.73,797.23
2075-12-31,,423.96,799.5
2076-12-31,,462.33,751.49
2077-12-31,,427.18,815.02
2078-12-31,,406.31,808.97
2079-12-31,,398.47,821.19
2080-12-31,,396.56,860.73
2081-12-31,,384.52,865.22
2082-12-31,,400.44,926.03
2083-12-31,,424.07,903.02
2084-12-31,,437.04,915.91
2085-12-31,,417.14,880.56
2086-12-31,,430.36,941.0
2087-12-31,,431.42,932.57
2088-12-31,,452.94,959.32
2089-12-31,,452.84,969.84
2090-12-31,,419.39,1049.49
2091-12-31,,422.77,982.83
2092-12-31,,482.14,1043.65
2093-12-31,,484.89,1059.51
2094-12-31,,433.58,1121.28
2095-12-31,,439.53,1012.77
2096-12-31,,427.94,1114.51
2097-12-31,,434.39,1084.73
2098-12-31,,423.87,1104.9
2099-12-31,,428.23,1176.58
