,historical,rcp45,rcp85
1950-12-31,8252.396523175908,,
1951-12-31,8122.146657889217,,
1952-12-31,8171.446508440275,,
1953-12-31,8165.258957693902,,
1954-12-31,8267.318357238759,,
1955-12-31,8250.000198059068,,
1956-12-31,8277.66402539933,,
1957-12-31,8287.161373726969,,
1958-12-31,8289.48691236222,,
1959-12-31,8278.747271641312,,
1960-12-31,8293.128873857755,,
1961-12-31,8154.695903887054,,
1962-12-31,8181.079888959597,,
1963-12-31,8208.042426365431,,
1964-12-31,8506.057416381822,,
1965-12-31,8533.678480486175,,
1966-12-31,8428.940783299025,,
1967-12-31,8235.15398280551,,
1968-12-31,8459.923331124428,,
1969-12-31,8418.670827854687,,
1970-12-31,8441.210181797558,,
1971-12-31,8292.263211277539,,
1972-12-31,8299.151888994475,,
1973-12-31,8188.275134974873,,
1974-12-31,8309.202371956946,,
1975-12-31,8262.073481358106,,
1976-12-31,8267.25652060371,,
1977-12-31,8199.07524187359,,
1978-12-31,8201.956818498871,,
1979-12-31,8052.369451904283,,
1980-12-31,8028.694032243988,,
1981-12-31,8038.025735342831,,
1982-12-31,8254.25744358606,,
1983-12-31,8299.57362557546,,
1984-12-31,8227.936144365569,,
1985-12-31,8136.403216945089,,
1986-12-31,8077.220075857966,,
1987-12-31,8124.52303776331,,
1988-12-31,8028.577944205134,,
1989-12-31,7945.290998317163,,
1990-12-31,8095.951750662654,,
1991-12-31,7825.879808088016,,
1992-12-31,8352.057521929044,,
1993-12-31,8113.426229945578,,
1994-12-31,7943.771812046584,,
1995-12-31,8156.377607639844,,
1996-12-31,8026.986066850923,,
1997-12-31,7855.245906241267,,
1998-12-31,7744.065448477597,,
1999-12-31,7835.704641941602,,
2000-12-31,7778.162110508497,,
2001-12-31,7958.242641209181,,
2002-12-31,7752.054045017772,,
2003-12-31,7741.527009844086,,
2004-12-31,7685.804554792119,,
2005-12-31,7271.299906441812,,
2006-12-31,,7517.569114554258,7625.162120143333
2007-12-31,,7488.011124834318,7607.164590759266
2008-12-31,,7678.0202681187075,7573.063932974667
2009-12-31,,7475.603196847085,7662.567860412584
2010-12-31,,7560.760155465248,7750.11701167514
2011-12-31,,7481.750957772377,7626.710402003683
2012-12-31,,7434.369093845898,7373.977596740711
2013-12-31,,7548.067926199765,7563.5870547921195
2014-12-31,,7528.672912815625,7424.315261579227
2015-12-31,,7454.520277230384,7604.766895054396
2016-12-31,,7596.943674621569,7466.740199236176
2017-12-31,,7539.049784240712,7318.392144688185
2018-12-31,,7484.438655875057,7267.767091979967
2019-12-31,,7357.312408272867,7337.388957650309
2020-12-31,,7446.652697579506,7324.972001386356
2021-12-31,,7455.644637799931,7271.038806283121
2022-12-31,,7261.7410379464145,7250.589431544699
2023-12-31,,7226.819786551326,7214.788406197672
