date,spei
1981-12-31,0.51
1982-12-31,0.12
1983-12-31,0.06
1984-12-31,0.28
1985-12-31,0.26
1986-12-31,0.0
1987-12-31,0.29
1988-12-31,0.01
1989-12-31,0.03
1990-12-31,0.16
1991-12-31,0.17
1992-12-31,0.23
1993-12-31,0.02
1994-12-31,-0.05
1995-12-31,-0.13
1996-12-31,0.39
1997-12-31,0.13
1998-12-31,-0.23
1999-12-31,-0.3
2000-12-31,0.05
2001-12-31,-0.1
2002-12-31,-0.35
2003-12-31,-0.03
2004-12-31,0.1
2005-12-31,-0.12
2006-12-31,-0.21
2007-12-31,-0.1
2008-12-31,-0.39
2009-12-31,-0.31
2010-12-31,0.23
2011-12-31,0.28
2012-12-31,-0.26
2013-12-31,-0.65
2014-12-31,-0.13
