date,mean
1950-12-31,16.29
1951-12-31,16.39
1952-12-31,16.34
1953-12-31,16.52
1954-12-31,16.16
1955-12-31,16.27
1956-12-31,16.37
1957-12-31,16.15
1958-12-31,16.18
1959-12-31,16.25
1960-12-31,16.21
1961-12-31,16.34
1962-12-31,16.39
1963-12-31,16.32
1964-12-31,15.84
1965-12-31,15.78
1966-12-31,15.94
1967-12-31,16.39
1968-12-31,15.95
1969-12-31,15.92
1970-12-31,15.83
1971-12-31,16.18
1972-12-31,16.24
1973-12-31,16.27
1974-12-31,16.01
1975-12-31,16.11
1976-12-31,16.13
1977-12-31,16.4
1978-12-31,16.34
1979-12-31,16.64
1980-12-31,16.67
1981-12-31,16.56
1982-12-31,16.27
1983-12-31,15.93
1984-12-31,16.27
1985-12-31,16.44
1986-12-31,16.57
1987-12-31,16.4
1988-12-31,16.64
1989-12-31,16.63
1990-12-31,16.73
1991-12-31,16.8
1992-12-31,16.2
1993-12-31,16.41
1994-12-31,16.99
1995-12-31,16.59
1996-12-31,16.6
1997-12-31,16.82
1998-12-31,17.23
1999-12-31,16.75
2000-12-31,17.02
2001-12-31,16.75
2002-12-31,17.26
2003-12-31,17.19
2004-12-31,17.22
2005-12-31,17.17
