date,mean
2006-12-31,17.39
2007-12-31,17.65
2008-12-31,17.42
2009-12-31,17.54
2010-12-31,17.43
2011-12-31,17.55
2012-12-31,17.8
2013-12-31,17.6
2014-12-31,17.4
2015-12-31,17.73
2016-12-31,17.63
2017-12-31,17.62
2018-12-31,17.65
2019-12-31,18.03
2020-12-31,17.95
2021-12-31,17.55
2022-12-31,18.11
2023-12-31,18.07
2024-12-31,18.1
2025-12-31,18.24
2026-12-31,18.42
2027-12-31,18.02
2028-12-31,18.37
2029-12-31,18.52
2030-12-31,18.3
2031-12-31,18.46
2032-12-31,18.47
2033-12-31,18.68
2034-12-31,18.5
2035-12-31,18.75
2036-12-31,18.6
2037-12-31,18.44
2038-12-31,18.64
2039-12-31,18.76
2040-12-31,18.35
2041-12-31,18.85
2042-12-31,18.66
2043-12-31,18.61
2044-12-31,18.62
2045-12-31,19.06
2046-12-31,19.1
2047-12-31,19.08
2048-12-31,18.86
2049-12-31,19.17
2050-12-31,19.13
2051-12-31,19.01
2052-12-31,19.39
2053-12-31,19.3
2054-12-31,19.26
2055-12-31,19.17
2056-12-31,19.04
2057-12-31,19.24
2058-12-31,19.77
2059-12-31,19.33
2060-12-31,19.05
2061-12-31,19.3
2062-12-31,19.31
2063-12-31,19.29
2064-12-31,19.15
2065-12-31,19.52
2066-12-31,19.53
2067-12-31,19.51
2068-12-31,19.44
2069-12-31,19.68
2070-12-31,19.33
2071-12-31,19.5
2072-12-31,20.0
2073-12-31,19.6
2074-12-31,19.69
2075-12-31,19.72
2076-12-31,20.04
2077-12-31,19.67
2078-12-31,19.58
2079-12-31,19.67
2080-12-31,19.45
2081-12-31,19.79
2082-12-31,19.81
2083-12-31,20.03
2084-12-31,19.72
2085-12-31,19.68
2086-12-31,19.88
2087-12-31,19.97
2088-12-31,19.83
2089-12-31,19.74
2090-12-31,19.68
2091-12-31,19.85
2092-12-31,20.13
2093-12-31,19.98
2094-12-31,19.86
2095-12-31,19.83
2096-12-31,19.68
2097-12-31,19.83
2098-12-31,19.69
2099-12-31,20.09
