date,mean
2006-12-31,21.1
2007-12-31,21.14
2008-12-31,21.03
2009-12-31,21.02
2010-12-31,20.91
2011-12-31,21.36
2012-12-31,21.59
2013-12-31,21.1
2014-12-31,21.42
2015-12-31,21.26
2016-12-31,21.23
2017-12-31,21.5
2018-12-31,21.65
2019-12-31,21.56
2020-12-31,21.85
2021-12-31,21.73
2022-12-31,21.8
2023-12-31,21.76
2024-12-31,22.01
2025-12-31,21.6
2026-12-31,21.82
2027-12-31,21.7
2028-12-31,22.25
2029-12-31,22.15
2030-12-31,22.4
2031-12-31,22.02
2032-12-31,21.9
2033-12-31,22.34
2034-12-31,22.25
2035-12-31,22.57
2036-12-31,22.26
2037-12-31,22.7
2038-12-31,22.6
2039-12-31,22.74
2040-12-31,22.82
2041-12-31,22.83
2042-12-31,22.99
2043-12-31,23.0
2044-12-31,22.67
2045-12-31,23.02
2046-12-31,23.31
2047-12-31,23.18
2048-12-31,23.13
2049-12-31,23.49
2050-12-31,23.51
2051-12-31,23.41
2052-12-31,23.47
2053-12-31,23.69
2054-12-31,23.85
2055-12-31,23.81
2056-12-31,23.86
2057-12-31,23.94
2058-12-31,24.06
2059-12-31,24.11
2060-12-31,24.04
2061-12-31,24.18
2062-12-31,24.41
2063-12-31,24.54
2064-12-31,24.52
2065-12-31,24.51
2066-12-31,24.36
2067-12-31,24.67
2068-12-31,25.13
2069-12-31,25.04
2070-12-31,25.03
2071-12-31,25.02
2072-12-31,24.99
2073-12-31,25.2
2074-12-31,25.12
2075-12-31,25.43
2076-12-31,25.24
2077-12-31,25.59
2078-12-31,25.71
2079-12-31,25.57
2080-12-31,25.45
2081-12-31,25.67
2082-12-31,25.89
2083-12-31,25.64
2084-12-31,25.85
2085-12-31,25.8
2086-12-31,25.97
2087-12-31,25.86
2088-12-31,26.17
2089-12-31,26.17
2090-12-31,26.17
2091-12-31,26.25
2092-12-31,26.45
2093-12-31,26.62
2094-12-31,26.89
2095-12-31,26.3
2096-12-31,26.81
2097-12-31,26.58
2098-12-31,26.94
2099-12-31,28.12
