date,spei
2015-12-31,-0.17
2016-12-31,-0.03
2017-12-31,-0.13
2018-12-31,-0.28
2019-12-31,-0.16
2020-12-31,-0.15
2021-12-31,0.15
2022-12-31,0.05
2023-12-31,-0.28
2024-12-31,-0.43
2025-12-31,-0.66
2026-12-31,-0.34
2027-12-31,-0.23
2028-12-31,-0.21
2029-12-31,-0.38
2030-12-31,-0.44
2031-12-31,-0.2
2032-12-31,-0.22
2033-12-31,-0.76
2034-12-31,-0.7
2035-12-31,-0.17
2036-12-31,-0.42
2037-12-31,-0.43
2038-12-31,-0.66
2039-12-31,-0.45
2040-12-31,-0.35
2041-12-31,-0.76
2042-12-31,-0.52
2043-12-31,-0.52
2044-12-31,-0.39
2045-12-31,-0.42
2046-12-31,-0.35
2047-12-31,-0.74
2048-12-31,-0.33
2049-12-31,-0.95
2050-12-31,-1.05
2051-12-31,-0.64
2052-12-31,-0.62
2053-12-31,-0.42
2054-12-31,-0.7
2055-12-31,-1.36
2056-12-31,-0.61
2057-12-31,-0.29
2058-12-31,-0.07
2059-12-31,-0.51
2060-12-31,-0.77
2061-12-31,-0.83
2062-12-31,-0.46
2063-12-31,-0.4
2064-12-31,-0.64
2065-12-31,-1.16
2066-12-31,-0.48
2067-12-31,-1.21
2068-12-31,-0.79
2069-12-31,-0.69
2070-12-31,-0.16
2071-12-31,-0.65
2072-12-31,-0.31
2073-12-31,-0.35
2074-12-31,-0.36
2075-12-31,-0.22
2076-12-31,-0.65
2077-12-31,-0.94
2078-12-31,-0.51
2079-12-31,-1.14
2080-12-31,-1.27
2081-12-31,-0.68
2082-12-31,-1.19
2083-12-31,-1.06
2084-12-31,-1.0
2085-12-31,-0.79
2086-12-31,-1.28
2087-12-31,-1.59
2088-12-31,-1.55
2089-12-31,-1.03
2090-12-31,-0.73
2091-12-31,-0.97
2092-12-31,-0.96
2093-12-31,-0.65
2094-12-31,-1.23
2095-12-31,-1.1
2096-12-31,-0.32
2097-12-31,-0.94
2098-12-31,-1.07
2099-12-31,-1.02
2100-12-31,-1.05
