date,mean
2006-12-31,19.33
2007-12-31,19.34
2008-12-31,19.3
2009-12-31,19.27
2010-12-31,19.15
2011-12-31,19.53
2012-12-31,19.81
2013-12-31,19.38
2014-12-31,19.72
2015-12-31,19.44
2016-12-31,19.42
2017-12-31,19.7
2018-12-31,19.91
2019-12-31,19.82
2020-12-31,20.0
2021-12-31,19.97
2022-12-31,20.0
2023-12-31,19.94
2024-12-31,20.21
2025-12-31,19.81
2026-12-31,19.98
2027-12-31,19.92
2028-12-31,20.45
2029-12-31,20.33
2030-12-31,20.63
2031-12-31,20.21
2032-12-31,20.06
2033-12-31,20.62
2034-12-31,20.51
2035-12-31,20.75
2036-12-31,20.54
2037-12-31,20.95
2038-12-31,20.77
2039-12-31,20.9
2040-12-31,20.95
2041-12-31,21.0
2042-12-31,21.17
2043-12-31,21.2
2044-12-31,20.9
2045-12-31,21.2
2046-12-31,21.5
2047-12-31,21.43
2048-12-31,21.3
2049-12-31,21.65
2050-12-31,21.75
2051-12-31,21.58
2052-12-31,21.63
2053-12-31,21.96
2054-12-31,22.09
2055-12-31,22.06
2056-12-31,22.06
2057-12-31,22.26
2058-12-31,22.3
2059-12-31,22.36
2060-12-31,22.31
2061-12-31,22.42
2062-12-31,22.61
2063-12-31,22.78
2064-12-31,22.79
2065-12-31,22.77
2066-12-31,22.69
2067-12-31,22.93
2068-12-31,23.41
2069-12-31,23.33
2070-12-31,23.3
2071-12-31,23.38
2072-12-31,23.21
2073-12-31,23.46
2074-12-31,23.36
2075-12-31,23.69
2076-12-31,23.49
2077-12-31,23.87
2078-12-31,24.02
2079-12-31,23.85
2080-12-31,23.69
2081-12-31,24.01
2082-12-31,24.26
2083-12-31,24.0
2084-12-31,24.14
2085-12-31,24.03
2086-12-31,24.24
2087-12-31,24.18
2088-12-31,24.46
2089-12-31,24.45
2090-12-31,24.46
2091-12-31,24.54
2092-12-31,24.69
2093-12-31,25.0
2094-12-31,25.21
2095-12-31,24.61
2096-12-31,25.09
2097-12-31,24.93
2098-12-31,25.22
2099-12-31,25.47
