date,spei
2015-12-31,-0.12
2016-12-31,0.27
2017-12-31,-0.02
2018-12-31,-0.07
2019-12-31,-0.1
2020-12-31,-0.13
2021-12-31,-0.08
2022-12-31,0.06
2023-12-31,-0.34
2024-12-31,-0.44
2025-12-31,-0.48
2026-12-31,-0.41
2027-12-31,-0.35
2028-12-31,-0.23
2029-12-31,-0.54
2030-12-31,-0.51
2031-12-31,-0.1
2032-12-31,0.04
2033-12-31,-0.65
2034-12-31,-0.5
2035-12-31,-0.14
2036-12-31,-0.25
2037-12-31,-0.38
2038-12-31,-0.71
2039-12-31,-0.47
2040-12-31,-0.17
2041-12-31,-0.65
2042-12-31,-0.41
2043-12-31,-0.46
2044-12-31,-0.1
2045-12-31,-0.3
2046-12-31,-0.32
2047-12-31,-0.47
2048-12-31,-0.36
2049-12-31,-0.56
2050-12-31,-1.12
2051-12-31,-0.67
2052-12-31,-0.49
2053-12-31,-0.43
2054-12-31,-0.63
2055-12-31,-1.33
2056-12-31,-0.29
2057-12-31,-0.28
2058-12-31,-0.05
2059-12-31,-0.48
2060-12-31,-0.75
2061-12-31,-0.8
2062-12-31,-0.49
2063-12-31,-0.17
2064-12-31,-0.49
2065-12-31,-0.86
2066-12-31,-0.69
2067-12-31,-1.31
2068-12-31,-1.07
2069-12-31,-0.61
2070-12-31,-0.05
2071-12-31,-0.74
2072-12-31,-0.23
2073-12-31,-0.24
2074-12-31,-0.41
2075-12-31,-0.31
2076-12-31,-0.48
2077-12-31,-0.89
2078-12-31,-0.08
2079-12-31,-0.73
2080-12-31,-1.21
2081-12-31,-0.45
2082-12-31,-1.25
2083-12-31,-1.27
2084-12-31,-0.97
2085-12-31,-0.56
2086-12-31,-1.15
2087-12-31,-1.56
2088-12-31,-1.47
2089-12-31,-1.1
2090-12-31,-0.48
2091-12-31,-0.82
2092-12-31,-1.15
2093-12-31,-0.54
2094-12-31,-0.88
2095-12-31,-1.15
2096-12-31,-0.52
2097-12-31,-0.94
2098-12-31,-1.03
2099-12-31,-0.88
2100-12-31,-1.03
