,historical,rcp45,rcp85
1950-12-31,6040.27,,
1951-12-31,5890.88,,
1952-12-31,5958.77,,
1953-12-31,5879.07,,
1954-12-31,5987.78,,
1955-12-31,6007.99,,
1956-12-31,5954.54,,
1957-12-31,6012.42,,
1958-12-31,5978.07,,
1959-12-31,5975.98,,
1960-12-31,6062.25,,
1961-12-31,5936.16,,
1962-12-31,5947.67,,
1963-12-31,5906.36,,
1964-12-31,6220.21,,
1965-12-31,6227.82,,
1966-12-31,6155.98,,
1967-12-31,5984.49,,
1968-12-31,6167.02,,
1969-12-31,6139.13,,
1970-12-31,6173.76,,
1971-12-31,6009.67,,
1972-12-31,6060.24,,
1973-12-31,5952.3,,
1974-12-31,6135.64,,
1975-12-31,5995.53,,
1976-12-31,6027.48,,
1977-12-31,5907.83,,
1978-12-31,5998.21,,
1979-12-31,5752.54,,
1980-12-31,5818.23,,
1981-12-31,5789.73,,
1982-12-31,5969.35,,
1983-12-31,6076.82,,
1984-12-31,5988.51,,
1985-12-31,5937.72,,
1986-12-31,5811.07,,
1987-12-31,5934.12,,
1988-12-31,5827.51,,
1989-12-31,5793.52,,
1990-12-31,5886.98,,
1991-12-31,5652.05,,
1992-12-31,6045.46,,
1993-12-31,5854.61,,
1994-12-31,5772.53,,
1995-12-31,5966.91,,
1996-12-31,5833.03,,
1997-12-31,5662.27,,
1998-12-31,5559.05,,
1999-12-31,5734.0,,
2000-12-31,5608.85,,
2001-12-31,5773.62,,
2002-12-31,5605.98,,
2003-12-31,5621.86,,
2004-12-31,5511.87,,
2005-12-31,5204.97,,
2006-12-31,,5411.83,5447.54
2007-12-31,,5308.59,5467.99
2008-12-31,,5525.45,5487.04
2009-12-31,,5350.31,5518.28
2010-12-31,,5437.37,5607.86
2011-12-31,,5404.78,5407.77
2012-12-31,,5279.27,5281.29
2013-12-31,,5429.38,5424.72
2014-12-31,,5412.48,5333.12
2015-12-31,,5292.25,5475.55
2016-12-31,,5464.69,5321.3
2017-12-31,,5374.96,5249.58
2018-12-31,,5390.53,5196.53
2019-12-31,,5250.98,5272.21
2020-12-31,,5324.71,5247.78
2021-12-31,,5417.96,5163.83
2022-12-31,,5237.81,5187.34
2023-12-31,,5134.61,5169.6
2024-12-31,,5202.61,5173.98
2025-12-31,,5058.2,5223.38
2026-12-31,,4933.43,5110.39
2027-12-31,,5181.8,5171.31
2028-12-31,,5075.69,4930.76
2029-12-31,,4994.1,4954.74
2030-12-31,,5072.29,4895.59
2031-12-31,,5028.4,5112.46
2032-12-31,,5000.89,5183.55
2033-12-31,,4919.98,4876.48
2034-12-31,,5012.09,4951.72
2035-12-31,,4938.85,4863.61
2036-12-31,,4941.27,4969.1
2037-12-31,,5024.8,4813.38
2038-12-31,,5008.83,4853.32
2039-12-31,,4951.48,4834.78
2040-12-31,,5083.55,4840.72
2041-12-31,,4884.36,4792.02
2042-12-31,,4984.02,4688.8
2043-12-31,,4902.87,4688.17
2044-12-31,,4853.33,4825.33
2045-12-31,,4833.79,4735.75
2046-12-31,,4856.3,4611.04
2047-12-31,,4810.89,4617.82
2048-12-31,,4815.45,4663.38
2049-12-31,,4745.18,4564.03
2050-12-31,,4688.69,4433.56
2051-12-31,,4802.34,4561.0
2052-12-31,,4623.58,4512.13
2053-12-31,,4628.7,4405.42
2054-12-31,,4620.4,4386.15
2055-12-31,,4726.63,4344.84
2056-12-31,,4854.73,4378.07
2057-12-31,,4746.04,4244.94
2058-12-31,,4593.9,4290.15
2059-12-31,,4620.35,4230.1
2060-12-31,,4774.19,4248.45
2061-12-31,,4648.84,4233.06
2062-12-31,,4652.74,4201.19
2063-12-31,,4712.68,4220.67
2064-12-31,,4671.3,4203.85
2065-12-31,,4563.04,4159.24
2066-12-31,,4601.31,4081.55
2067-12-31,,4659.89,4162.14
2068-12-31,,4702.06,3885.29
2069-12-31,,4564.34,3906.87
2070-12-31,,4628.69,3885.22
2071-12-31,,4611.1,3913.12
2072-12-31,,4489.4,3928.0
2073-12-31,,4505.52,3894.86
2074-12-31,,4493.7,3932.78
2075-12-31,,4545.8,3807.86
2076-12-31,,4372.31,3871.06
2077-12-31,,4513.3,3882.67
2078-12-31,,4459.1,3736.52
2079-12-31,,4497.82,3734.83
2080-12-31,,4613.27,3863.5
2081-12-31,,4487.97,3669.86
2082-12-31,,4383.03,3601.31
2083-12-31,,4396.05,3703.92
2084-12-31,,4529.2,3685.79
2085-12-31,,4517.14,3635.62
2086-12-31,,4522.34,3549.84
2087-12-31,,4504.95,3599.04
2088-12-31,,4504.19,3562.51
2089-12-31,,4582.65,3570.41
2090-12-31,,4516.89,3554.33
2091-12-31,,4469.94,3475.47
2092-12-31,,4457.99,3516.91
2093-12-31,,4459.86,3375.77
2094-12-31,,4476.87,3397.03
2095-12-31,,4429.1,3470.43
2096-12-31,,4447.18,3424.65
2097-12-31,,4442.31,3360.24
2098-12-31,,4513.39,3304.6
2099-12-31,,3840.05,2910.82
