,historical,rcp45,rcp85
1950-12-31,23.48,,
1951-12-31,25.01,,
1952-12-31,29.45,,
1953-12-31,24.39,,
1954-12-31,27.99,,
1955-12-31,27.56,,
1956-12-31,22.7,,
1957-12-31,27.31,,
1958-12-31,26.28,,
1959-12-31,25.23,,
1960-12-31,28.2,,
1961-12-31,21.58,,
1962-12-31,29.48,,
1963-12-31,26.81,,
1964-12-31,25.47,,
1965-12-31,25.26,,
1966-12-31,23.43,,
1967-12-31,28.63,,
1968-12-31,29.77,,
1969-12-31,27.24,,
1970-12-31,28.79,,
1971-12-31,27.47,,
1972-12-31,32.62,,
1973-12-31,27.24,,
1974-12-31,30.03,,
1975-12-31,28.57,,
1976-12-31,27.98,,
1977-12-31,29.63,,
1978-12-31,27.61,,
1979-12-31,27.14,,
1980-12-31,22.81,,
1981-12-31,28.5,,
1982-12-31,25.52,,
1983-12-31,27.31,,
1984-12-31,28.77,,
1985-12-31,29.43,,
1986-12-31,23.84,,
1987-12-31,26.77,,
1988-12-31,26.52,,
1989-12-31,32.4,,
1990-12-31,27.65,,
1991-12-31,32.49,,
1992-12-31,29.17,,
1993-12-31,27.42,,
1994-12-31,23.96,,
1995-12-31,25.21,,
1996-12-31,29.78,,
1997-12-31,28.0,,
1998-12-31,29.0,,
1999-12-31,26.93,,
2000-12-31,27.89,,
2001-12-31,24.29,,
2002-12-31,30.39,,
2003-12-31,24.46,,
2004-12-31,27.06,,
2005-12-31,31.96,,
2006-12-31,,24.66,24.4
2007-12-31,,26.53,21.69
2008-12-31,,26.36,28.94
2009-12-31,,27.18,30.61
2010-12-31,,28.58,26.63
2011-12-31,,27.68,23.18
2012-12-31,,23.67,27.3
2013-12-31,,25.02,27.93
2014-12-31,,28.4,25.42
2015-12-31,,26.43,24.13
2016-12-31,,23.71,31.09
2017-12-31,,29.82,28.49
2018-12-31,,24.35,30.99
2019-12-31,,20.54,21.98
2020-12-31,,26.85,34.68
2021-12-31,,27.4,29.47
2022-12-31,,26.5,33.64
2023-12-31,,30.06,31.31
2024-12-31,,27.01,25.27
2025-12-31,,28.54,26.63
2026-12-31,,26.18,28.25
2027-12-31,,27.5,26.66
2028-12-31,,26.02,29.98
2029-12-31,,28.58,27.16
2030-12-31,,27.76,27.73
2031-12-31,,28.22,27.45
2032-12-31,,30.73,29.49
2033-12-31,,30.94,27.04
2034-12-31,,23.94,24.15
2035-12-31,,27.85,28.12
2036-12-31,,26.68,29.13
2037-12-31,,25.23,30.19
2038-12-31,,22.83,27.81
2039-12-31,,26.99,26.38
2040-12-31,,28.09,30.27
2041-12-31,,24.31,25.71
2042-12-31,,30.21,27.97
2043-12-31,,29.42,25.84
2044-12-31,,27.81,24.95
2045-12-31,,24.01,25.15
2046-12-31,,30.77,27.61
2047-12-31,,29.24,27.03
2048-12-31,,30.74,32.35
2049-12-31,,31.16,26.82
2050-12-31,,27.78,29.27
2051-12-31,,27.17,30.48
2052-12-31,,29.92,29.36
2053-12-31,,29.88,34.01
2054-12-31,,27.17,30.15
2055-12-31,,29.61,30.69
2056-12-31,,27.53,31.61
2057-12-31,,24.43,30.63
2058-12-31,,31.16,30.81
2059-12-31,,28.27,31.46
2060-12-31,,26.49,31.97
2061-12-31,,27.32,29.21
2062-12-31,,29.74,32.75
2063-12-31,,27.44,27.06
2064-12-31,,31.73,27.82
2065-12-31,,31.74,33.43
2066-12-31,,27.08,31.5
2067-12-31,,29.44,39.65
2068-12-31,,31.21,30.45
2069-12-31,,29.48,31.36
2070-12-31,,30.52,31.27
2071-12-31,,31.72,32.47
2072-12-31,,25.42,34.25
2073-12-31,,31.78,31.64
2074-12-31,,28.81,31.38
2075-12-31,,34.4,24.74
2076-12-31,,26.33,30.93
2077-12-31,,27.87,31.8
2078-12-31,,31.37,29.12
2079-12-31,,28.9,34.94
2080-12-31,,24.65,27.41
2081-12-31,,24.52,33.18
2082-12-31,,32.74,30.56
2083-12-31,,32.11,30.69
2084-12-31,,31.2,31.79
2085-12-31,,29.43,34.33
2086-12-31,,31.49,34.23
2087-12-31,,29.75,30.81
2088-12-31,,31.77,35.15
2089-12-31,,31.18,35.69
2090-12-31,,26.52,34.16
2091-12-31,,24.68,32.61
2092-12-31,,26.38,32.1
2093-12-31,,29.66,32.36
2094-12-31,,28.67,38.2
2095-12-31,,30.32,28.11
2096-12-31,,32.35,30.56
2097-12-31,,34.85,28.76
2098-12-31,,32.73,36.98
2099-12-31,,27.92,26.93
