date,mean
2006-12-31,1.04
2007-12-31,0.92
2008-12-31,1.02
2009-12-31,1.06
2010-12-31,0.97
2011-12-31,1.01
2012-12-31,0.96
2013-12-31,1.0
2014-12-31,1.09
2015-12-31,0.95
2016-12-31,0.92
2017-12-31,1.08
2018-12-31,1.02
2019-12-31,0.86
2020-12-31,0.92
2021-12-31,1.05
2022-12-31,0.95
2023-12-31,1.02
2024-12-31,0.97
2025-12-31,1.09
2026-12-31,0.99
2027-12-31,1.08
2028-12-31,0.97
2029-12-31,1.09
2030-12-31,1.08
2031-12-31,1.0
2032-12-31,1.04
2033-12-31,1.04
2034-12-31,1.03
2035-12-31,0.98
2036-12-31,1.13
2037-12-31,1.06
2038-12-31,0.91
2039-12-31,0.99
2040-12-31,1.06
2041-12-31,0.95
2042-12-31,1.08
2043-12-31,1.14
2044-12-31,1.13
2045-12-31,0.93
2046-12-31,1.07
2047-12-31,1.06
2048-12-31,1.12
2049-12-31,1.01
2050-12-31,1.09
2051-12-31,0.97
2052-12-31,1.03
2053-12-31,1.1
2054-12-31,1.06
2055-12-31,1.13
2056-12-31,1.08
2057-12-31,0.96
2058-12-31,0.95
2059-12-31,1.03
2060-12-31,1.07
2061-12-31,1.12
2062-12-31,1.11
2063-12-31,1.13
2064-12-31,1.18
2065-12-31,1.16
2066-12-31,1.01
2067-12-31,1.02
2068-12-31,1.0
2069-12-31,1.01
2070-12-31,1.08
2071-12-31,1.14
2072-12-31,0.95
2073-12-31,1.17
2074-12-31,1.14
2075-12-31,1.09
2076-12-31,0.98
2077-12-31,1.12
2078-12-31,1.18
2079-12-31,1.08
2080-12-31,1.12
2081-12-31,0.99
2082-12-31,1.13
2083-12-31,0.98
2084-12-31,1.13
2085-12-31,1.05
2086-12-31,1.06
2087-12-31,0.98
2088-12-31,1.0
2089-12-31,1.08
2090-12-31,1.09
2091-12-31,1.06
2092-12-31,1.0
2093-12-31,0.99
2094-12-31,1.12
2095-12-31,1.11
2096-12-31,1.17
2097-12-31,1.24
2098-12-31,1.12
2099-12-31,1.06
