date,mean
1950-12-31,0.73
1951-12-31,0.71
1952-12-31,0.73
1953-12-31,0.72
1954-12-31,0.71
1955-12-31,0.71
1956-12-31,0.73
1957-12-31,0.73
1958-12-31,0.78
1959-12-31,0.78
1960-12-31,0.78
1961-12-31,0.83
1962-12-31,0.78
1963-12-31,0.77
1964-12-31,0.8
1965-12-31,0.79
1966-12-31,0.82
1967-12-31,0.76
1968-12-31,0.74
1969-12-31,0.74
1970-12-31,0.7
1971-12-31,0.82
1972-12-31,0.81
1973-12-31,0.75
1974-12-31,0.74
1975-12-31,0.75
1976-12-31,0.75
1977-12-31,0.74
1978-12-31,0.66
1979-12-31,0.73
1980-12-31,0.75
1981-12-31,0.82
1982-12-31,0.79
1983-12-31,0.81
1984-12-31,0.71
1985-12-31,0.73
1986-12-31,0.71
1987-12-31,0.79
1988-12-31,0.79
1989-12-31,0.71
1990-12-31,0.78
1991-12-31,0.73
1992-12-31,0.81
1993-12-31,0.87
1994-12-31,0.73
1995-12-31,0.74
1996-12-31,0.76
1997-12-31,0.86
1998-12-31,0.71
1999-12-31,0.76
2000-12-31,0.78
2001-12-31,0.78
2002-12-31,0.74
2003-12-31,0.77
2004-12-31,0.74
2005-12-31,0.74
