,historical,rcp45,rcp85
1950-12-31,26.69,,
1951-12-31,24.81,,
1952-12-31,23.68,,
1953-12-31,20.31,,
1954-12-31,27.3,,
1955-12-31,22.17,,
1956-12-31,21.73,,
1957-12-31,24.15,,
1958-12-31,26.69,,
1959-12-31,21.04,,
1960-12-31,28.76,,
1961-12-31,31.1,,
1962-12-31,23.82,,
1963-12-31,27.93,,
1964-12-31,25.02,,
1965-12-31,23.82,,
1966-12-31,23.79,,
1967-12-31,30.03,,
1968-12-31,22.32,,
1969-12-31,23.93,,
1970-12-31,21.47,,
1971-12-31,28.31,,
1972-12-31,29.38,,
1973-12-31,24.48,,
1974-12-31,22.21,,
1975-12-31,24.99,,
1976-12-31,23.89,,
1977-12-31,23.88,,
1978-12-31,21.39,,
1979-12-31,24.98,,
1980-12-31,28.46,,
1981-12-31,25.56,,
1982-12-31,25.24,,
1983-12-31,25.85,,
1984-12-31,22.17,,
1985-12-31,26.4,,
1986-12-31,25.03,,
1987-12-31,20.62,,
1988-12-31,27.08,,
1989-12-31,24.84,,
1990-12-31,24.08,,
1991-12-31,21.5,,
1992-12-31,25.94,,
1993-12-31,31.81,,
1994-12-31,29.47,,
1995-12-31,25.42,,
1996-12-31,27.44,,
1997-12-31,26.86,,
1998-12-31,22.6,,
1999-12-31,22.4,,
2000-12-31,26.69,,
2001-12-31,22.85,,
2002-12-31,25.37,,
2003-12-31,24.75,,
2004-12-31,22.74,,
2005-12-31,24.96,,
2006-12-31,,21.78,30.18
2007-12-31,,26.82,21.98
2008-12-31,,26.02,25.53
2009-12-31,,21.95,26.26
2010-12-31,,25.62,26.98
2011-12-31,,24.08,25.92
2012-12-31,,22.76,26.31
2013-12-31,,27.84,27.41
2014-12-31,,22.86,29.29
2015-12-31,,23.3,25.97
2016-12-31,,24.84,27.18
2017-12-31,,23.95,25.01
2018-12-31,,24.93,26.44
2019-12-31,,23.4,26.15
2020-12-31,,22.77,23.67
2021-12-31,,30.2,28.15
2022-12-31,,24.47,21.72
2023-12-31,,31.76,28.5
2024-12-31,,30.25,29.49
2025-12-31,,29.82,27.81
2026-12-31,,21.67,23.66
2027-12-31,,25.4,23.98
2028-12-31,,27.36,29.95
2029-12-31,,24.78,21.61
2030-12-31,,23.15,25.79
2031-12-31,,24.94,24.2
2032-12-31,,27.11,23.87
2033-12-31,,25.45,23.89
2034-12-31,,23.56,27.9
2035-12-31,,28.63,31.12
2036-12-31,,28.58,26.82
2037-12-31,,26.31,28.92
2038-12-31,,30.87,23.64
2039-12-31,,21.2,26.56
2040-12-31,,25.54,26.73
2041-12-31,,27.15,25.58
2042-12-31,,25.13,28.27
2043-12-31,,27.28,31.52
2044-12-31,,23.75,29.14
2045-12-31,,25.94,27.65
2046-12-31,,22.81,23.37
2047-12-31,,24.59,25.53
2048-12-31,,25.66,24.01
2049-12-31,,23.59,25.37
2050-12-31,,26.17,26.42
2051-12-31,,25.36,26.13
2052-12-31,,27.49,29.25
2053-12-31,,24.53,23.16
2054-12-31,,27.13,25.12
2055-12-31,,24.22,23.87
2056-12-31,,26.54,24.12
2057-12-31,,28.14,28.37
2058-12-31,,24.23,28.44
2059-12-31,,22.98,29.52
2060-12-31,,24.16,24.74
2061-12-31,,29.02,23.75
2062-12-31,,26.81,24.59
2063-12-31,,25.19,25.02
2064-12-31,,26.43,24.17
2065-12-31,,30.1,23.95
2066-12-31,,23.7,28.99
2067-12-31,,27.35,27.8
2068-12-31,,25.07,23.6
2069-12-31,,31.05,25.67
2070-12-31,,27.27,24.46
2071-12-31,,22.81,24.39
2072-12-31,,22.45,26.77
2073-12-31,,26.2,23.87
2074-12-31,,21.56,34.69
2075-12-31,,27.0,26.03
2076-12-31,,26.35,26.27
2077-12-31,,25.6,28.46
2078-12-31,,28.19,25.28
2079-12-31,,26.49,27.08
2080-12-31,,26.03,24.77
2081-12-31,,24.75,28.14
2082-12-31,,25.11,25.07
2083-12-31,,28.36,23.8
2084-12-31,,26.09,28.84
2085-12-31,,27.12,27.56
2086-12-31,,27.21,21.85
2087-12-31,,25.18,27.15
2088-12-31,,27.89,25.82
2089-12-31,,25.81,32.56
2090-12-31,,25.15,26.85
2091-12-31,,26.6,27.14
2092-12-31,,28.8,26.28
2093-12-31,,26.74,27.24
2094-12-31,,25.97,28.3
2095-12-31,,24.94,26.16
2096-12-31,,28.81,23.92
2097-12-31,,23.9,27.91
2098-12-31,,29.85,23.31
2099-12-31,,23.75,25.38
