date,spei
2015-12-31,-0.25
2016-12-31,-0.62
2017-12-31,-0.5
2018-12-31,0.02
2019-12-31,-0.17
2020-12-31,-0.21
2021-12-31,-0.07
2022-12-31,-0.02
2023-12-31,-0.05
2024-12-31,-0.26
2025-12-31,0.54
2026-12-31,0.51
2027-12-31,0.1
2028-12-31,0.23
2029-12-31,0.1
2030-12-31,0.21
2031-12-31,0.13
2032-12-31,0.81
2033-12-31,0.33
2034-12-31,-0.14
2035-12-31,-0.08
2036-12-31,-0.16
2037-12-31,0.16
2038-12-31,0.25
2039-12-31,0.2
2040-12-31,0.09
2041-12-31,0.23
2042-12-31,0.49
2043-12-31,0.55
2044-12-31,0.19
2045-12-31,0.65
2046-12-31,0.39
2047-12-31,0.03
2048-12-31,-0.46
2049-12-31,0.17
2050-12-31,0.37
2051-12-31,-0.08
2052-12-31,0.21
2053-12-31,0.0
2054-12-31,-0.15
2055-12-31,0.51
2056-12-31,0.06
2057-12-31,0.18
2058-12-31,0.11
2059-12-31,0.86
2060-12-31,-0.05
2061-12-31,0.05
2062-12-31,-0.02
2063-12-31,0.05
2064-12-31,0.32
2065-12-31,0.46
2066-12-31,0.27
2067-12-31,-0.08
2068-12-31,0.29
2069-12-31,0.44
2070-12-31,0.14
2071-12-31,0.25
2072-12-31,-0.07
2073-12-31,0.07
2074-12-31,0.23
2075-12-31,0.35
2076-12-31,0.02
2077-12-31,0.15
2078-12-31,0.27
2079-12-31,-0.18
2080-12-31,-0.25
2081-12-31,0.47
2082-12-31,0.52
2083-12-31,-0.06
2084-12-31,0.3
2085-12-31,0.33
2086-12-31,0.31
2087-12-31,0.72
2088-12-31,0.37
2089-12-31,0.44
2090-12-31,0.37
2091-12-31,-0.07
2092-12-31,-0.17
2093-12-31,0.46
2094-12-31,0.32
2095-12-31,0.0
2096-12-31,0.38
2097-12-31,0.14
2098-12-31,0.13
2099-12-31,0.23
2100-12-31,0.32
