date,mean
1950-12-31,3.65
1951-12-31,3.53
1952-12-31,3.71
1953-12-31,3.58
1954-12-31,3.55
1955-12-31,3.66
1956-12-31,3.51
1957-12-31,3.64
1958-12-31,3.54
1959-12-31,3.36
1960-12-31,3.92
1961-12-31,3.7
1962-12-31,3.8
1963-12-31,3.54
1964-12-31,3.48
1965-12-31,3.84
1966-12-31,3.58
1967-12-31,3.57
1968-12-31,3.63
1969-12-31,3.61
1970-12-31,3.67
1971-12-31,3.39
1972-12-31,3.56
1973-12-31,3.36
1974-12-31,3.75
1975-12-31,3.79
1976-12-31,3.7
1977-12-31,3.7
1978-12-31,3.64
1979-12-31,3.67
1980-12-31,3.74
1981-12-31,3.76
1982-12-31,3.5
1983-12-31,3.69
1984-12-31,3.5
1985-12-31,3.62
1986-12-31,3.54
1987-12-31,3.57
1988-12-31,3.57
1989-12-31,3.83
1990-12-31,3.59
1991-12-31,3.68
1992-12-31,3.66
1993-12-31,3.73
1994-12-31,3.32
1995-12-31,3.55
1996-12-31,3.62
1997-12-31,3.42
1998-12-31,3.55
1999-12-31,3.68
2000-12-31,3.36
2001-12-31,3.59
2002-12-31,3.61
2003-12-31,3.4
2004-12-31,3.54
2005-12-31,3.83
