,historical,rcp45,rcp85
1950-12-31,337.60203212192806,,
1951-12-31,352.1506926618275,,
1952-12-31,353.7238829694446,,
1953-12-31,369.2609799630273,,
1954-12-31,374.2588174002482,,
1955-12-31,359.9167081124413,,
1956-12-31,413.5820824323351,,
1957-12-31,359.54958696637556,,
1958-12-31,321.064547119138,,
1959-12-31,439.4456529889758,,
1960-12-31,336.2078797258623,,
1961-12-31,415.5543551199746,,
1962-12-31,369.0868171037917,,
1963-12-31,366.4391256277871,,
1964-12-31,391.46181073869695,,
1965-12-31,396.46084620884176,,
1966-12-31,381.44150922502496,,
1967-12-31,370.10659336634757,,
1968-12-31,368.61937892368576,,
1969-12-31,385.73837227957296,,
1970-12-31,391.48966256277606,,
1971-12-31,409.23387076241323,,
1972-12-31,367.5797419956724,,
1973-12-31,344.2022991071401,,
1974-12-31,376.8590569196401,,
1975-12-31,367.38857491629176,,
1976-12-31,384.00120483398155,,
1977-12-31,382.7731309291265,,
1978-12-31,328.422060285293,,
1979-12-31,302.46978890554993,,
1980-12-31,353.99251735142025,,
1981-12-31,301.06176217215153,,
1982-12-31,339.7418586076983,,
1983-12-31,377.11209089006405,,
1984-12-31,350.0210055105999,,
1985-12-31,337.9087260219003,,
1986-12-31,322.43335920061133,,
1987-12-31,341.83417157854103,,
1988-12-31,360.84110055105754,,
1989-12-31,312.2013024902319,,
1990-12-31,319.5956978934125,,
1991-12-31,297.51848798479114,,
1992-12-31,390.2722880336188,,
1993-12-31,350.1344222586467,,
1994-12-31,353.31094430105753,,
1995-12-31,326.97313973562797,,
1996-12-31,329.29503339494727,,
1997-12-31,313.5417423793221,,
1998-12-31,292.5371381487142,,
1999-12-31,293.48111145019294,,
2000-12-31,306.33786865234106,,
2001-12-31,289.0740300641718,,
2002-12-31,316.59268127441146,,
2003-12-31,289.757082693915,,
2004-12-31,352.76158857072835,,
2005-12-31,258.0343701171854,,
2006-12-31,,306.6346392822241,313.9208647809685
2007-12-31,,259.32757472446764,270.9109991455055
2008-12-31,,297.17725350515946,280.6078193010581
