,historical,rcp45,rcp85
1950-12-31,89.46,,
1951-12-31,76.01,,
1952-12-31,83.89,,
1953-12-31,77.51,,
1954-12-31,70.06,,
1955-12-31,82.55,,
1956-12-31,56.82,,
1957-12-31,70.69,,
1958-12-31,68.99,,
1959-12-31,66.93,,
1960-12-31,88.8,,
1961-12-31,74.27,,
1962-12-31,74.47,,
1963-12-31,69.36,,
1964-12-31,74.43,,
1965-12-31,76.49,,
1966-12-31,85.61,,
1967-12-31,80.13,,
1968-12-31,74.29,,
1969-12-31,114.49,,
1970-12-31,74.99,,
1971-12-31,72.63,,
1972-12-31,78.81,,
1973-12-31,66.77,,
1974-12-31,73.82,,
1975-12-31,73.99,,
1976-12-31,72.65,,
1977-12-31,79.8,,
1978-12-31,91.42,,
1979-12-31,79.66,,
1980-12-31,79.15,,
1981-12-31,69.3,,
1982-12-31,79.17,,
1983-12-31,74.31,,
1984-12-31,63.7,,
1985-12-31,67.03,,
1986-12-31,76.52,,
1987-12-31,65.11,,
1988-12-31,70.04,,
1989-12-31,81.75,,
1990-12-31,72.67,,
1991-12-31,81.11,,
1992-12-31,74.75,,
1993-12-31,69.68,,
1994-12-31,73.97,,
1995-12-31,103.58,,
1996-12-31,70.67,,
1997-12-31,83.32,,
1998-12-31,79.98,,
1999-12-31,61.63,,
2000-12-31,74.02,,
2001-12-31,66.44,,
2002-12-31,73.21,,
2003-12-31,76.89,,
2004-12-31,73.95,,
2005-12-31,85.17,,
2006-12-31,,70.4,73.15
2007-12-31,,69.2,71.82
2008-12-31,,64.3,85.87
2009-12-31,,60.86,74.2
2010-12-31,,72.84,70.48
2011-12-31,,73.82,74.96
2012-12-31,,90.36,95.36
2013-12-31,,79.79,115.14
2014-12-31,,67.62,85.83
2015-12-31,,67.93,84.03
2016-12-31,,74.95,72.35
2017-12-31,,90.07,84.36
2018-12-31,,71.68,87.86
2019-12-31,,83.34,92.0
2020-12-31,,86.94,91.24
2021-12-31,,78.33,112.93
2022-12-31,,84.11,89.36
2023-12-31,,79.15,80.05
2024-12-31,,80.2,119.09
2025-12-31,,87.31,87.64
2026-12-31,,74.76,93.86
2027-12-31,,65.69,96.81
2028-12-31,,82.78,79.12
2029-12-31,,86.6,96.13
2030-12-31,,65.12,88.03
2031-12-31,,79.05,79.84
2032-12-31,,72.94,89.65
2033-12-31,,77.7,78.85
2034-12-31,,74.16,103.12
2035-12-31,,82.02,86.49
2036-12-31,,75.22,80.64
2037-12-31,,93.73,71.29
2038-12-31,,67.55,89.49
2039-12-31,,72.69,84.49
2040-12-31,,88.89,116.15
2041-12-31,,81.1,112.03
2042-12-31,,84.92,77.57
2043-12-31,,72.61,86.96
2044-12-31,,86.92,97.3
2045-12-31,,73.98,81.81
2046-12-31,,75.76,81.3
2047-12-31,,88.12,81.02
2048-12-31,,89.06,71.55
2049-12-31,,69.22,102.46
2050-12-31,,78.73,100.4
2051-12-31,,78.29,76.76
2052-12-31,,81.14,75.94
2053-12-31,,72.02,85.91
2054-12-31,,69.32,80.66
2055-12-31,,77.8,58.39
2056-12-31,,75.57,81.75
2057-12-31,,81.43,80.34
2058-12-31,,64.97,81.32
2059-12-31,,88.62,101.79
2060-12-31,,82.65,78.39
2061-12-31,,86.54,78.9
2062-12-31,,75.33,87.12
2063-12-31,,74.23,89.4
2064-12-31,,94.67,105.97
2065-12-31,,72.99,79.08
2066-12-31,,70.13,92.32
2067-12-31,,59.79,90.69
2068-12-31,,74.5,80.64
2069-12-31,,78.76,93.28
2070-12-31,,64.78,81.65
2071-12-31,,78.5,94.89
2072-12-31,,71.13,76.44
2073-12-31,,74.75,119.52
2074-12-31,,87.42,72.55
2075-12-31,,68.14,91.92
2076-12-31,,83.75,90.32
2077-12-31,,90.91,84.53
2078-12-31,,76.71,87.64
2079-12-31,,74.7,78.56
2080-12-31,,74.56,94.01
2081-12-31,,88.84,96.18
2082-12-31,,76.53,87.93
2083-12-31,,84.52,88.89
2084-12-31,,89.38,99.59
2085-12-31,,77.78,82.48
2086-12-31,,89.27,86.1
2087-12-31,,70.02,102.65
2088-12-31,,82.65,104.28
2089-12-31,,71.91,67.02
2090-12-31,,73.05,86.36
2091-12-31,,91.14,72.24
2092-12-31,,82.53,75.51
2093-12-31,,73.16,95.42
2094-12-31,,73.84,89.55
2095-12-31,,80.94,79.67
2096-12-31,,87.86,105.05
2097-12-31,,73.64,100.91
2098-12-31,,80.94,90.49
2099-12-31,,85.73,88.95
