date,mean
1950-12-31,16.36
1951-12-31,16.37
1952-12-31,16.35
1953-12-31,16.23
1954-12-31,16.1
1955-12-31,16.01
1956-12-31,16.22
1957-12-31,16.34
1958-12-31,16.17
1959-12-31,15.87
1960-12-31,16.42
1961-12-31,16.15
1962-12-31,16.13
1963-12-31,15.92
1964-12-31,15.75
1965-12-31,15.8
1966-12-31,16.07
1967-12-31,16.36
1968-12-31,15.92
1969-12-31,15.93
1970-12-31,16.11
1971-12-31,16.05
1972-12-31,16.19
1973-12-31,16.28
1974-12-31,16.12
1975-12-31,16.08
1976-12-31,15.9
1977-12-31,16.11
1978-12-31,16.29
1979-12-31,16.44
1980-12-31,16.27
1981-12-31,16.7
1982-12-31,16.23
1983-12-31,15.89
1984-12-31,16.16
1985-12-31,16.16
1986-12-31,16.62
1987-12-31,16.35
1988-12-31,16.09
1989-12-31,16.65
1990-12-31,16.27
1991-12-31,16.85
1992-12-31,15.77
1993-12-31,16.33
1994-12-31,16.71
1995-12-31,16.54
1996-12-31,16.61
1997-12-31,16.72
1998-12-31,16.75
1999-12-31,16.84
2000-12-31,16.95
2001-12-31,16.64
2002-12-31,16.87
2003-12-31,16.92
2004-12-31,16.82
2005-12-31,17.03
