date,mean
2006-12-31,17.12
2007-12-31,17.26
2008-12-31,17.24
2009-12-31,17.07
2010-12-31,17.3
2011-12-31,17.44
2012-12-31,17.66
2013-12-31,17.58
2014-12-31,17.66
2015-12-31,17.23
2016-12-31,17.42
2017-12-31,17.48
2018-12-31,17.67
2019-12-31,18.06
2020-12-31,17.76
2021-12-31,17.56
2022-12-31,17.56
2023-12-31,17.92
2024-12-31,17.89
2025-12-31,17.91
2026-12-31,17.75
2027-12-31,17.86
2028-12-31,17.86
2029-12-31,18.07
2030-12-31,18.48
2031-12-31,18.13
2032-12-31,18.28
2033-12-31,18.41
2034-12-31,18.42
2035-12-31,18.38
2036-12-31,18.53
2037-12-31,18.54
2038-12-31,18.71
2039-12-31,18.49
2040-12-31,18.49
2041-12-31,18.88
2042-12-31,19.07
2043-12-31,19.06
2044-12-31,18.87
2045-12-31,18.96
2046-12-31,19.08
2047-12-31,19.24
2048-12-31,19.21
2049-12-31,19.35
2050-12-31,19.5
2051-12-31,19.38
2052-12-31,19.26
2053-12-31,19.6
2054-12-31,19.71
2055-12-31,19.6
2056-12-31,19.76
2057-12-31,19.53
2058-12-31,19.97
2059-12-31,20.05
2060-12-31,19.9
2061-12-31,19.93
2062-12-31,20.05
2063-12-31,20.19
2064-12-31,20.44
2065-12-31,20.37
2066-12-31,20.39
2067-12-31,20.34
2068-12-31,20.66
2069-12-31,20.73
2070-12-31,20.72
2071-12-31,20.77
2072-12-31,20.74
2073-12-31,21.1
2074-12-31,21.03
2075-12-31,20.97
2076-12-31,21.09
2077-12-31,21.09
2078-12-31,21.16
2079-12-31,21.25
2080-12-31,21.37
2081-12-31,21.55
2082-12-31,21.56
2083-12-31,21.56
2084-12-31,21.44
2085-12-31,21.71
2086-12-31,21.49
2087-12-31,21.86
2088-12-31,22.1
2089-12-31,21.93
2090-12-31,22.15
2091-12-31,22.23
2092-12-31,22.12
2093-12-31,22.34
2094-12-31,22.53
2095-12-31,22.19
2096-12-31,22.45
2097-12-31,22.34
2098-12-31,22.39
2099-12-31,23.59
