,historical,rcp45,rcp85
1950-12-31,806.6757455880348,,
1951-12-31,839.960398210803,,
1952-12-31,852.4395924595473,,
1953-12-31,818.8229301234702,,
1954-12-31,763.4358161272369,,
1955-12-31,763.556888602125,,
1956-12-31,810.5421940394858,,
1957-12-31,805.4405261230514,,
1958-12-31,777.2274662562827,,
1959-12-31,755.3018008858865,,
1960-12-31,809.711429356171,,
1961-12-31,784.1095908028785,,
1962-12-31,827.9032888358029,,
1963-12-31,757.4007528250605,,
1964-12-31,738.7123922293573,,
1965-12-31,756.5922070312548,,
1966-12-31,743.4059289550829,,
1967-12-31,824.7337085832917,,
1968-12-31,786.1445930698987,,
1969-12-31,748.1694693429178,,
1970-12-31,789.6626589529899,,
1971-12-31,807.4374769810314,,
1972-12-31,801.5982275390676,,
1973-12-31,794.7369501604401,,
1974-12-31,822.5903244454569,,
1975-12-31,795.0472286551386,,
1976-12-31,757.8372639683363,,
1977-12-31,826.4837509591284,,
1978-12-31,801.0688259451778,,
1979-12-31,799.0938116455125,,
1980-12-31,846.9249688720754,,
1981-12-31,881.7213407680015,,
1982-12-31,787.9393376813664,,
1983-12-31,742.285671997075,,
1984-12-31,778.1763657924157,,
1985-12-31,806.2597697230793,,
1986-12-31,854.9978360421367,,
1987-12-31,825.768006591802,,
1988-12-31,829.6174288504513,,
1989-12-31,887.038911830362,,
1990-12-31,899.2331706019861,,
1991-12-31,904.7013351004515,,
1992-12-31,751.8133135114444,,
1993-12-31,824.1758227539112,,
1994-12-31,912.626955479218,,
1995-12-31,851.4771878487775,,
1996-12-31,902.9489309256466,,
1997-12-31,931.9119781494192,,
1998-12-31,931.9503562709314,,
1999-12-31,953.1816224016515,,
2000-12-31,987.3991515241399,,
2001-12-31,954.3532931954572,,
2002-12-31,966.3606788853285,,
2003-12-31,968.8268593052507,,
2004-12-31,956.4873842947874,,
2005-12-31,1002.8481446184485,,
2006-12-31,,972.346369105753,1003.4742896379796
2007-12-31,,1039.0252007184765,1032.7578918457084
2008-12-31,,1044.2878258405467,1007.9298091343524
2009-12-31,,959.2805732073156,1018.3577000209314
2010-12-31,,1030.3221912493077,1040.7815335519028
2011-12-31,,1071.3675325230242,1078.499786812924
2012-12-31,,1039.2602396937832,1102.1040420968247
2013-12-31,,1044.0507645089338,1082.6159844970757
2014-12-31,,1119.5304989188112,1083.5863998849106
2015-12-31,,1083.6151454380636,1070.3824017334039
2016-12-31,,1079.176136125842,1104.3956902204295
2017-12-31,,1077.4300066266794,1122.1037993512887
2018-12-31,,1095.2278094482476,1169.2856239536882
2019-12-31,,1097.6490278843526,1197.4972667585153
2020-12-31,,1144.4970915876168,1181.4065478515683
2021-12-31,,1116.9010473632868,1159.6139969308092
2022-12-31,,1088.4047366769028,1135.0056083461272
2023-12-31,,1104.1945514788,1273.7600636509544
2024-12-31,,1124.2301726423048,1213.965628487729
2025-12-31,,1136.6304785156306,1149.3527198137613
2026-12-31,,1211.8941217913004,1188.7396089390404
2027-12-31,,1227.2072264753126,1238.3514932686999
2028-12-31,,1237.1337747628404,1242.7102826799721
2029-12-31,,1234.9848963274333,1207.4103904506196
2030-12-31,,1208.0355595180024,1301.543541957316
2031-12-31,,1223.8393900844087,1293.297845197411
2032-12-31,,1270.5148304966574,1280.888435668951
2033-12-31,,1261.4180281284932,1296.5236106654634
2034-12-31,,1258.1498470633428,1303.7047129603855
2035-12-31,,1289.8253795514845,1346.8415233503129
2036-12-31,,1290.585194353382,1358.4606147112222
2037-12-31,,1244.4889091273772,1412.9838469587112
2038-12-31,,1342.074104963036,1368.9021321324
2039-12-31,,1297.6036138916074,1383.6665998186443
2040-12-31,,1360.0812500000059,1411.9097298758431
2041-12-31,,1325.2532036481643,1419.1660636683935
2042-12-31,,1357.9665541294703,1494.380551147467
2043-12-31,,1341.538044520793,1429.3260371616968
2044-12-31,,1315.3346305629248,1489.2239174979136
2045-12-31,,1377.3497527204302,1510.767198399141
2046-12-31,,1396.0050516183092,1568.9453340366974
2047-12-31,,1450.803675188343,1551.429751674113
2048-12-31,,1419.0464251709043,1565.8906835065634
2049-12-31,,1405.1495679582927,1567.62485970634
