date,spei
2015-12-31,-0.09
2016-12-31,0.5
2017-12-31,0.36
2018-12-31,0.01
2019-12-31,-0.12
2020-12-31,0.16
2021-12-31,0.63
2022-12-31,0.52
2023-12-31,0.79
2024-12-31,0.05
2025-12-31,0.43
2026-12-31,0.04
2027-12-31,0.03
2028-12-31,0.25
2029-12-31,0.26
2030-12-31,0.06
2031-12-31,0.17
2032-12-31,0.3
2033-12-31,-0.1
2034-12-31,-0.09
2035-12-31,-0.4
2036-12-31,-0.05
2037-12-31,0.37
2038-12-31,0.17
2039-12-31,0.13
2040-12-31,-0.03
2041-12-31,-0.44
2042-12-31,-0.46
2043-12-31,0.13
2044-12-31,0.71
2045-12-31,0.48
2046-12-31,0.67
2047-12-31,0.34
2048-12-31,0.02
2049-12-31,0.22
2050-12-31,-0.01
2051-12-31,0.16
2052-12-31,0.46
2053-12-31,0.71
2054-12-31,0.2
2055-12-31,0.24
2056-12-31,0.5
2057-12-31,0.94
2058-12-31,0.43
2059-12-31,0.33
2060-12-31,0.36
2061-12-31,0.67
2062-12-31,0.86
2063-12-31,0.01
2064-12-31,-0.11
2065-12-31,0.05
2066-12-31,0.58
2067-12-31,0.29
2068-12-31,0.73
2069-12-31,0.44
2070-12-31,0.19
2071-12-31,0.01
2072-12-31,0.3
2073-12-31,0.61
2074-12-31,0.35
2075-12-31,0.21
2076-12-31,-0.34
2077-12-31,0.29
2078-12-31,0.74
2079-12-31,0.1
2080-12-31,0.19
2081-12-31,0.66
2082-12-31,0.16
2083-12-31,-0.07
2084-12-31,0.52
2085-12-31,0.37
2086-12-31,0.52
2087-12-31,-0.21
2088-12-31,0.22
2089-12-31,-0.07
2090-12-31,0.26
2091-12-31,0.18
2092-12-31,-0.75
2093-12-31,-0.07
2094-12-31,0.59
2095-12-31,0.79
2096-12-31,0.28
2097-12-31,0.53
2098-12-31,0.41
2099-12-31,0.34
2100-12-31,0.29
