date,spei
2015-12-31,0.17
2016-12-31,0.31
2017-12-31,0.13
2018-12-31,-0.13
2019-12-31,-0.09
2020-12-31,-0.06
2021-12-31,0.16
2022-12-31,0.35
2023-12-31,0.44
2024-12-31,0.06
2025-12-31,-0.44
2026-12-31,-0.84
2027-12-31,-0.39
2028-12-31,-0.12
2029-12-31,-0.18
2030-12-31,-0.65
2031-12-31,-0.05
2032-12-31,-0.12
2033-12-31,-0.41
2034-12-31,-0.05
2035-12-31,0.16
2036-12-31,-0.05
2037-12-31,-0.14
2038-12-31,-0.41
2039-12-31,-0.61
2040-12-31,-0.46
2041-12-31,-0.44
2042-12-31,-0.19
2043-12-31,-0.6
2044-12-31,-0.36
2045-12-31,-0.31
2046-12-31,0.02
2047-12-31,-0.31
2048-12-31,-0.45
2049-12-31,-0.13
2050-12-31,-0.3
2051-12-31,-0.32
2052-12-31,-0.21
2053-12-31,0.05
2054-12-31,-0.14
2055-12-31,-0.22
2056-12-31,-0.38
2057-12-31,0.07
2058-12-31,-0.14
2059-12-31,0.28
2060-12-31,-0.41
2061-12-31,-0.62
2062-12-31,-0.4
2063-12-31,-0.39
2064-12-31,-0.36
2065-12-31,-0.48
2066-12-31,0.03
2067-12-31,-0.53
2068-12-31,-0.63
2069-12-31,-0.62
2070-12-31,0.06
2071-12-31,-0.33
2072-12-31,-0.1
2073-12-31,-0.44
2074-12-31,0.0
2075-12-31,-0.38
2076-12-31,-0.55
2077-12-31,-0.21
2078-12-31,0.03
2079-12-31,-0.1
2080-12-31,-0.84
2081-12-31,-0.54
2082-12-31,-1.04
2083-12-31,-0.69
2084-12-31,-0.1
2085-12-31,-0.29
2086-12-31,-0.21
2087-12-31,-0.68
2088-12-31,-0.94
2089-12-31,-0.49
2090-12-31,-0.28
2091-12-31,-0.68
2092-12-31,-0.99
2093-12-31,-0.91
2094-12-31,-0.48
2095-12-31,-1.19
2096-12-31,-0.2
2097-12-31,-0.27
2098-12-31,-0.62
2099-12-31,-0.74
2100-12-31,-0.82
