,historical,rcp45,rcp85
1950-12-31,6425.75,,
1951-12-31,6288.33,,
1952-12-31,6347.66,,
1953-12-31,6271.54,,
1954-12-31,6368.64,,
1955-12-31,6385.4,,
1956-12-31,6474.21,,
1957-12-31,6449.68,,
1958-12-31,6446.23,,
1959-12-31,6382.78,,
1960-12-31,6473.31,,
1961-12-31,6218.35,,
1962-12-31,6322.97,,
1963-12-31,6279.43,,
1964-12-31,6572.95,,
1965-12-31,6596.54,,
1966-12-31,6622.13,,
1967-12-31,6510.88,,
1968-12-31,6609.84,,
1969-12-31,6480.43,,
1970-12-31,6452.85,,
1971-12-31,6480.27,,
1972-12-31,6524.58,,
1973-12-31,6403.15,,
1974-12-31,6534.58,,
1975-12-31,6403.95,,
1976-12-31,6483.11,,
1977-12-31,6284.88,,
1978-12-31,6335.42,,
1979-12-31,6204.0,,
1980-12-31,6298.12,,
1981-12-31,6319.67,,
1982-12-31,6409.09,,
1983-12-31,6447.83,,
1984-12-31,6419.14,,
1985-12-31,6322.83,,
1986-12-31,6137.28,,
1987-12-31,6334.89,,
1988-12-31,6163.97,,
1989-12-31,6168.93,,
1990-12-31,6242.14,,
1991-12-31,6060.73,,
1992-12-31,6395.35,,
1993-12-31,6279.69,,
1994-12-31,6237.37,,
1995-12-31,6343.18,,
1996-12-31,6231.93,,
1997-12-31,6118.67,,
1998-12-31,6028.63,,
1999-12-31,6063.65,,
2000-12-31,6021.57,,
2001-12-31,6057.24,,
2002-12-31,5966.8,,
2003-12-31,6006.3,,
2004-12-31,5967.55,,
2005-12-31,5614.73,,
2006-12-31,,5754.59,5718.01
2007-12-31,,5756.23,5873.72
2008-12-31,,5910.64,5932.6
2009-12-31,,5663.17,5854.09
2010-12-31,,5723.64,5962.24
2011-12-31,,5703.56,5846.19
2012-12-31,,5651.91,5708.27
2013-12-31,,5749.96,5813.28
2014-12-31,,5803.57,5646.66
2015-12-31,,5693.18,5765.04
2016-12-31,,5810.64,5703.98
2017-12-31,,5777.08,5494.68
2018-12-31,,5753.5,5542.68
2019-12-31,,5616.19,5625.98
2020-12-31,,5663.0,5644.77
2021-12-31,,5746.73,5540.43
2022-12-31,,5509.97,5534.03
2023-12-31,,5487.79,5422.74
2024-12-31,,5447.28,5502.92
2025-12-31,,5468.14,5481.19
2026-12-31,,5246.3,5374.01
2027-12-31,,5531.86,5415.28
2028-12-31,,5438.89,5224.28
2029-12-31,,5391.1,5264.05
2030-12-31,,5467.0,5206.62
2031-12-31,,5444.35,5451.87
2032-12-31,,5380.48,5593.67
2033-12-31,,5281.0,5288.55
2034-12-31,,5315.86,5229.36
2035-12-31,,5356.96,5099.71
2036-12-31,,5374.58,5306.16
2037-12-31,,5330.44,5116.89
2038-12-31,,5320.65,5231.66
2039-12-31,,5377.56,5120.52
2040-12-31,,5374.35,5216.85
2041-12-31,,5307.64,5069.37
2042-12-31,,5298.83,5054.18
2043-12-31,,5249.96,5039.2
2044-12-31,,5108.53,5107.96
2045-12-31,,5137.46,4999.48
2046-12-31,,5311.38,4934.79
2047-12-31,,5072.59,4986.11
2048-12-31,,5107.74,4952.56
2049-12-31,,5012.14,4819.63
2050-12-31,,4972.25,4812.46
2051-12-31,,5098.16,4790.86
2052-12-31,,4901.03,4730.45
2053-12-31,,4935.74,4721.61
2054-12-31,,5017.43,4714.04
2055-12-31,,4952.86,4685.41
2056-12-31,,5149.21,4709.82
2057-12-31,,5045.22,4522.26
2058-12-31,,4832.57,4612.13
2059-12-31,,4907.98,4575.11
2060-12-31,,4984.12,4479.78
2061-12-31,,4854.08,4501.9
2062-12-31,,4839.45,4542.8
2063-12-31,,4974.28,4543.51
2064-12-31,,4952.15,4523.55
2065-12-31,,4838.56,4481.04
2066-12-31,,4862.71,4379.6
2067-12-31,,4932.36,4348.64
2068-12-31,,4992.57,4194.84
2069-12-31,,4883.71,4163.05
2070-12-31,,4885.29,4169.81
2071-12-31,,4877.42,4226.29
2072-12-31,,4711.22,4178.54
2073-12-31,,4802.66,4217.35
2074-12-31,,4770.4,4235.05
2075-12-31,,4842.37,4078.48
2076-12-31,,4729.13,4116.39
2077-12-31,,4833.31,4065.78
2078-12-31,,4676.69,4002.75
2079-12-31,,4710.0,4057.6
2080-12-31,,4801.58,4182.29
2081-12-31,,4691.22,3988.67
2082-12-31,,4665.0,3861.25
2083-12-31,,4751.28,4034.48
2084-12-31,,4857.44,4004.44
2085-12-31,,4839.77,3930.65
2086-12-31,,4799.89,3801.95
2087-12-31,,4931.63,3851.83
2088-12-31,,4825.52,3864.17
2089-12-31,,4830.92,3845.47
2090-12-31,,4756.83,3844.29
2091-12-31,,4711.92,3785.19
2092-12-31,,4670.54,3826.24
2093-12-31,,4760.2,3702.88
2094-12-31,,4739.2,3683.44
2095-12-31,,4735.51,3736.17
2096-12-31,,4765.58,3729.67
2097-12-31,,4763.55,3606.29
2098-12-31,,4793.4,3643.61
2099-12-31,,4143.34,3276.3
