date,mean
1950-12-31,1.27
1951-12-31,1.24
1952-12-31,1.24
1953-12-31,1.26
1954-12-31,1.4
1955-12-31,1.29
1956-12-31,1.28
1957-12-31,1.28
1958-12-31,1.31
1959-12-31,1.29
1960-12-31,1.37
1961-12-31,1.25
1962-12-31,1.32
1963-12-31,1.3
1964-12-31,1.32
1965-12-31,1.21
1966-12-31,1.23
1967-12-31,1.23
1968-12-31,1.33
1969-12-31,1.32
1970-12-31,1.31
1971-12-31,1.29
1972-12-31,1.2
1973-12-31,1.29
1974-12-31,1.38
1975-12-31,1.37
1976-12-31,1.31
1977-12-31,1.31
1978-12-31,1.39
1979-12-31,1.3
1980-12-31,1.19
1981-12-31,1.35
1982-12-31,1.32
1983-12-31,1.27
1984-12-31,1.23
1985-12-31,1.34
1986-12-31,1.34
1987-12-31,1.26
1988-12-31,1.2
1989-12-31,1.44
1990-12-31,1.19
1991-12-31,1.39
1992-12-31,1.24
1993-12-31,1.23
1994-12-31,1.23
1995-12-31,1.2
1996-12-31,1.41
1997-12-31,1.34
1998-12-31,1.38
1999-12-31,1.24
2000-12-31,1.31
2001-12-31,1.35
2002-12-31,1.26
2003-12-31,1.44
2004-12-31,1.33
2005-12-31,1.32
