date,spei
1981-12-31,-0.02
1982-12-31,0.17
1983-12-31,-0.01
1984-12-31,0.59
1985-12-31,0.6
1986-12-31,-0.18
1987-12-31,-0.06
1988-12-31,-0.09
1989-12-31,0.04
1990-12-31,0.29
1991-12-31,0.49
1992-12-31,0.17
1993-12-31,0.3
1994-12-31,0.03
1995-12-31,-0.3
1996-12-31,-0.11
1997-12-31,0.23
1998-12-31,-0.1
1999-12-31,-0.39
2000-12-31,-0.1
2001-12-31,0.02
2002-12-31,-0.01
2003-12-31,-0.35
2004-12-31,-0.32
2005-12-31,-0.18
2006-12-31,0.07
2007-12-31,-0.08
2008-12-31,-0.14
2009-12-31,-0.35
2010-12-31,-0.37
2011-12-31,0.17
2012-12-31,0.29
2013-12-31,-0.2
2014-12-31,-0.23
