date,spei
2015-12-31,0.08
2016-12-31,0.32
2017-12-31,0.13
2018-12-31,0.11
2019-12-31,-0.15
2020-12-31,-0.01
2021-12-31,0.11
2022-12-31,0.28
2023-12-31,-0.03
2024-12-31,-0.28
2025-12-31,-0.2
2026-12-31,-0.3
2027-12-31,-0.26
2028-12-31,-0.18
2029-12-31,-0.48
2030-12-31,-0.55
2031-12-31,-0.13
2032-12-31,0.04
2033-12-31,-0.53
2034-12-31,-0.36
2035-12-31,-0.09
2036-12-31,0.14
2037-12-31,-0.28
2038-12-31,-0.82
2039-12-31,-0.41
2040-12-31,-0.09
2041-12-31,-0.44
2042-12-31,-0.42
2043-12-31,-0.44
2044-12-31,-0.08
2045-12-31,-0.01
2046-12-31,0.07
2047-12-31,-0.3
2048-12-31,-0.32
2049-12-31,-0.35
2050-12-31,-1.08
2051-12-31,-0.76
2052-12-31,-0.42
2053-12-31,-0.14
2054-12-31,-0.5
2055-12-31,-1.15
2056-12-31,-0.34
2057-12-31,-0.03
2058-12-31,-0.02
2059-12-31,-0.33
2060-12-31,-0.62
2061-12-31,-0.79
2062-12-31,-0.26
2063-12-31,0.04
2064-12-31,-0.55
2065-12-31,-0.47
2066-12-31,-0.63
2067-12-31,-1.31
2068-12-31,-0.99
2069-12-31,-0.44
2070-12-31,0.08
2071-12-31,-0.58
2072-12-31,-0.08
2073-12-31,-0.17
2074-12-31,-0.25
2075-12-31,-0.16
2076-12-31,-0.04
2077-12-31,-0.56
2078-12-31,-0.06
2079-12-31,-0.8
2080-12-31,-1.17
2081-12-31,-0.24
2082-12-31,-1.19
2083-12-31,-1.38
2084-12-31,-0.86
2085-12-31,-0.27
2086-12-31,-0.63
2087-12-31,-1.26
2088-12-31,-1.18
2089-12-31,-0.78
2090-12-31,-0.28
2091-12-31,-0.98
2092-12-31,-1.02
2093-12-31,-0.45
2094-12-31,-0.66
2095-12-31,-1.03
2096-12-31,-0.47
2097-12-31,-0.86
2098-12-31,-0.85
2099-12-31,-0.64
2100-12-31,-0.66
