,historical,rcp45,rcp85
1950-12-31,316.18,,
1951-12-31,323.52,,
1952-12-31,315.25,,
1953-12-31,338.11,,
1954-12-31,292.62,,
1955-12-31,306.19,,
1956-12-31,305.53,,
1957-12-31,308.67,,
1958-12-31,283.05,,
1959-12-31,276.77,,
1960-12-31,318.21,,
1961-12-31,315.73,,
1962-12-31,303.73,,
1963-12-31,293.52,,
1964-12-31,283.22,,
1965-12-31,245.56,,
1966-12-31,256.72,,
1967-12-31,352.14,,
1968-12-31,280.13,,
1969-12-31,267.98,,
1970-12-31,287.1,,
1971-12-31,293.99,,
1972-12-31,329.27,,
1973-12-31,312.24,,
1974-12-31,342.54,,
1975-12-31,268.08,,
1976-12-31,286.42,,
1977-12-31,327.03,,
1978-12-31,333.18,,
1979-12-31,318.08,,
1980-12-31,348.42,,
1981-12-31,357.41,,
1982-12-31,314.06,,
1983-12-31,267.92,,
1984-12-31,309.78,,
1985-12-31,326.75,,
1986-12-31,315.62,,
1987-12-31,336.94,,
1988-12-31,375.57,,
1989-12-31,352.35,,
1990-12-31,380.34,,
1991-12-31,390.94,,
1992-12-31,273.11,,
1993-12-31,319.2,,
1994-12-31,430.41,,
1995-12-31,357.6,,
1996-12-31,357.27,,
1997-12-31,362.57,,
1998-12-31,406.11,,
1999-12-31,436.88,,
2000-12-31,437.81,,
2001-12-31,428.71,,
2002-12-31,423.1,,
2003-12-31,470.19,,
2004-12-31,459.23,,
2005-12-31,461.72,,
2006-12-31,,497.6,477.38
2007-12-31,,441.65,486.66
2008-12-31,,453.72,494.31
2009-12-31,,465.09,474.07
2010-12-31,,476.03,494.49
2011-12-31,,481.42,493.03
2012-12-31,,513.75,531.19
2013-12-31,,511.21,507.92
2014-12-31,,475.57,513.06
2015-12-31,,469.71,506.14
2016-12-31,,520.8,513.5
2017-12-31,,514.83,536.82
2018-12-31,,511.45,577.63
2019-12-31,,534.65,567.73
2020-12-31,,573.25,581.29
2021-12-31,,523.03,571.01
2022-12-31,,579.34,609.17
2023-12-31,,544.2,600.9
2024-12-31,,577.16,658.19
2025-12-31,,612.61,554.54
2026-12-31,,604.31,570.52
2027-12-31,,605.21,602.24
2028-12-31,,645.1,631.72
2029-12-31,,604.97,606.23
2030-12-31,,589.67,691.39
2031-12-31,,592.18,678.05
2032-12-31,,599.79,681.25
2033-12-31,,647.54,655.64
2034-12-31,,666.29,702.35
2035-12-31,,701.17,718.43
2036-12-31,,663.86,735.64
2037-12-31,,658.57,784.1
2038-12-31,,701.73,717.53
2039-12-31,,714.22,698.18
2040-12-31,,684.36,770.39
2041-12-31,,712.7,733.19
2042-12-31,,710.68,783.97
2043-12-31,,683.06,751.72
2044-12-31,,647.97,783.66
2045-12-31,,793.0,822.78
2046-12-31,,795.51,861.99
2047-12-31,,789.93,875.76
2048-12-31,,738.77,892.35
2049-12-31,,798.08,933.99
2050-12-31,,803.41,889.76
2051-12-31,,750.57,894.46
2052-12-31,,788.33,918.03
2053-12-31,,816.73,975.49
2054-12-31,,727.6,992.34
2055-12-31,,796.5,956.21
2056-12-31,,751.68,1018.12
2057-12-31,,795.73,1009.21
2058-12-31,,863.67,1031.33
2059-12-31,,797.87,1051.17
2060-12-31,,777.55,990.65
2061-12-31,,752.62,1078.42
2062-12-31,,817.86,1075.45
2063-12-31,,831.53,1124.04
2064-12-31,,753.56,1138.19
2065-12-31,,860.02,1173.12
2066-12-31,,851.85,1095.07
2067-12-31,,852.57,1190.14
2068-12-31,,788.83,1277.12
2069-12-31,,861.46,1277.66
2070-12-31,,810.88,1232.3
2071-12-31,,866.08,1224.39
2072-12-31,,928.12,1200.86
2073-12-31,,834.41,1319.95
2074-12-31,,869.44,1353.82
2075-12-31,,889.08,1314.49
2076-12-31,,894.19,1305.42
2077-12-31,,879.67,1363.24
2078-12-31,,835.35,1354.72
2079-12-31,,858.75,1344.37
2080-12-31,,864.17,1409.23
2081-12-31,,810.44,1422.76
2082-12-31,,869.11,1487.26
2083-12-31,,919.15,1475.21
2084-12-31,,896.34,1480.96
2085-12-31,,858.96,1460.42
2086-12-31,,889.46,1521.19
2087-12-31,,897.72,1518.98
2088-12-31,,886.36,1568.33
2089-12-31,,893.29,1544.5
2090-12-31,,860.85,1642.79
2091-12-31,,873.13,1569.29
2092-12-31,,957.13,1653.3
2093-12-31,,963.78,1691.63
2094-12-31,,902.7,1734.2
2095-12-31,,876.66,1641.05
2096-12-31,,851.4,1735.67
2097-12-31,,856.84,1684.78
2098-12-31,,876.93,1701.87
2099-12-31,,862.8,1819.4
