date,mean
2006-12-31,1.36
2007-12-31,1.3
2008-12-31,1.33
2009-12-31,1.32
2010-12-31,1.34
2011-12-31,1.22
2012-12-31,1.29
2013-12-31,1.29
2014-12-31,1.2
2015-12-31,1.31
2016-12-31,1.44
2017-12-31,1.34
2018-12-31,1.28
2019-12-31,1.28
2020-12-31,1.34
2021-12-31,1.3
2022-12-31,1.33
2023-12-31,1.55
2024-12-31,1.31
2025-12-31,1.49
2026-12-31,1.36
2027-12-31,1.56
2028-12-31,1.34
2029-12-31,1.39
2030-12-31,1.31
2031-12-31,1.38
2032-12-31,1.44
2033-12-31,1.36
2034-12-31,1.34
2035-12-31,1.46
2036-12-31,1.35
2037-12-31,1.33
2038-12-31,1.46
2039-12-31,1.35
2040-12-31,1.36
2041-12-31,1.36
2042-12-31,1.36
2043-12-31,1.44
2044-12-31,1.42
2045-12-31,1.39
2046-12-31,1.42
2047-12-31,1.4
2048-12-31,1.52
2049-12-31,1.42
2050-12-31,1.46
2051-12-31,1.45
2052-12-31,1.45
2053-12-31,1.56
2054-12-31,1.38
2055-12-31,1.46
2056-12-31,1.47
2057-12-31,1.38
2058-12-31,1.4
2059-12-31,1.49
2060-12-31,1.53
2061-12-31,1.45
2062-12-31,1.48
2063-12-31,1.37
2064-12-31,1.31
2065-12-31,1.4
2066-12-31,1.51
2067-12-31,1.47
2068-12-31,1.36
2069-12-31,1.46
2070-12-31,1.45
2071-12-31,1.47
2072-12-31,1.59
2073-12-31,1.43
2074-12-31,1.41
2075-12-31,1.4
2076-12-31,1.54
2077-12-31,1.44
2078-12-31,1.47
2079-12-31,1.54
2080-12-31,1.52
2081-12-31,1.59
2082-12-31,1.43
2083-12-31,1.55
2084-12-31,1.49
2085-12-31,1.65
2086-12-31,1.59
2087-12-31,1.58
2088-12-31,1.47
2089-12-31,1.55
2090-12-31,1.64
2091-12-31,1.72
2092-12-31,1.52
2093-12-31,1.5
2094-12-31,1.47
2095-12-31,1.6
2096-12-31,1.58
2097-12-31,1.55
2098-12-31,1.6
2099-12-31,1.44
