,historical,rcp45,rcp85
1950-12-31,9052.61,,
1951-12-31,8911.07,,
1952-12-31,8998.1,,
1953-12-31,8944.7,,
1954-12-31,9067.92,,
1955-12-31,9083.62,,
1956-12-31,9055.26,,
1957-12-31,9074.33,,
1958-12-31,9054.09,,
1959-12-31,9088.64,,
1960-12-31,9107.67,,
1961-12-31,9000.13,,
1962-12-31,8995.15,,
1963-12-31,8991.05,,
1964-12-31,9303.67,,
1965-12-31,9348.96,,
1966-12-31,9242.07,,
1967-12-31,9022.46,,
1968-12-31,9276.83,,
1969-12-31,9224.2,,
1970-12-31,9264.84,,
1971-12-31,9084.86,,
1972-12-31,9070.13,,
1973-12-31,8975.36,,
1974-12-31,9158.03,,
1975-12-31,9100.09,,
1976-12-31,9100.78,,
1977-12-31,8978.48,,
1978-12-31,8990.84,,
1979-12-31,8836.91,,
1980-12-31,8822.33,,
1981-12-31,8806.12,,
1982-12-31,9037.79,,
1983-12-31,9127.35,,
1984-12-31,9034.06,,
1985-12-31,8950.94,,
1986-12-31,8884.08,,
1987-12-31,8911.33,,
1988-12-31,8808.06,,
1989-12-31,8757.93,,
1990-12-31,8888.7,,
1991-12-31,8596.75,,
1992-12-31,9139.77,,
1993-12-31,8904.29,,
1994-12-31,8701.96,,
1995-12-31,8939.83,,
1996-12-31,8797.9,,
1997-12-31,8648.97,,
1998-12-31,8524.79,,
1999-12-31,8646.21,,
2000-12-31,8546.04,,
2001-12-31,8709.19,,
2002-12-31,8519.32,,
2003-12-31,8499.1,,
2004-12-31,8440.71,,
2005-12-31,8016.58,,
2006-12-31,,8285.99,8349.19
2007-12-31,,8207.91,8366.16
2008-12-31,,8423.78,8341.56
2009-12-31,,8242.27,8406.56
2010-12-31,,8311.17,8493.24
2011-12-31,,8260.38,8332.05
2012-12-31,,8145.12,8082.23
2013-12-31,,8286.65,8322.16
2014-12-31,,8287.66,8171.82
2015-12-31,,8193.13,8333.87
2016-12-31,,8318.68,8210.62
2017-12-31,,8256.47,8063.9
2018-12-31,,8235.99,7983.67
2019-12-31,,8101.94,8060.94
2020-12-31,,8168.01,8051.5
2021-12-31,,8209.83,7992.13
2022-12-31,,7979.84,7956.31
2023-12-31,,7941.64,7950.92
2024-12-31,,7983.44,7924.03
2025-12-31,,7836.67,8036.53
2026-12-31,,7668.14,7900.94
2027-12-31,,7949.56,7934.77
2028-12-31,,7834.84,7725.48
2029-12-31,,7752.47,7693.36
2030-12-31,,7856.23,7597.18
2031-12-31,,7780.19,7807.82
2032-12-31,,7756.14,7909.72
2033-12-31,,7702.44,7589.59
2034-12-31,,7750.04,7675.77
2035-12-31,,7615.62,7524.38
2036-12-31,,7664.45,7645.33
2037-12-31,,7757.61,7438.48
2038-12-31,,7682.2,7513.54
2039-12-31,,7638.19,7499.18
2040-12-31,,7832.56,7510.71
2041-12-31,,7596.32,7477.24
2042-12-31,,7650.03,7360.65
2043-12-31,,7595.52,7331.88
2044-12-31,,7591.05,7468.67
2045-12-31,,7480.15,7314.89
2046-12-31,,7499.32,7201.41
2047-12-31,,7428.81,7190.39
2048-12-31,,7488.69,7244.72
2049-12-31,,7373.18,7134.56
2050-12-31,,7323.27,6950.5
2051-12-31,,7427.24,7113.69
2052-12-31,,7266.4,7051.1
2053-12-31,,7247.36,6918.51
2054-12-31,,7286.03,6849.82
2055-12-31,,7364.69,6871.94
2056-12-31,,7531.23,6859.79
2057-12-31,,7338.29,6687.89
2058-12-31,,7160.02,6734.07
2059-12-31,,7228.0,6667.36
2060-12-31,,7421.08,6700.52
2061-12-31,,7216.87,6702.77
2062-12-31,,7234.13,6620.5
2063-12-31,,7296.83,6654.19
2064-12-31,,7344.47,6596.01
2065-12-31,,7142.82,6538.12
2066-12-31,,7154.39,6494.37
2067-12-31,,7265.73,6519.49
2068-12-31,,7347.64,6217.34
2069-12-31,,7125.47,6211.65
2070-12-31,,7213.53,6228.06
2071-12-31,,7189.11,6257.55
2072-12-31,,7016.16,6287.02
2073-12-31,,7073.32,6177.16
2074-12-31,,7052.65,6213.02
2075-12-31,,7108.24,6122.97
2076-12-31,,6882.57,6165.32
2077-12-31,,7053.77,6116.65
2078-12-31,,7026.55,5990.7
2079-12-31,,7037.9,5987.78
2080-12-31,,7192.01,6112.04
2081-12-31,,7054.42,5887.5
2082-12-31,,6906.26,5817.28
2083-12-31,,6874.21,5937.24
2084-12-31,,7072.36,5931.98
2085-12-31,,7087.49,5884.36
2086-12-31,,7036.71,5756.97
2087-12-31,,7037.06,5784.42
2088-12-31,,7053.69,5753.37
2089-12-31,,7081.29,5767.74
2090-12-31,,7081.01,5699.24
2091-12-31,,7039.32,5634.26
2092-12-31,,6960.48,5696.85
2093-12-31,,6954.76,5526.58
2094-12-31,,6994.84,5496.39
2095-12-31,,6982.07,5590.24
2096-12-31,,7009.39,5560.32
2097-12-31,,6994.74,5507.83
2098-12-31,,7078.56,5414.09
2099-12-31,,6270.87,4865.44
