,historical,rcp45,rcp85
1950-12-31,7223.760350123803,,
1951-12-31,7097.026145368292,,
1952-12-31,7156.142436043865,,
1953-12-31,7169.0908267647765,,
1954-12-31,7239.173841247549,,
1955-12-31,7223.677460937488,,
1956-12-31,7245.891997942233,,
1957-12-31,7254.506435939232,,
1958-12-31,7257.692724870942,,
1959-12-31,7221.282870570579,,
1960-12-31,7265.8228368268565,,
1961-12-31,7134.014075230178,,
1962-12-31,7145.729699227457,,
1963-12-31,7180.549345397936,,
1964-12-31,7466.925243443069,,
1965-12-31,7469.825012599388,,
1966-12-31,7396.908756670258,,
1967-12-31,7213.809744393472,,
1968-12-31,7414.308294198161,,
1969-12-31,7353.60183794293,,
1970-12-31,7375.808613324834,,
1971-12-31,7264.52645298548,,
1972-12-31,7286.528194187698,,
1973-12-31,7230.921364484502,,
1974-12-31,7330.224618879033,,
1975-12-31,7194.659639805373,,
1976-12-31,7210.668941519589,,
1977-12-31,7197.189078194742,,
1978-12-31,7178.570949445441,,
1979-12-31,7061.802938319604,,
1980-12-31,7069.4517345319355,,
1981-12-31,7091.516015930165,,
1982-12-31,7233.54876207623,,
1983-12-31,7254.691753888798,,
1984-12-31,7200.920011683859,,
1985-12-31,7122.473484191883,,
1986-12-31,7057.236260637544,,
1987-12-31,7151.223671395426,,
1988-12-31,7068.487920663005,,
1989-12-31,6976.88409349713,,
1990-12-31,7109.212861720483,,
1991-12-31,6882.372585318417,,
1992-12-31,7314.667753731853,,
1993-12-31,7100.533278372617,,
1994-12-31,6992.7852417864015,,
1995-12-31,7165.839143589552,,
1996-12-31,7102.799064592625,,
1997-12-31,6914.292841491689,,
1998-12-31,6842.8718647984,,
1999-12-31,6864.545375714971,,
2000-12-31,6852.1164418247645,,
2001-12-31,7041.411242893753,,
2002-12-31,6840.949148908332,,
2003-12-31,6814.180467921653,,
2004-12-31,6800.013740931908,,
2005-12-31,6389.303403756267,,
2006-12-31,,6609.657201450881,6688.892204895009
2007-12-31,,6593.699707336415,6695.181514500198
2008-12-31,,6780.48931348527,6691.742393014079
2009-12-31,,6572.973657618922,6710.570135236458
2010-12-31,,6664.790113481785,6865.2539556012725
2011-12-31,,6560.980489545539,6687.71386038643
2012-12-31,,6578.845369698649,6540.82962158202
2013-12-31,,6668.954849504731,6678.457517089831
2014-12-31,,6620.682592163074,6536.7917583356475
2015-12-31,,6539.969152919213,6698.041538827068
2016-12-31,,6688.836858520498,6567.186651611317
2017-12-31,,6657.365098397379,6441.090165841229
2018-12-31,,6558.235772399891,6428.396828351691
2019-12-31,,6441.534555140893,6425.317421439022
2020-12-31,,6555.840454537516,6442.842094944535
2021-12-31,,6571.185244663771,6421.406581638868
2022-12-31,,6389.763968331462,6396.409279697951
2023-12-31,,6321.352229091088,6322.521901811862
2024-12-31,,6345.392797677165,6375.48246520995
2025-12-31,,6308.37115068707,6413.424689636219
2026-12-31,,6102.66667236327,6302.938805977947
2027-12-31,,6390.7272723824535,6359.320877729132
2028-12-31,,6294.203802403029,6181.456452854692
2029-12-31,,6291.361929800841,6143.607495596737
2030-12-31,,6308.078091387058,6101.652932652055
2031-12-31,,6297.082128819047,6260.049353245315
2032-12-31,,6158.094821254174,6339.870307835158
2033-12-31,,6127.890196097228,6047.52802128382
2034-12-31,,6238.562804521822,6129.247342747269
2035-12-31,,6163.922958809978,6011.199292297351
2036-12-31,,6207.6526269095175,6159.303518981923
2037-12-31,,6168.175168326231,5920.989219185954
2038-12-31,,6108.559476885103,6036.172970929816
2039-12-31,,6149.230172816674,5942.23955291747
2040-12-31,,6303.221811697813,6010.3843366786305
2041-12-31,,6140.0848653302755,5928.1578934151685
2042-12-31,,6150.6644655936,5939.22498334611
2043-12-31,,6144.6395009067965,5883.219518127431
2044-12-31,,6077.287335641032,5931.362805219366
2045-12-31,,5989.784508972157,5907.420661097924
2046-12-31,,6053.839236014219,5844.423381565628
2047-12-31,,5925.947457711345,5833.67794001987
2048-12-31,,5998.279765450603,5773.636790640685
2049-12-31,,5883.535835527682,5701.311474173399
2050-12-31,,5876.479950953882,5611.206225629522
2051-12-31,,5951.643234645288,5624.270498482831
2052-12-31,,5784.766780090322,5607.196492527543
2053-12-31,,5838.286648995524,5554.263850490014
2054-12-31,,5795.978546840111,5499.392267412448
2055-12-31,,5841.233791983458,5518.194456743503
2056-12-31,,6017.116439121782,5555.94792654854
2057-12-31,,5845.371085379453,5343.99961390903
2058-12-31,,5726.60360055105,5421.084231436583
2059-12-31,,5768.911705322254,5339.85156036376
2060-12-31,,5891.870534101204,5306.271310294005
2061-12-31,,5743.1745849173285,5320.9396065848105
2062-12-31,,5691.312939147938,5314.791724635522
2063-12-31,,5821.24867601666,5330.4437325613735
2064-12-31,,5822.5189010620015,5338.522974155961
2065-12-31,,5686.324918038494,5285.375616803841
2066-12-31,,5712.114612252361,5171.99471749441
2067-12-31,,5757.494215916213,5192.668948931004
2068-12-31,,5875.937342965252,4984.293509434282
2069-12-31,,5752.181018763939,4901.823461914053
2070-12-31,,5726.127973763591,4975.350700247618
2071-12-31,,5728.2607030813915,4967.589722943977
2072-12-31,,5557.518353271475,4965.32141104561
2073-12-31,,5654.089422956183,4971.163559395917
2074-12-31,,5644.712839224669,5009.826993669772
2075-12-31,,5653.136222228994,4841.4920466831645
2076-12-31,,5535.863285566048,4902.015646667472
2077-12-31,,5658.780438450393,4876.977189113061
2078-12-31,,5554.788857073091,4737.481363176609
2079-12-31,,5556.221944885244,4753.581019941047
2080-12-31,,5666.990627615781,4908.084991585858
2081-12-31,,5534.844136352529,4681.60905936104
2082-12-31,,5475.707555716368,4598.10970942905
2083-12-31,,5439.042137276776,4759.711765441885
2084-12-31,,5671.81286629812,4755.497663617806
2085-12-31,,5623.640745064862,4685.962007228297
2086-12-31,,5628.156587088438,4575.173980189723
2087-12-31,,5720.603827035076,4555.654416285914
2088-12-31,,5636.572841666074,4609.426309422074
2089-12-31,,5659.6117935180555,4555.167807050423
2090-12-31,,5637.194238673608,4568.637612261082
2091-12-31,,5594.778560049863,4442.269300798678
2092-12-31,,5510.014185921794,4530.195630013592
2093-12-31,,5577.511852547771,4405.58266771588
2094-12-31,,5623.412120317722,4407.805754132943
2095-12-31,,5548.364375261569,4416.252320992597
2096-12-31,,5619.639075805654,4437.0961426653075
2097-12-31,,5568.983559677114,4341.996925571976
2098-12-31,,5647.313844909658,4323.914559064582
2099-12-31,,4856.907521987905,3858.6302842494333
