,historical,rcp45,rcp85
1950-12-31,17.12,,
1951-12-31,18.6,,
1952-12-31,21.51,,
1953-12-31,20.16,,
1954-12-31,20.96,,
1955-12-31,22.49,,
1956-12-31,17.38,,
1957-12-31,17.72,,
1958-12-31,20.84,,
1959-12-31,23.16,,
1960-12-31,19.13,,
1961-12-31,20.08,,
1962-12-31,22.45,,
1963-12-31,15.77,,
1964-12-31,21.88,,
1965-12-31,20.18,,
1966-12-31,18.5,,
1967-12-31,21.61,,
1968-12-31,22.31,,
1969-12-31,21.81,,
1970-12-31,17.9,,
1971-12-31,19.31,,
1972-12-31,17.6,,
1973-12-31,19.32,,
1974-12-31,19.57,,
1975-12-31,19.35,,
1976-12-31,18.96,,
1977-12-31,21.2,,
1978-12-31,17.56,,
1979-12-31,19.68,,
1980-12-31,17.54,,
1981-12-31,18.36,,
1982-12-31,18.44,,
1983-12-31,18.95,,
1984-12-31,20.26,,
1985-12-31,16.4,,
1986-12-31,18.68,,
1987-12-31,20.06,,
1988-12-31,18.91,,
1989-12-31,24.01,,
1990-12-31,21.3,,
1991-12-31,21.5,,
1992-12-31,19.01,,
1993-12-31,20.44,,
1994-12-31,17.37,,
1995-12-31,18.94,,
1996-12-31,19.6,,
1997-12-31,20.63,,
1998-12-31,18.85,,
1999-12-31,21.53,,
2000-12-31,18.54,,
2001-12-31,21.88,,
2002-12-31,20.75,,
2003-12-31,18.79,,
2004-12-31,18.62,,
2005-12-31,18.12,,
2006-12-31,,24.98,24.22
2007-12-31,,21.53,20.88
2008-12-31,,19.14,19.22
2009-12-31,,18.16,20.59
2010-12-31,,20.72,22.26
2011-12-31,,22.52,20.64
2012-12-31,,19.16,18.56
2013-12-31,,23.03,20.25
2014-12-31,,20.69,19.07
2015-12-31,,18.73,19.18
2016-12-31,,22.24,16.63
2017-12-31,,20.84,20.82
2018-12-31,,20.56,19.55
2019-12-31,,22.14,21.82
2020-12-31,,19.88,19.53
2021-12-31,,22.19,19.37
2022-12-31,,21.75,19.07
2023-12-31,,19.98,20.46
2024-12-31,,21.0,19.78
2025-12-31,,21.88,23.52
2026-12-31,,21.4,21.64
2027-12-31,,18.58,19.94
2028-12-31,,24.99,21.57
2029-12-31,,25.1,21.17
2030-12-31,,20.33,19.64
2031-12-31,,20.55,18.73
2032-12-31,,21.73,20.38
2033-12-31,,16.85,20.69
2034-12-31,,19.11,21.01
2035-12-31,,24.35,20.92
2036-12-31,,21.18,20.47
2037-12-31,,18.96,22.38
2038-12-31,,20.01,24.57
2039-12-31,,19.39,23.12
2040-12-31,,22.69,22.52
2041-12-31,,22.51,18.87
2042-12-31,,19.78,21.39
2043-12-31,,23.15,18.16
2044-12-31,,20.98,19.32
2045-12-31,,20.04,22.72
2046-12-31,,21.03,21.55
2047-12-31,,22.74,21.59
2048-12-31,,20.17,21.56
2049-12-31,,20.7,25.6
2050-12-31,,19.49,24.03
2051-12-31,,21.51,18.27
2052-12-31,,26.55,19.1
2053-12-31,,25.41,21.09
2054-12-31,,21.9,23.89
2055-12-31,,21.24,23.31
2056-12-31,,19.92,21.44
2057-12-31,,20.81,18.92
2058-12-31,,21.83,20.14
2059-12-31,,19.47,23.28
2060-12-31,,22.89,21.55
2061-12-31,,22.8,20.9
2062-12-31,,21.46,25.31
2063-12-31,,20.64,21.63
2064-12-31,,22.25,20.42
2065-12-31,,20.28,21.66
2066-12-31,,21.38,24.03
2067-12-31,,23.3,22.86
2068-12-31,,21.36,23.03
2069-12-31,,21.59,23.12
2070-12-31,,22.5,23.65
2071-12-31,,19.43,21.53
2072-12-31,,21.59,20.61
2073-12-31,,21.39,21.97
2074-12-31,,20.51,20.0
2075-12-31,,19.53,20.2
2076-12-31,,22.03,23.71
2077-12-31,,22.79,25.37
2078-12-31,,22.41,24.64
2079-12-31,,23.05,20.55
2080-12-31,,19.87,20.14
2081-12-31,,20.59,20.42
2082-12-31,,22.83,26.16
2083-12-31,,21.95,24.04
2084-12-31,,23.4,23.26
2085-12-31,,22.06,22.4
2086-12-31,,19.89,22.25
2087-12-31,,25.25,25.4
2088-12-31,,22.22,23.76
2089-12-31,,19.72,22.77
2090-12-31,,21.74,20.78
2091-12-31,,20.22,22.28
2092-12-31,,19.56,25.15
2093-12-31,,22.81,20.09
2094-12-31,,20.03,21.36
2095-12-31,,21.93,24.27
2096-12-31,,23.47,23.53
2097-12-31,,20.63,23.7
2098-12-31,,24.04,23.39
2099-12-31,,21.54,22.96
