date,mean
2006-12-31,26.18
2007-12-31,26.35
2008-12-31,26.37
2009-12-31,26.0
2010-12-31,26.31
2011-12-31,26.46
2012-12-31,26.59
2013-12-31,26.45
2014-12-31,26.33
2015-12-31,26.16
2016-12-31,26.43
2017-12-31,26.53
2018-12-31,26.66
2019-12-31,26.83
2020-12-31,26.64
2021-12-31,26.76
2022-12-31,26.67
2023-12-31,26.78
2024-12-31,26.86
2025-12-31,26.91
2026-12-31,26.76
2027-12-31,26.78
2028-12-31,27.04
2029-12-31,27.01
2030-12-31,27.31
2031-12-31,27.11
2032-12-31,27.05
2033-12-31,27.19
2034-12-31,27.1
2035-12-31,27.33
2036-12-31,27.54
2037-12-31,27.14
2038-12-31,27.23
2039-12-31,27.65
2040-12-31,27.36
2041-12-31,27.32
2042-12-31,27.75
2043-12-31,27.64
2044-12-31,27.32
2045-12-31,27.61
2046-12-31,27.68
2047-12-31,27.73
2048-12-31,27.82
2049-12-31,28.14
2050-12-31,28.1
2051-12-31,27.99
2052-12-31,28.06
2053-12-31,28.05
2054-12-31,28.09
2055-12-31,28.15
2056-12-31,28.32
2057-12-31,28.1
2058-12-31,28.49
2059-12-31,28.47
2060-12-31,28.54
2061-12-31,28.8
2062-12-31,28.68
2063-12-31,28.55
2064-12-31,28.69
2065-12-31,28.79
2066-12-31,28.87
2067-12-31,28.64
2068-12-31,29.1
2069-12-31,28.96
2070-12-31,29.23
2071-12-31,29.12
2072-12-31,29.42
2073-12-31,29.35
2074-12-31,29.51
2075-12-31,29.35
2076-12-31,29.49
2077-12-31,29.33
2078-12-31,29.31
2079-12-31,29.66
2080-12-31,29.53
2081-12-31,29.6
2082-12-31,29.68
2083-12-31,29.83
2084-12-31,29.7
2085-12-31,29.93
2086-12-31,29.84
2087-12-31,30.02
2088-12-31,30.1
2089-12-31,29.85
2090-12-31,30.13
2091-12-31,30.34
2092-12-31,30.21
2093-12-31,30.34
2094-12-31,30.87
2095-12-31,30.43
2096-12-31,30.73
2097-12-31,30.37
2098-12-31,30.47
2099-12-31,30.97
