date,mean
1950-12-31,4.1
1951-12-31,4.09
1952-12-31,4.14
1953-12-31,3.87
1954-12-31,4.45
1955-12-31,3.95
1956-12-31,4.21
1957-12-31,4.18
1958-12-31,4.45
1959-12-31,3.95
1960-12-31,4.61
1961-12-31,4.06
1962-12-31,4.07
1963-12-31,4.17
1964-12-31,4.24
1965-12-31,4.39
1966-12-31,4.08
1967-12-31,4.3
1968-12-31,4.3
1969-12-31,4.33
1970-12-31,4.52
1971-12-31,4.1
1972-12-31,4.11
1973-12-31,4.12
1974-12-31,4.27
1975-12-31,4.04
1976-12-31,4.22
1977-12-31,4.36
1978-12-31,4.36
1979-12-31,4.14
1980-12-31,4.13
1981-12-31,4.02
1982-12-31,4.42
1983-12-31,4.61
1984-12-31,4.4
1985-12-31,4.19
1986-12-31,4.16
1987-12-31,4.1
1988-12-31,4.13
1989-12-31,4.28
1990-12-31,4.42
1991-12-31,3.93
1992-12-31,4.53
1993-12-31,4.28
1994-12-31,3.89
1995-12-31,4.16
1996-12-31,4.2
1997-12-31,4.05
1998-12-31,3.92
1999-12-31,4.3
2000-12-31,4.03
2001-12-31,4.49
2002-12-31,4.29
2003-12-31,4.0
2004-12-31,3.87
2005-12-31,4.28
