,historical,rcp45,rcp85
1950-12-31,80.61,,
1951-12-31,81.37,,
1952-12-31,80.07,,
1953-12-31,76.63,,
1954-12-31,74.56,,
1955-12-31,78.78,,
1956-12-31,76.01,,
1957-12-31,84.21,,
1958-12-31,85.95,,
1959-12-31,89.28,,
1960-12-31,86.38,,
1961-12-31,83.13,,
1962-12-31,75.1,,
1963-12-31,75.4,,
1964-12-31,77.44,,
1965-12-31,95.77,,
1966-12-31,85.98,,
1967-12-31,98.27,,
1968-12-31,82.87,,
1969-12-31,91.54,,
1970-12-31,81.91,,
1971-12-31,89.35,,
1972-12-31,79.9,,
1973-12-31,75.38,,
1974-12-31,81.31,,
1975-12-31,86.52,,
1976-12-31,77.36,,
1977-12-31,89.7,,
1978-12-31,96.2,,
1979-12-31,80.45,,
1980-12-31,78.78,,
1981-12-31,76.56,,
1982-12-31,87.48,,
1983-12-31,86.72,,
1984-12-31,84.34,,
1985-12-31,77.94,,
1986-12-31,83.66,,
1987-12-31,78.53,,
1988-12-31,89.65,,
1989-12-31,79.22,,
1990-12-31,87.55,,
1991-12-31,82.12,,
1992-12-31,83.61,,
1993-12-31,95.58,,
1994-12-31,70.12,,
1995-12-31,81.84,,
1996-12-31,76.9,,
1997-12-31,89.82,,
1998-12-31,76.86,,
1999-12-31,81.19,,
2000-12-31,88.07,,
2001-12-31,92.03,,
2002-12-31,85.65,,
2003-12-31,89.11,,
2004-12-31,76.67,,
2005-12-31,79.52,,
2006-12-31,,95.58,108.89
2007-12-31,,87.04,108.83
2008-12-31,,74.86,104.45
2009-12-31,,81.18,109.16
2010-12-31,,83.81,103.28
2011-12-31,,87.16,97.92
2012-12-31,,76.31,83.74
2013-12-31,,89.49,111.14
2014-12-31,,94.38,93.6
2015-12-31,,98.3,87.09
2016-12-31,,85.04,102.3
2017-12-31,,83.66,90.3
2018-12-31,,82.66,103.53
2019-12-31,,80.63,106.61
2020-12-31,,83.84,103.62
2021-12-31,,77.67,89.58
2022-12-31,,94.75,134.73
2023-12-31,,82.65,93.28
2024-12-31,,83.15,98.27
2025-12-31,,81.99,104.46
2026-12-31,,97.63,107.41
2027-12-31,,90.57,93.07
2028-12-31,,78.24,83.72
2029-12-31,,82.68,95.28
2030-12-31,,82.59,101.08
2031-12-31,,88.39,92.02
2032-12-31,,95.6,93.02
2033-12-31,,100.61,104.16
2034-12-31,,96.43,91.11
2035-12-31,,77.61,92.17
2036-12-31,,74.46,101.25
2037-12-31,,86.91,81.84
2038-12-31,,92.33,111.37
2039-12-31,,79.83,96.13
2040-12-31,,86.79,94.44
2041-12-31,,75.39,92.76
2042-12-31,,94.19,80.59
2043-12-31,,89.58,127.45
2044-12-31,,87.0,102.06
2045-12-31,,83.68,86.15
2046-12-31,,89.21,93.1
2047-12-31,,95.38,108.96
2048-12-31,,89.68,106.46
2049-12-31,,81.71,98.24
2050-12-31,,79.94,92.36
2051-12-31,,90.6,129.95
2052-12-31,,80.63,89.92
2053-12-31,,94.13,119.22
2054-12-31,,87.24,88.56
2055-12-31,,88.05,103.8
2056-12-31,,80.98,105.97
2057-12-31,,78.64,104.83
2058-12-31,,77.46,100.9
2059-12-31,,88.14,90.26
2060-12-31,,98.42,98.14
2061-12-31,,93.95,99.74
2062-12-31,,87.65,91.01
2063-12-31,,104.95,108.83
2064-12-31,,89.99,97.67
2065-12-31,,80.26,91.53
2066-12-31,,83.06,126.75
2067-12-31,,76.75,100.26
2068-12-31,,83.77,110.03
2069-12-31,,83.81,111.04
2070-12-31,,90.0,109.02
2071-12-31,,79.71,101.56
2072-12-31,,87.45,90.04
2073-12-31,,92.34,93.83
2074-12-31,,82.81,84.5
2075-12-31,,81.98,104.93
2076-12-31,,87.6,114.36
2077-12-31,,84.31,100.27
2078-12-31,,106.74,96.61
2079-12-31,,100.13,108.68
2080-12-31,,95.39,93.29
2081-12-31,,89.84,99.77
2082-12-31,,84.31,101.53
2083-12-31,,91.62,87.97
2084-12-31,,77.93,99.04
2085-12-31,,101.71,96.89
2086-12-31,,102.54,105.59
2087-12-31,,92.7,109.85
2088-12-31,,87.4,100.88
2089-12-31,,105.49,110.4
2090-12-31,,96.97,101.64
2091-12-31,,88.69,136.99
2092-12-31,,98.2,112.68
2093-12-31,,101.01,83.93
2094-12-31,,92.17,86.5
2095-12-31,,83.9,93.65
2096-12-31,,89.74,96.95
2097-12-31,,79.9,101.07
2098-12-31,,90.78,101.14
2099-12-31,,81.69,121.02
