date,mean
2006-12-31,16.17
2007-12-31,16.61
2008-12-31,16.13
2009-12-31,16.27
2010-12-31,16.21
2011-12-31,16.35
2012-12-31,16.31
2013-12-31,16.29
2014-12-31,16.78
2015-12-31,16.5
2016-12-31,16.46
2017-12-31,16.62
2018-12-31,16.33
2019-12-31,16.59
2020-12-31,16.62
2021-12-31,16.62
2022-12-31,16.58
2023-12-31,16.75
2024-12-31,16.77
2025-12-31,17.01
2026-12-31,17.08
2027-12-31,17.05
2028-12-31,17.02
2029-12-31,16.91
2030-12-31,17.21
2031-12-31,16.95
2032-12-31,17.11
2033-12-31,17.39
2034-12-31,17.3
2035-12-31,17.41
2036-12-31,17.42
2037-12-31,17.19
2038-12-31,17.6
2039-12-31,17.48
2040-12-31,17.55
2041-12-31,17.54
2042-12-31,17.47
2043-12-31,17.76
2044-12-31,17.51
2045-12-31,17.83
2046-12-31,18.0
2047-12-31,17.78
2048-12-31,17.66
2049-12-31,17.84
2050-12-31,17.74
2051-12-31,17.78
2052-12-31,17.97
2053-12-31,17.9
2054-12-31,18.16
2055-12-31,18.0
2056-12-31,18.08
2057-12-31,18.15
2058-12-31,18.28
2059-12-31,18.13
2060-12-31,17.94
2061-12-31,18.11
2062-12-31,18.33
2063-12-31,18.22
2064-12-31,18.07
2065-12-31,18.25
2066-12-31,18.29
2067-12-31,18.26
2068-12-31,18.16
2069-12-31,18.47
2070-12-31,18.36
2071-12-31,18.58
2072-12-31,18.31
2073-12-31,18.32
2074-12-31,18.45
2075-12-31,18.41
2076-12-31,18.48
2077-12-31,18.42
2078-12-31,18.51
2079-12-31,18.31
2080-12-31,18.46
2081-12-31,18.45
2082-12-31,18.91
2083-12-31,18.83
2084-12-31,18.56
2085-12-31,18.69
2086-12-31,18.4
2087-12-31,18.48
2088-12-31,18.33
2089-12-31,18.39
2090-12-31,18.31
2091-12-31,18.31
2092-12-31,18.67
2093-12-31,18.61
2094-12-31,18.62
2095-12-31,18.6
2096-12-31,18.39
2097-12-31,18.81
2098-12-31,18.56
2099-12-31,19.69
