,historical,rcp45,rcp85
1950-12-31,661.32,,
1951-12-31,719.54,,
1952-12-31,752.65,,
1953-12-31,716.71,,
1954-12-31,668.99,,
1955-12-31,647.7,,
1956-12-31,703.21,,
1957-12-31,692.92,,
1958-12-31,657.41,,
1959-12-31,626.35,,
1960-12-31,683.45,,
1961-12-31,681.69,,
1962-12-31,670.34,,
1963-12-31,666.83,,
1964-12-31,634.37,,
1965-12-31,636.76,,
1966-12-31,612.52,,
1967-12-31,692.77,,
1968-12-31,647.14,,
1969-12-31,608.71,,
1970-12-31,653.46,,
1971-12-31,669.6,,
1972-12-31,700.34,,
1973-12-31,656.21,,
1974-12-31,706.8,,
1975-12-31,657.41,,
1976-12-31,605.94,,
1977-12-31,673.07,,
1978-12-31,632.92,,
1979-12-31,661.57,,
1980-12-31,708.39,,
1981-12-31,736.95,,
1982-12-31,674.77,,
1983-12-31,621.57,,
1984-12-31,656.77,,
1985-12-31,668.18,,
1986-12-31,706.57,,
1987-12-31,670.36,,
1988-12-31,687.27,,
1989-12-31,733.43,,
1990-12-31,742.57,,
1991-12-31,768.22,,
1992-12-31,633.3,,
1993-12-31,680.35,,
1994-12-31,764.77,,
1995-12-31,712.02,,
1996-12-31,771.28,,
1997-12-31,776.99,,
1998-12-31,768.67,,
1999-12-31,776.28,,
2000-12-31,787.15,,
2001-12-31,776.69,,
2002-12-31,776.98,,
2003-12-31,792.76,,
2004-12-31,809.59,,
2005-12-31,812.54,,
2006-12-31,,849.57,845.01
2007-12-31,,920.07,873.57
2008-12-31,,885.17,866.53
2009-12-31,,864.23,866.6
2010-12-31,,926.11,899.16
2011-12-31,,961.67,922.59
2012-12-31,,921.36,960.8
2013-12-31,,939.59,958.93
2014-12-31,,980.11,956.11
2015-12-31,,964.47,940.51
2016-12-31,,954.69,990.38
2017-12-31,,955.08,986.06
2018-12-31,,944.15,1013.69
2019-12-31,,951.87,1073.53
2020-12-31,,989.37,1074.01
2021-12-31,,1002.19,1008.3
2022-12-31,,971.51,1020.9
2023-12-31,,972.66,1094.96
2024-12-31,,978.25,1101.32
2025-12-31,,1009.87,1023.34
2026-12-31,,1037.98,1044.3
2027-12-31,,1078.66,1125.37
2028-12-31,,1075.32,1115.48
2029-12-31,,1093.02,1090.72
2030-12-31,,1084.5,1146.37
2031-12-31,,1089.89,1157.66
2032-12-31,,1128.46,1116.18
2033-12-31,,1117.97,1138.71
2034-12-31,,1125.16,1173.56
2035-12-31,,1186.42,1173.65
2036-12-31,,1139.0,1226.59
2037-12-31,,1121.03,1251.47
2038-12-31,,1221.97,1228.16
2039-12-31,,1155.47,1235.82
2040-12-31,,1209.19,1275.97
2041-12-31,,1167.41,1280.71
2042-12-31,,1199.7,1340.13
2043-12-31,,1222.26,1285.37
2044-12-31,,1205.77,1342.99
2045-12-31,,1247.66,1367.12
2046-12-31,,1283.72,1429.8
2047-12-31,,1286.86,1397.64
2048-12-31,,1277.19,1458.39
2049-12-31,,1273.94,1476.44
2050-12-31,,1306.22,1441.81
2051-12-31,,1276.41,1444.68
2052-12-31,,1285.51,1454.88
2053-12-31,,1286.61,1514.01
2054-12-31,,1281.18,1540.29
2055-12-31,,1306.97,1482.52
2056-12-31,,1281.51,1537.17
2057-12-31,,1332.49,1553.03
2058-12-31,,1353.32,1621.17
2059-12-31,,1358.28,1576.21
2060-12-31,,1352.29,1594.36
2061-12-31,,1339.28,1622.37
2062-12-31,,1369.4,1632.86
2063-12-31,,1362.51,1663.85
2064-12-31,,1306.88,1774.72
2065-12-31,,1341.52,1724.68
2066-12-31,,1339.16,1726.34
2067-12-31,,1365.92,1809.53
2068-12-31,,1366.83,1835.94
2069-12-31,,1385.14,1823.53
2070-12-31,,1403.24,1761.93
2071-12-31,,1418.57,1840.63
2072-12-31,,1443.04,1836.0
2073-12-31,,1386.54,1927.86
2074-12-31,,1436.92,1925.54
2075-12-31,,1446.34,1941.69
2076-12-31,,1444.87,1940.47
2077-12-31,,1400.06,1977.08
2078-12-31,,1397.49,1974.07
2079-12-31,,1415.5,1960.67
2080-12-31,,1432.04,2000.59
2081-12-31,,1403.07,2045.83
2082-12-31,,1489.43,2006.63
2083-12-31,,1476.44,2118.17
2084-12-31,,1409.24,2029.11
2085-12-31,,1445.38,2152.05
2086-12-31,,1410.28,2100.79
2087-12-31,,1401.83,2147.42
2088-12-31,,1364.57,2250.78
2089-12-31,,1396.87,2180.6
2090-12-31,,1369.97,2304.13
2091-12-31,,1395.65,2282.07
2092-12-31,,1442.88,2284.56
2093-12-31,,1437.74,2353.48
2094-12-31,,1439.5,2358.12
2095-12-31,,1445.12,2334.49
2096-12-31,,1398.66,2360.24
2097-12-31,,1456.09,2365.9
2098-12-31,,1387.81,2349.61
2099-12-31,,1389.56,2372.88
