,historical,rcp45,rcp85
1950-12-31,414.16,,
1951-12-31,372.87,,
1952-12-31,338.43,,
1953-12-31,329.94,,
1954-12-31,375.4,,
1955-12-31,342.54,,
1956-12-31,376.03,,
1957-12-31,351.81,,
1958-12-31,336.05,,
1959-12-31,319.8,,
1960-12-31,365.41,,
1961-12-31,336.62,,
1962-12-31,323.17,,
1963-12-31,337.97,,
1964-12-31,270.01,,
1965-12-31,337.52,,
1966-12-31,305.26,,
1967-12-31,289.08,,
1968-12-31,299.57,,
1969-12-31,315.03,,
1970-12-31,340.96,,
1971-12-31,336.74,,
1972-12-31,327.96,,
1973-12-31,353.77,,
1974-12-31,316.93,,
1975-12-31,370.56,,
1976-12-31,365.29,,
1977-12-31,370.7,,
1978-12-31,387.21,,
1979-12-31,367.12,,
1980-12-31,367.76,,
1981-12-31,397.24,,
1982-12-31,344.89,,
1983-12-31,316.14,,
1984-12-31,368.38,,
1985-12-31,403.26,,
1986-12-31,379.03,,
1987-12-31,380.65,,
1988-12-31,411.66,,
1989-12-31,426.37,,
1990-12-31,381.29,,
1991-12-31,404.51,,
1992-12-31,339.64,,
1993-12-31,369.63,,
1994-12-31,354.64,,
1995-12-31,409.86,,
1996-12-31,425.42,,
1997-12-31,423.31,,
1998-12-31,466.23,,
1999-12-31,419.39,,
2000-12-31,442.61,,
2001-12-31,462.89,,
2002-12-31,515.44,,
2003-12-31,423.3,,
2004-12-31,504.36,,
2005-12-31,488.86,,
2006-12-31,,503.31,530.83
2007-12-31,,496.17,505.02
2008-12-31,,500.32,546.55
2009-12-31,,531.4,516.3
2010-12-31,,522.06,545.97
2011-12-31,,512.81,522.65
2012-12-31,,535.58,571.1
2013-12-31,,508.53,575.45
2014-12-31,,593.43,581.42
2015-12-31,,574.39,617.26
2016-12-31,,516.41,594.98
2017-12-31,,570.35,578.87
2018-12-31,,618.45,570.96
2019-12-31,,544.19,560.97
2020-12-31,,557.78,646.83
2021-12-31,,602.03,573.05
2022-12-31,,573.86,595.11
2023-12-31,,599.35,690.1
2024-12-31,,564.63,667.33
2025-12-31,,632.29,674.0
2026-12-31,,623.7,687.21
2027-12-31,,618.49,717.32
2028-12-31,,604.01,681.71
2029-12-31,,677.31,701.93
2030-12-31,,663.72,705.92
2031-12-31,,607.82,716.83
2032-12-31,,666.56,670.24
2033-12-31,,691.87,755.85
2034-12-31,,648.65,683.85
2035-12-31,,681.26,795.5
2036-12-31,,657.73,698.86
2037-12-31,,716.52,734.28
2038-12-31,,700.33,830.64
2039-12-31,,670.62,783.8
2040-12-31,,694.01,789.82
2041-12-31,,710.77,826.25
2042-12-31,,708.12,804.07
2043-12-31,,747.77,854.4
2044-12-31,,802.36,810.73
2045-12-31,,727.89,885.92
2046-12-31,,736.62,887.31
2047-12-31,,792.82,880.8
2048-12-31,,851.17,928.24
2049-12-31,,762.23,939.06
2050-12-31,,810.62,951.33
2051-12-31,,816.15,978.4
2052-12-31,,841.9,1015.69
2053-12-31,,836.84,1085.28
2054-12-31,,809.68,1054.63
2055-12-31,,846.46,1078.0
2056-12-31,,827.6,1103.61
2057-12-31,,887.04,1049.31
2058-12-31,,897.26,1062.2
2059-12-31,,870.54,1080.04
2060-12-31,,872.81,1161.88
2061-12-31,,894.71,1092.51
2062-12-31,,907.45,1084.41
2063-12-31,,871.35,1094.83
2064-12-31,,854.82,1132.34
2065-12-31,,849.88,1254.74
2066-12-31,,861.01,1273.88
2067-12-31,,866.04,1280.21
2068-12-31,,863.65,1277.09
2069-12-31,,876.89,1262.57
2070-12-31,,886.7,1265.02
2071-12-31,,1037.65,1327.34
2072-12-31,,935.63,1352.55
2073-12-31,,935.66,1366.25
2074-12-31,,945.38,1323.59
2075-12-31,,940.08,1374.2
2076-12-31,,965.53,1417.84
2077-12-31,,983.0,1446.93
2078-12-31,,976.93,1408.18
2079-12-31,,969.9,1439.0
2080-12-31,,948.69,1499.44
2081-12-31,,981.06,1482.35
2082-12-31,,912.78,1561.41
2083-12-31,,935.44,1531.39
2084-12-31,,1017.28,1506.06
2085-12-31,,973.55,1640.11
2086-12-31,,946.02,1625.34
2087-12-31,,890.75,1648.28
2088-12-31,,975.48,1639.61
2089-12-31,,999.56,1707.45
2090-12-31,,955.47,1711.45
2091-12-31,,953.62,1736.87
2092-12-31,,1013.75,1784.91
2093-12-31,,893.44,1770.21
2094-12-31,,996.48,1658.92
2095-12-31,,1009.37,1724.89
2096-12-31,,1024.87,1765.04
2097-12-31,,1033.64,1851.74
2098-12-31,,1016.03,1864.52
2099-12-31,,1002.72,1820.68
