date,mean
2006-12-31,22.44
2007-12-31,22.52
2008-12-31,22.51
2009-12-31,22.57
2010-12-31,22.62
2011-12-31,22.52
2012-12-31,22.8
2013-12-31,22.48
2014-12-31,22.41
2015-12-31,22.51
2016-12-31,22.29
2017-12-31,22.55
2018-12-31,22.63
2019-12-31,22.71
2020-12-31,22.78
2021-12-31,22.51
2022-12-31,22.94
2023-12-31,22.97
2024-12-31,23.2
2025-12-31,23.03
2026-12-31,23.47
2027-12-31,22.88
2028-12-31,23.19
2029-12-31,23.5
2030-12-31,23.13
2031-12-31,23.24
2032-12-31,23.31
2033-12-31,23.5
2034-12-31,23.64
2035-12-31,23.4
2036-12-31,23.4
2037-12-31,23.2
2038-12-31,23.32
2039-12-31,23.59
2040-12-31,23.32
2041-12-31,23.73
2042-12-31,23.66
2043-12-31,23.61
2044-12-31,23.59
2045-12-31,23.88
2046-12-31,23.87
2047-12-31,24.05
2048-12-31,23.8
2049-12-31,23.75
2050-12-31,24.13
2051-12-31,23.89
2052-12-31,24.24
2053-12-31,24.19
2054-12-31,24.16
2055-12-31,24.04
2056-12-31,23.89
2057-12-31,24.2
2058-12-31,24.68
2059-12-31,24.2
2060-12-31,23.98
2061-12-31,24.49
2062-12-31,24.42
2063-12-31,24.06
2064-12-31,24.16
2065-12-31,24.48
2066-12-31,24.32
2067-12-31,24.35
2068-12-31,24.37
2069-12-31,24.67
2070-12-31,24.33
2071-12-31,24.51
2072-12-31,24.88
2073-12-31,24.54
2074-12-31,24.64
2075-12-31,24.64
2076-12-31,24.81
2077-12-31,24.59
2078-12-31,24.69
2079-12-31,24.59
2080-12-31,24.6
2081-12-31,24.64
2082-12-31,24.72
2083-12-31,24.74
2084-12-31,24.53
2085-12-31,24.56
2086-12-31,24.63
2087-12-31,24.67
2088-12-31,24.63
2089-12-31,24.59
2090-12-31,24.69
2091-12-31,24.73
2092-12-31,24.93
2093-12-31,24.78
2094-12-31,24.87
2095-12-31,24.73
2096-12-31,24.66
2097-12-31,24.86
2098-12-31,24.64
2099-12-31,24.94
