,historical,rcp45,rcp85
1950-12-31,5121.72,,
1951-12-31,4987.78,,
1952-12-31,4972.1,,
1953-12-31,4979.68,,
1954-12-31,4988.87,,
1955-12-31,4936.08,,
1956-12-31,5073.63,,
1957-12-31,5098.89,,
1958-12-31,5063.17,,
1959-12-31,5000.25,,
1960-12-31,5051.68,,
1961-12-31,4938.9,,
1962-12-31,4999.88,,
1963-12-31,4938.86,,
1964-12-31,5174.38,,
1965-12-31,5243.95,,
1966-12-31,5228.6,,
1967-12-31,5140.09,,
1968-12-31,5213.5,,
1969-12-31,5140.2,,
1970-12-31,5133.48,,
1971-12-31,5100.23,,
1972-12-31,5175.1,,
1973-12-31,5107.94,,
1974-12-31,5180.69,,
1975-12-31,5043.96,,
1976-12-31,5172.28,,
1977-12-31,5008.93,,
1978-12-31,5063.08,,
1979-12-31,4911.37,,
1980-12-31,4933.96,,
1981-12-31,5015.15,,
1982-12-31,5065.64,,
1983-12-31,5103.93,,
1984-12-31,5068.06,,
1985-12-31,4982.53,,
1986-12-31,4840.06,,
1987-12-31,4967.54,,
1988-12-31,4836.91,,
1989-12-31,4875.65,,
1990-12-31,4906.03,,
1991-12-31,4832.83,,
1992-12-31,5052.79,,
1993-12-31,5024.63,,
1994-12-31,4870.29,,
1995-12-31,5049.64,,
1996-12-31,4914.18,,
1997-12-31,4847.81,,
1998-12-31,4690.37,,
1999-12-31,4834.01,,
2000-12-31,4720.06,,
2001-12-31,4769.34,,
2002-12-31,4659.69,,
2003-12-31,4735.68,,
2004-12-31,4671.84,,
2005-12-31,4417.79,,
2006-12-31,,4506.11,4541.67
2007-12-31,,4522.52,4617.2
2008-12-31,,4627.27,4671.99
2009-12-31,,4482.37,4692.88
2010-12-31,,4390.63,4763.43
2011-12-31,,4486.52,4576.48
2012-12-31,,4407.07,4486.61
2013-12-31,,4583.72,4626.87
2014-12-31,,4561.21,4469.89
2015-12-31,,4457.78,4481.31
2016-12-31,,4612.19,4506.07
2017-12-31,,4546.39,4305.88
2018-12-31,,4515.39,4358.73
2019-12-31,,4438.87,4470.09
2020-12-31,,4431.48,4438.69
2021-12-31,,4550.48,4404.58
2022-12-31,,4366.45,4347.91
2023-12-31,,4288.21,4231.81
2024-12-31,,4299.57,4339.89
2025-12-31,,4315.23,4345.2
2026-12-31,,4141.75,4255.44
2027-12-31,,4389.69,4313.99
2028-12-31,,4263.98,4111.19
2029-12-31,,4188.26,4083.8
2030-12-31,,4284.16,4118.27
2031-12-31,,4253.47,4304.95
2032-12-31,,4238.22,4381.69
2033-12-31,,4111.4,4180.1
2034-12-31,,4122.98,4165.16
2035-12-31,,4214.44,4022.5
2036-12-31,,4236.27,4176.09
2037-12-31,,4291.58,4047.33
2038-12-31,,4199.45,4103.36
2039-12-31,,4168.17,4084.12
2040-12-31,,4220.11,4033.69
2041-12-31,,4138.14,3997.78
2042-12-31,,4137.49,3976.39
2043-12-31,,4133.03,3979.99
2044-12-31,,4042.12,4017.38
2045-12-31,,4072.08,3899.75
2046-12-31,,4122.65,3861.75
2047-12-31,,3966.14,3907.47
2048-12-31,,4038.92,3858.41
2049-12-31,,4017.21,3801.52
2050-12-31,,3910.98,3739.58
2051-12-31,,3987.77,3771.28
2052-12-31,,3799.7,3742.22
2053-12-31,,3891.65,3685.1
2054-12-31,,3909.78,3692.54
2055-12-31,,3896.53,3655.27
2056-12-31,,4089.16,3676.28
2057-12-31,,3964.79,3535.21
2058-12-31,,3779.42,3545.78
2059-12-31,,3869.7,3533.42
2060-12-31,,3967.57,3530.05
2061-12-31,,3780.95,3529.53
2062-12-31,,3779.37,3531.42
2063-12-31,,3949.77,3510.49
2064-12-31,,3862.71,3483.36
2065-12-31,,3767.03,3510.65
2066-12-31,,3799.37,3370.07
2067-12-31,,3851.55,3401.92
2068-12-31,,3842.26,3218.9
2069-12-31,,3793.46,3159.61
2070-12-31,,3849.45,3231.64
2071-12-31,,3868.13,3263.87
2072-12-31,,3635.9,3245.87
2073-12-31,,3772.46,3285.25
2074-12-31,,3741.41,3287.68
2075-12-31,,3768.42,3113.93
2076-12-31,,3698.86,3151.35
2077-12-31,,3794.93,3167.02
2078-12-31,,3644.82,3070.93
2079-12-31,,3731.3,3112.97
2080-12-31,,3795.12,3270.22
2081-12-31,,3705.92,3061.36
2082-12-31,,3671.71,2965.97
2083-12-31,,3727.47,3120.9
2084-12-31,,3847.57,3073.95
2085-12-31,,3754.19,2968.82
2086-12-31,,3755.28,2889.84
2087-12-31,,3798.55,2970.31
2088-12-31,,3801.2,2946.24
2089-12-31,,3792.51,2910.92
2090-12-31,,3672.0,2961.55
2091-12-31,,3688.8,2883.56
2092-12-31,,3642.21,2952.44
2093-12-31,,3732.41,2851.96
2094-12-31,,3665.57,2791.0
2095-12-31,,3704.74,2876.61
2096-12-31,,3738.55,2817.79
2097-12-31,,3701.03,2746.38
2098-12-31,,3755.17,2716.02
2099-12-31,,3250.98,2445.33
