date,mean
2006-12-31,21.85
2007-12-31,21.9
2008-12-31,21.83
2009-12-31,21.83
2010-12-31,21.7
2011-12-31,22.12
2012-12-31,22.36
2013-12-31,21.88
2014-12-31,22.21
2015-12-31,22.01
2016-12-31,21.98
2017-12-31,22.26
2018-12-31,22.41
2019-12-31,22.29
2020-12-31,22.55
2021-12-31,22.47
2022-12-31,22.51
2023-12-31,22.5
2024-12-31,22.78
2025-12-31,22.38
2026-12-31,22.58
2027-12-31,22.45
2028-12-31,23.03
2029-12-31,22.92
2030-12-31,23.15
2031-12-31,22.74
2032-12-31,22.64
2033-12-31,23.17
2034-12-31,23.03
2035-12-31,23.3
2036-12-31,23.04
2037-12-31,23.46
2038-12-31,23.35
2039-12-31,23.48
2040-12-31,23.55
2041-12-31,23.56
2042-12-31,23.69
2043-12-31,23.74
2044-12-31,23.44
2045-12-31,23.78
2046-12-31,24.07
2047-12-31,23.95
2048-12-31,23.87
2049-12-31,24.23
2050-12-31,24.27
2051-12-31,24.16
2052-12-31,24.21
2053-12-31,24.46
2054-12-31,24.65
2055-12-31,24.6
2056-12-31,24.6
2057-12-31,24.73
2058-12-31,24.83
2059-12-31,24.88
2060-12-31,24.81
2061-12-31,24.95
2062-12-31,25.22
2063-12-31,25.33
2064-12-31,25.33
2065-12-31,25.29
2066-12-31,25.16
2067-12-31,25.42
2068-12-31,25.94
2069-12-31,25.82
2070-12-31,25.82
2071-12-31,25.84
2072-12-31,25.74
2073-12-31,25.99
2074-12-31,25.93
2075-12-31,26.21
2076-12-31,26.04
2077-12-31,26.35
2078-12-31,26.49
2079-12-31,26.4
2080-12-31,26.26
2081-12-31,26.45
2082-12-31,26.74
2083-12-31,26.45
2084-12-31,26.64
2085-12-31,26.59
2086-12-31,26.71
2087-12-31,26.68
2088-12-31,26.93
2089-12-31,26.92
2090-12-31,26.96
2091-12-31,27.04
2092-12-31,27.24
2093-12-31,27.45
2094-12-31,27.74
2095-12-31,27.12
2096-12-31,27.64
2097-12-31,27.39
2098-12-31,27.74
2099-12-31,27.95
