,historical,rcp45,rcp85
1950-12-31,898.9728874860538,,
1951-12-31,907.843256574363,,
1952-12-31,875.7868570382301,,
1953-12-31,897.2771514892623,,
1954-12-31,853.3925904192289,,
1955-12-31,869.716778826037,,
1956-12-31,890.2335873849099,,
1957-12-31,862.979292166578,,
1958-12-31,820.97011989049,,
1959-12-31,850.5083036586263,,
1960-12-31,865.1991230991955,,
1961-12-31,842.2413486153785,,
1962-12-31,885.9980056326776,,
1963-12-31,845.837575247633,,
1964-12-31,824.8506205531573,,
1965-12-31,803.1558140346027,,
1966-12-31,815.8039043317568,,
1967-12-31,915.9226484026275,,
1968-12-31,844.2151960972425,,
1969-12-31,828.4870469447591,,
1970-12-31,831.5886064801942,,
1971-12-31,837.5988859340168,,
1972-12-31,901.2599659947033,,
1973-12-31,887.8629157366119,,
1974-12-31,863.635479038788,,
1975-12-31,831.8543103027389,,
1976-12-31,844.9620724051383,,
1977-12-31,896.0639388602167,,
1978-12-31,951.2229622105237,,
1979-12-31,890.4251569475491,,
1980-12-31,956.4554222760929,,
1981-12-31,958.7711913190618,,
1982-12-31,895.4358205740838,,
1983-12-31,814.3739743478003,,
1984-12-31,861.2783026123094,,
1985-12-31,925.0261815534371,,
1986-12-31,923.9557443673319,,
1987-12-31,906.2409877232187,,
1988-12-31,988.5171591622536,,
1989-12-31,944.5265024239726,,
1990-12-31,965.2394767543295,,
1991-12-31,993.3523222133144,,
1992-12-31,830.7992096819244,,
1993-12-31,906.5152008056688,,
1994-12-31,1040.82233851842,,
1995-12-31,960.8045613316177,,
1996-12-31,929.1037647356355,,
1997-12-31,969.0236437116398,,
1998-12-31,1048.690665980753,,
1999-12-31,1027.4206257847427,,
2000-12-31,1067.123333042695,,
2001-12-31,1047.2580713762607,,
2002-12-31,1089.6296090262329,,
2003-12-31,1094.3834422084317,,
2004-12-31,1065.0190171596037,,
2005-12-31,1069.9789980643186,,
2006-12-31,,1132.602606898722,1112.242688162673
2007-12-31,,1107.1892933000888,1138.2921726771813
2008-12-31,,1130.4386909702898,1125.6636898367801
2009-12-31,,1123.9041002546087,1136.3787530517627
2010-12-31,,1132.1684561593243,1138.1835105678065
2011-12-31,,1155.7600490025166,1175.6719768415232
2012-12-31,,1188.829990059994,1247.7544702148493
2013-12-31,,1165.0355926513726,1157.1414336286325
2014-12-31,,1135.7674392264287,1208.849664393839
2015-12-31,,1144.8170470319528,1182.68671491351
2016-12-31,,1223.3134046282144,1177.5101010567855
2017-12-31,,1183.8852053397097,1217.206598161975
2018-12-31,,1197.0535962786046,1259.5895410156304
2019-12-31,,1205.8065430559486,1241.8168423026002
2020-12-31,,1242.827917567667,1287.2253996930858
2021-12-31,,1210.122074149001,1236.1126266915512
2022-12-31,,1327.2370981270983,1280.6030785260934
2023-12-31,,1278.166190708711,1290.4065412248945
2024-12-31,,1276.1528663853294,1368.2485503278517
2025-12-31,,1306.4504072788843,1244.9739834158818
2026-12-31,,1300.7222461809488,1280.252509155279
2027-12-31,,1346.0501703752848,1321.6474832589338
2028-12-31,,1353.141649780279,1387.0516584123939
2029-12-31,,1341.6269904436444,1360.9221876743918
2030-12-31,,1330.9345688302233,1439.4798372977177
2031-12-31,,1356.4234113420816,1371.7425956508146
2032-12-31,,1355.2254483468246,1373.2246700613894
2033-12-31,,1385.0413133893753,1408.99502842495
2034-12-31,,1421.65159205846,1440.3354790387896
2035-12-31,,1475.5393075125617,1468.0961116245871
2036-12-31,,1466.854402640212,1442.1691384451788
2037-12-31,,1416.8779492187557,1537.3153173828186
2038-12-31,,1440.5809715925,1508.0830554199276
2039-12-31,,1511.8163111223553,1521.5991643415239
2040-12-31,,1435.0165996442581,1540.333053240101
2041-12-31,,1489.5164726911335,1538.8100050572048
2042-12-31,,1452.2665552629796,1569.525821707595
2043-12-31,,1450.7439424351342,1562.1366159493646
2044-12-31,,1408.6565935407423,1557.1341639055581
2045-12-31,,1534.0546673584042,1611.5205164446209
2046-12-31,,1548.4365313720764,1660.5792646135662
2047-12-31,,1572.561504342221,1640.0370174734992
2048-12-31,,1487.5108389718257,1645.871103515631
2049-12-31,,1571.7793754359711,1740.8704950823164
2050-12-31,,1559.0602108328742,1761.5623154122552
2051-12-31,,1535.7049608503128,1697.9556085205138
2052-12-31,,1527.1080330984992,1753.0828557477744
2053-12-31,,1562.9042642647942,1807.166085728243
2054-12-31,,1533.4846515764568,1835.9450296456534
2055-12-31,,1575.0610866873665,1803.9922116524897
2056-12-31,,1592.2430668422219,1895.7885849435056
2057-12-31,,1577.7880252511222,1899.1435555594376
2058-12-31,,1683.629416329526,1872.4335231236116
2059-12-31,,1620.2031241280752,1882.3366651262618
2060-12-31,,1579.2277498081814,1861.9175503976069
2061-12-31,,1579.7364857700954,1917.9817880685057
2062-12-31,,1612.9904687500066,1973.2625878906317
2063-12-31,,1626.2450825718533,2053.53217145648
2064-12-31,,1561.0849051339346,2063.8602124895438
2065-12-31,,1625.3238625662725,2071.8988738141807
2066-12-31,,1670.5990982491692,2001.1629827880924
2067-12-31,,1647.804536481591,2102.9427709961
2068-12-31,,1611.9813363211558,2182.3052764892645
2069-12-31,,1681.8166796003127,2177.8786665562293
2070-12-31,,1575.2060251290518,2120.43139587403
2071-12-31,,1676.8543455287454,2157.348472638818
2072-12-31,,1754.8922160121433,2121.156748918813
2073-12-31,,1642.6987787737223,2266.4954404994487
2074-12-31,,1687.7430469621995,2288.59087219239
2075-12-31,,1694.9718207659105,2272.2180161830424
2076-12-31,,1730.4334212820936,2196.1635005406038
2077-12-31,,1706.293014526373,2344.622412545347
2078-12-31,,1645.697042497914,2336.866055646631
2079-12-31,,1674.0013330950117,2358.769361921045
2080-12-31,,1634.8766949462956,2384.2876176234718
2081-12-31,,1661.9772698102738,2373.312004481732
2082-12-31,,1677.785267857149,2451.5995598493373
2083-12-31,,1708.4402105712954,2404.9617296491415
2084-12-31,,1727.4184293910498,2439.9456858607773
2085-12-31,,1688.2281076485833,2406.868757411419
2086-12-31,,1740.214243600034,2452.9475068010674
2087-12-31,,1736.4276373291075,2477.281088169649
2088-12-31,,1749.177782854359,2530.0512284633164
2089-12-31,,1725.8958991350505,2487.217824096687
2090-12-31,,1674.268540911,2629.6662154715477
2091-12-31,,1694.7177942766527,2548.704943237312
2092-12-31,,1782.0620807756761,2651.4611015973837
2093-12-31,,1775.1097637067585,2672.509760567809
2094-12-31,,1773.6015951974114,2774.0901508440356
2095-12-31,,1689.7006790597163,2616.3570995221894
2096-12-31,,1661.8887682800353,2788.086399012982
2097-12-31,,1685.612263549811,2711.710262015214
2098-12-31,,1700.0515663147035,2760.115464477547
2099-12-31,,1711.9628795471253,2880.0589319719666
