,historical,rcp45,rcp85
1950-12-31,19.65,,
1951-12-31,19.58,,
1952-12-31,21.65,,
1953-12-31,19.2,,
1954-12-31,20.46,,
1955-12-31,20.86,,
1956-12-31,20.1,,
1957-12-31,22.98,,
1958-12-31,21.47,,
1959-12-31,21.49,,
1960-12-31,19.48,,
1961-12-31,18.75,,
1962-12-31,24.31,,
1963-12-31,21.93,,
1964-12-31,21.71,,
1965-12-31,19.08,,
1966-12-31,16.83,,
1967-12-31,23.62,,
1968-12-31,19.37,,
1969-12-31,21.9,,
1970-12-31,22.2,,
1971-12-31,20.3,,
1972-12-31,25.26,,
1973-12-31,22.19,,
1974-12-31,20.12,,
1975-12-31,22.07,,
1976-12-31,19.04,,
1977-12-31,19.71,,
1978-12-31,19.84,,
1979-12-31,19.7,,
1980-12-31,23.71,,
1981-12-31,23.35,,
1982-12-31,20.23,,
1983-12-31,23.01,,
1984-12-31,18.4,,
1985-12-31,22.63,,
1986-12-31,19.58,,
1987-12-31,20.95,,
1988-12-31,20.06,,
1989-12-31,22.57,,
1990-12-31,18.91,,
1991-12-31,23.38,,
1992-12-31,21.2,,
1993-12-31,23.01,,
1994-12-31,20.11,,
1995-12-31,19.31,,
1996-12-31,24.68,,
1997-12-31,18.86,,
1998-12-31,19.43,,
1999-12-31,21.48,,
2000-12-31,19.67,,
2001-12-31,19.74,,
2002-12-31,19.91,,
2003-12-31,22.24,,
2004-12-31,26.17,,
2005-12-31,21.52,,
2006-12-31,,21.08,21.65
2007-12-31,,18.97,20.37
2008-12-31,,21.61,25.07
2009-12-31,,23.35,20.78
2010-12-31,,22.27,18.1
2011-12-31,,19.77,18.01
2012-12-31,,18.52,18.87
2013-12-31,,20.05,21.37
2014-12-31,,21.37,20.42
2015-12-31,,21.15,18.96
2016-12-31,,22.51,21.24
2017-12-31,,22.41,20.56
2018-12-31,,19.64,21.03
2019-12-31,,18.79,18.27
2020-12-31,,21.61,24.44
2021-12-31,,17.0,21.49
2022-12-31,,21.02,20.77
2023-12-31,,22.5,25.27
2024-12-31,,20.75,21.77
2025-12-31,,20.77,23.29
2026-12-31,,19.91,20.56
2027-12-31,,23.24,20.68
2028-12-31,,20.13,20.97
2029-12-31,,22.2,19.38
2030-12-31,,23.03,24.36
2031-12-31,,22.56,21.86
2032-12-31,,23.98,22.68
2033-12-31,,23.28,21.28
2034-12-31,,19.7,20.29
2035-12-31,,19.04,30.59
2036-12-31,,27.04,24.54
2037-12-31,,19.6,23.95
2038-12-31,,18.23,18.34
2039-12-31,,22.01,22.04
2040-12-31,,25.33,25.48
2041-12-31,,20.8,22.85
2042-12-31,,21.26,22.08
2043-12-31,,20.96,24.13
2044-12-31,,21.87,22.21
2045-12-31,,20.19,22.18
2046-12-31,,23.82,24.12
2047-12-31,,23.54,20.57
2048-12-31,,22.05,24.34
2049-12-31,,19.8,21.86
2050-12-31,,25.54,23.33
2051-12-31,,21.03,20.07
2052-12-31,,25.34,22.24
2053-12-31,,21.53,22.91
2054-12-31,,23.21,19.89
2055-12-31,,24.13,24.36
2056-12-31,,23.39,22.19
2057-12-31,,19.12,23.18
2058-12-31,,19.14,20.45
2059-12-31,,22.38,22.69
2060-12-31,,25.41,26.84
2061-12-31,,21.65,22.29
2062-12-31,,20.85,26.2
2063-12-31,,25.46,26.49
2064-12-31,,24.45,20.94
2065-12-31,,23.16,26.11
2066-12-31,,18.35,25.07
2067-12-31,,20.61,24.18
2068-12-31,,22.73,23.53
2069-12-31,,23.77,24.57
2070-12-31,,21.05,24.06
2071-12-31,,20.29,21.6
2072-12-31,,19.76,25.95
2073-12-31,,23.07,22.83
2074-12-31,,20.11,20.95
2075-12-31,,27.62,22.79
2076-12-31,,23.33,21.23
2077-12-31,,23.05,26.69
2078-12-31,,23.65,20.94
2079-12-31,,22.85,27.05
2080-12-31,,22.1,21.3
2081-12-31,,22.61,23.22
2082-12-31,,26.1,25.07
2083-12-31,,21.61,23.96
2084-12-31,,26.68,22.96
2085-12-31,,23.53,21.17
2086-12-31,,22.75,23.61
2087-12-31,,24.27,24.03
2088-12-31,,22.1,21.61
2089-12-31,,25.74,23.35
2090-12-31,,26.27,26.51
2091-12-31,,22.89,21.7
2092-12-31,,22.48,24.42
2093-12-31,,27.11,24.47
2094-12-31,,24.45,23.5
2095-12-31,,22.74,20.13
2096-12-31,,23.5,24.58
2097-12-31,,25.62,24.03
2098-12-31,,24.11,26.09
2099-12-31,,23.94,22.27
