date,mean
1950-12-31,18.39
1951-12-31,18.52
1952-12-31,18.4
1953-12-31,18.5
1954-12-31,18.26
1955-12-31,18.43
1956-12-31,18.34
1957-12-31,18.16
1958-12-31,18.15
1959-12-31,18.27
1960-12-31,18.28
1961-12-31,18.46
1962-12-31,18.4
1963-12-31,18.47
1964-12-31,17.91
1965-12-31,17.86
1966-12-31,17.84
1967-12-31,18.34
1968-12-31,18.02
1969-12-31,18.0
1970-12-31,17.97
1971-12-31,18.11
1972-12-31,18.21
1973-12-31,18.33
1974-12-31,18.11
1975-12-31,18.2
1976-12-31,18.2
1977-12-31,18.51
1978-12-31,18.47
1979-12-31,18.59
1980-12-31,18.65
1981-12-31,18.58
1982-12-31,18.28
1983-12-31,18.0
1984-12-31,18.38
1985-12-31,18.48
1986-12-31,18.69
1987-12-31,18.45
1988-12-31,18.76
1989-12-31,18.7
1990-12-31,18.68
1991-12-31,18.91
1992-12-31,18.22
1993-12-31,18.44
1994-12-31,18.94
1995-12-31,18.59
1996-12-31,18.65
1997-12-31,18.82
1998-12-31,19.25
1999-12-31,18.89
2000-12-31,19.04
2001-12-31,18.9
2002-12-31,19.28
2003-12-31,19.24
2004-12-31,19.36
2005-12-31,19.14
