date,spei
2015-12-31,-0.0
2016-12-31,-0.14
2017-12-31,0.01
2018-12-31,0.26
2019-12-31,0.68
2020-12-31,0.46
2021-12-31,-0.34
2022-12-31,-0.12
2023-12-31,-0.43
2024-12-31,-0.62
2025-12-31,-0.41
2026-12-31,-0.38
2027-12-31,-0.34
2028-12-31,-0.38
2029-12-31,-0.28
2030-12-31,-0.25
2031-12-31,-0.21
2032-12-31,-0.02
2033-12-31,-0.22
2034-12-31,-0.36
2035-12-31,-0.44
2036-12-31,-0.04
2037-12-31,-0.42
2038-12-31,-0.04
2039-12-31,-0.17
2040-12-31,-0.43
2041-12-31,-0.59
2042-12-31,-0.63
2043-12-31,-0.11
2044-12-31,-0.25
2045-12-31,-0.34
2046-12-31,-0.18
2047-12-31,-0.09
2048-12-31,-0.12
2049-12-31,0.26
2050-12-31,0.27
2051-12-31,-0.13
2052-12-31,-0.14
2053-12-31,-0.21
2054-12-31,-0.1
2055-12-31,-0.41
2056-12-31,0.06
2057-12-31,-0.15
2058-12-31,-0.29
2059-12-31,-0.35
2060-12-31,-0.58
2061-12-31,-0.41
2062-12-31,-0.31
2063-12-31,-0.38
2064-12-31,-0.21
2065-12-31,-0.27
2066-12-31,-0.14
2067-12-31,-0.38
2068-12-31,-0.98
2069-12-31,-0.65
2070-12-31,0.08
2071-12-31,-0.5
2072-12-31,-0.49
2073-12-31,-0.31
2074-12-31,-0.29
2075-12-31,-0.15
2076-12-31,0.02
2077-12-31,-0.94
2078-12-31,-0.75
2079-12-31,-0.33
2080-12-31,-0.12
2081-12-31,-0.13
2082-12-31,-0.39
2083-12-31,0.08
2084-12-31,-0.34
2085-12-31,-0.17
2086-12-31,0.24
2087-12-31,0.13
2088-12-31,-0.13
2089-12-31,0.0
2090-12-31,0.11
2091-12-31,-0.28
2092-12-31,-0.45
2093-12-31,-0.45
2094-12-31,-0.07
2095-12-31,-0.09
2096-12-31,0.19
2097-12-31,-0.51
2098-12-31,-0.41
2099-12-31,0.18
2100-12-31,0.51
