date,mean
1950-12-31,16.95
1951-12-31,17.12
1952-12-31,17.0
1953-12-31,17.07
1954-12-31,16.82
1955-12-31,17.02
1956-12-31,16.92
1957-12-31,16.74
1958-12-31,16.72
1959-12-31,16.82
1960-12-31,16.82
1961-12-31,17.01
1962-12-31,16.98
1963-12-31,17.01
1964-12-31,16.47
1965-12-31,16.42
1966-12-31,16.45
1967-12-31,16.94
1968-12-31,16.61
1969-12-31,16.57
1970-12-31,16.54
1971-12-31,16.71
1972-12-31,16.79
1973-12-31,16.92
1974-12-31,16.69
1975-12-31,16.76
1976-12-31,16.78
1977-12-31,17.09
1978-12-31,17.02
1979-12-31,17.19
1980-12-31,17.25
1981-12-31,17.15
1982-12-31,16.85
1983-12-31,16.58
1984-12-31,16.97
1985-12-31,17.09
1986-12-31,17.24
1987-12-31,17.03
1988-12-31,17.34
1989-12-31,17.29
1990-12-31,17.26
1991-12-31,17.49
1992-12-31,16.79
1993-12-31,17.05
1994-12-31,17.55
1995-12-31,17.16
1996-12-31,17.23
1997-12-31,17.42
1998-12-31,17.85
1999-12-31,17.48
2000-12-31,17.65
2001-12-31,17.46
2002-12-31,17.85
2003-12-31,17.81
2004-12-31,17.95
2005-12-31,17.74
